             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.23                0.00                 2.4                 0.0                  33                  17                   1                   r
                0.27                0.00                 2.9                 0.0                  29                  17                   1                   a
                0.40                0.00                 4.2                 0.0                  26                  17                   1                   a
                0.49                0.00                 5.2                 0.0                  27                  17                   1                   a
                0.51                0.03                 5.4                 0.3                  32                  17                   4                   r
                0.63                0.01                 6.7                 0.1                  27                   6                   3                   a
                0.63                0.03                 6.7                 0.3                  46                   3                   2                   r
                0.73                0.01                 7.7                 0.1                  38                   6                   3                   r
                0.77                0.00                 8.1                 0.0                  34                  16                   2                   a
                0.98                0.14                10.4                 1.5                  45                   2                  24                   r
                1.30                0.37                13.7                 3.9                  51                   5                  24                   a
                1.36                0.09                14.4                 1.0                  62                   3                  24                   r
                1.67                0.09                17.6                 1.0                  56                   3                  24                   r
                1.98                0.11                20.9                 1.2                  65                   3                  24                   r
                2.63                0.21                27.8                 2.2                  75                   4                  24                   a
                2.77                0.44                29.3                 4.6                  70                   4                  23                   r
                3.33                0.37                35.2                 3.9                  95                   4                  14                   a
