             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.27                0.00                 3.1                 0.0                  39                  24                   1                   r
                0.47                0.00                 5.6                 0.0                  35                  24                   1                   r
                0.47                0.00                 5.6                 0.0                  -8                  24                   1                   a
                0.65                0.05                 7.6                 0.6                  17                   6                   3                   a
                0.82                0.02                 9.7                 0.3                 -14                   8                   3                   a
                0.93                0.04                10.9                 0.5                  32                  12                   3                   a
                0.99                0.00                11.7                 0.0                  23                  12                   2                   r
                1.07                0.04                12.6                 0.4                  66                   2                   3                   a
                1.19                0.02                14.0                 0.2                  72                  11                   3                   r
                1.25                0.04                14.7                 0.4                  48                   7                   3                   a
                1.37                0.04                16.2                 0.5                  70                   0                   3                   r
                1.41                0.06                16.6                 0.7                  69                   6                   5                   a
                1.54                0.04                18.2                 0.4                  77                   5                   4                   a
                1.64                0.02                19.3                 0.2                 104                  24                   3                   r
                1.67                0.00                19.7                 0.0                  79                  24                   1                   a
                1.85                0.02                21.8                 0.2                  81                  19                   2                   a
                2.43                0.31                28.6                 3.7                 113                   5                  22                   a
                2.51                0.27                29.6                 3.2                 153                   7                  22                   r
                3.08                0.11                36.3                 1.4                 156                   4                  22                   a
                3.31                0.18                39.0                 2.2                 187                   6                  22                   r
                3.32                0.05                39.1                 0.5                 175                   4                  22                   a
                3.52                0.06                41.4                 0.7                 186                   5                  22                   a
                3.68                0.04                43.4                 0.4                 189                   5                  22                   a
                3.83                0.05                45.1                 0.5                 173                   5                  22                   a
                3.99                0.04                47.0                 0.5                 174                   6                  22                   a
                4.06                0.24                47.9                 2.8                 186                  10                  22                   r
                4.17                0.08                49.2                 0.9                 182                   5                  22                   a
                4.36                0.06                51.4                 0.7                 188                   6                  22                   a
                4.62                0.07                54.5                 0.9                 194                   4                  22                   a
                4.88                0.26                57.6                 3.0                 206                   7                  22                   r
                4.89                0.09                57.7                 1.1                 174                   5                  22                   a
                5.14                0.06                60.6                 0.8                 176                   4                  22                   a
                5.37                0.05                63.3                 0.6                 187                   3                  22                   a
                5.55                0.07                65.4                 0.8                 187                   4                  22                   a
                5.70                0.03                67.1                 0.4                 190                   4                  22                   a
                5.81                0.04                68.5                 0.5                 197                   5                  22                   a
                5.91                0.03                69.7                 0.3                 199                   4                  22                   a
                5.99                0.41                70.6                 4.9                 215                   7                  22                   r
                6.02                0.02                70.9                 0.3                 205                   5                  22                   a
                6.09                0.02                71.8                 0.3                 200                   4                  22                   a
                6.17                0.03                72.7                 0.3                 205                   4                  22                   a
                6.26                0.02                73.8                 0.2                 192                   4                  22                   a
                6.34                0.03                74.8                 0.4                 198                   5                  22                   a
                6.43                0.02                75.8                 0.2                 200                   4                  22                   a
                6.51                0.03                76.7                 0.3                 199                   4                  22                   a
                6.59                0.03                77.7                 0.3                 204                   4                  22                   a
                6.67                0.02                78.6                 0.3                 204                   4                  22                   a
                6.76                0.02                79.6                 0.3                 212                   3                  22                   a
                6.84                0.02                80.6                 0.3                 214                   4                  22                   a
                6.94                0.04                81.8                 0.4                 211                   5                  22                   a
                7.02                0.19                82.7                 2.2                 192                   5                  22                   r
                7.05                0.03                83.1                 0.3                 214                   4                  22                   a
                7.16                0.03                84.3                 0.3                 211                   4                  22                   a
                7.29                0.05                86.0                 0.6                 205                   5                  22                   a
                7.45                0.04                87.8                 0.5                 210                   5                  22                   a
                7.59                0.04                89.5                 0.4                 217                   5                  22                   a
                7.73                0.05                91.1                 0.5                 211                   7                  22                   a
                7.88                0.04                92.8                 0.5                 207                   8                  22                   a
                7.89                0.33                93.0                 3.9                 196                   4                  22                   r
                8.04                0.05                94.8                 0.6                 212                   6                  22                   a
                8.20                0.05                96.7                 0.6                 200                   6                  22                   a
                8.37                0.04                98.7                 0.5                 209                   4                  22                   a
                8.50                0.03               100.2                 0.3                 213                   5                  22                   a
                8.59                0.03               101.2                 0.4                 210                   5                  22                   a
                8.71                0.03               102.7                 0.3                 213                   5                  22                   a
                8.77                0.14               103.3                 1.6                 173                   4                  22                   r
                8.81                0.03               103.8                 0.4                 217                   3                  22                   a
                8.90                0.03               105.0                 0.3                 214                   5                  22                   a
                9.01                0.03               106.3                 0.3                 227                   3                  22                   a
                9.11                0.03               107.3                 0.3                 232                   4                  22                   a
                9.18                0.10               108.2                 1.1                 205                   6                  22                   r
                9.23                0.05               108.7                 0.6                 225                   4                  22                   a
                9.38                0.03               110.5                 0.3                 234                   4                  22                   a
                9.54                0.07               112.5                 0.9                 239                   4                  22                   a
                9.67                0.22               114.0                 2.6                 197                   5                  22                   r
                9.86                0.15               116.3                 1.7                 231                   5                  22                   a
               10.35                0.21               122.0                 2.5                 183                  13                  10                   r
               11.36                0.70               133.9                 8.3                 225                   8                  22                   a
               12.82                0.40               151.1                 4.7                 251                   9                  13                   a
