             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.05                0.00                 0.9                 0.0                  39                  17                   1                   r
                0.15                0.00                 2.7                 0.0                  34                  17                   1                   a
                0.20                0.00                 3.6                 0.0                  66                  17                   1                   a
                0.21                0.00                 3.8                 0.0                  30                  17                   1                   r
                0.40                0.02                 7.2                 0.4                  59                  15                   2                   r
                0.51                0.01                 9.2                 0.2                  95                   8                   2                   r
                0.53                0.00                 9.6                 0.0                  53                  17                   1                   a
                0.57                0.00                10.3                 0.0                  80                  17                   1                   a
                0.62                0.02                11.2                 0.4                  95                  17                   2                   r
                0.63                0.00                11.4                 0.0                  61                  17                   1                   a
                0.69                0.01                12.5                 0.2                  87                   4                   2                   a
                0.74                0.01                13.4                 0.2                  78                   8                   2                   r
                0.78                0.00                14.1                 0.0                  90                  17                   1                   r
                0.79                0.00                14.3                 0.0                  78                   7                   2                   a
                0.86                0.01                15.6                 0.2                  98                   6                   3                   r
                0.87                0.00                15.7                 0.0                  86                  17                   1                   a
                0.92                0.02                16.6                 0.4                  89                  13                   4                   a
                0.93                0.01                16.8                 0.2                 101                   0                   2                   r
                0.98                0.02                17.7                 0.4                  83                   4                   3                   a
                1.00                0.01                18.1                 0.2                  92                   2                   3                   r
                1.04                0.00                18.8                 0.0                  87                  17                   1                   a
                1.06                0.00                19.2                 0.0                  97                   4                   2                   r
                1.10                0.01                19.9                 0.2                  90                   6                   4                   a
                1.10                0.03                19.9                 0.5                 108                   5                   2                   r
                1.16                0.01                21.0                 0.2                  90                   4                   4                   a
                1.16                0.02                21.0                 0.4                 104                   3                   6                   r
                1.22                0.01                22.1                 0.2                 119                  16                   2                   r
                1.23                0.02                22.3                 0.4                 107                   2                   6                   a
                1.28                0.02                23.2                 0.4                 111                   5                   5                   a
                1.30                0.01                23.5                 0.2                 121                   3                   6                   r
                1.34                0.02                24.2                 0.4                 112                   5                   6                   a
                1.35                0.02                24.4                 0.4                 122                   1                   5                   r
                1.39                0.02                25.1                 0.4                 115                   5                   9                   a
                1.41                0.00                25.5                 0.0                  96                  17                   1                   r
                1.43                0.04                25.9                 0.7                 116                   2                  20                   a
                1.54                0.07                27.9                 1.3                 126                   3                  20                   r
                1.59                0.05                28.8                 0.9                 122                   2                  20                   a
                1.77                0.05                32.0                 0.9                 122                   2                  20                   a
                1.82                0.08                32.9                 1.4                 120                   3                  20                   r
                1.97                0.05                35.6                 0.9                 117                   3                  20                   a
                2.11                0.07                38.2                 1.3                 128                   4                  20                   r
                2.16                0.05                39.1                 0.9                 111                   3                  20                   a
                2.34                0.07                42.3                 1.3                 125                   3                  20                   r
                2.35                0.05                42.5                 0.9                 119                   2                  20                   a
                2.49                0.03                45.1                 0.5                 129                   2                  20                   r
                2.50                0.03                45.2                 0.5                 124                   3                  20                   a
                2.58                0.03                46.7                 0.5                 129                   2                  20                   r
                2.62                0.03                47.4                 0.5                 125                   2                  20                   a
                2.68                0.03                48.5                 0.5                 134                   2                  20                   r
                2.71                0.03                49.0                 0.5                 134                   2                  20                   a
                2.76                0.03                49.9                 0.5                 134                   1                  20                   r
                2.78                0.02                50.3                 0.4                 134                   1                  20                   a
                2.83                0.02                51.2                 0.4                 139                   2                  20                   r
                2.87                0.01                51.9                 0.2                 136                   2                  20                   a
                2.90                0.02                52.5                 0.4                 139                   3                  20                   r
                2.93                0.03                53.0                 0.5                 135                   1                  20                   a
                2.99                0.03                54.1                 0.5                 140                   2                  20                   r
                3.03                0.02                54.8                 0.4                 139                   2                  20                   a
                3.07                0.02                55.5                 0.4                 141                   2                  20                   r
                3.11                0.03                56.3                 0.5                 141                   2                  20                   a
                3.16                0.03                57.2                 0.5                 143                   2                  20                   r
                3.21                0.02                58.1                 0.4                 143                   2                  20                   a
                3.27                0.03                59.2                 0.5                 150                   2                  20                   r
                3.33                0.03                60.3                 0.5                 141                   3                  20                   a
                3.43                0.05                62.1                 0.9                 138                   3                  20                   r
                3.48                0.05                63.0                 0.9                 141                   2                  20                   a
                3.58                0.03                64.8                 0.5                 144                   2                  20                   r
                3.63                0.05                65.7                 0.9                 142                   2                  20                   a
                3.71                0.04                67.1                 0.7                 143                   2                  20                   r
                3.75                0.03                67.9                 0.5                 149                   1                  20                   a
                3.89                0.05                70.4                 0.9                 151                   2                  20                   a
                3.89                0.05                70.4                 0.9                 146                   2                  20                   r
                4.03                0.05                72.9                 0.9                 153                   3                  20                   a
                4.03                0.03                72.9                 0.5                 142                   2                  20                   r
                4.15                0.05                75.1                 0.9                 139                   3                  20                   r
                4.25                0.07                76.9                 1.3                 159                   2                  20                   a
                4.29                0.05                77.6                 0.9                 151                   2                  20                   r
                4.41                0.04                79.8                 0.7                 158                   2                  20                   a
                4.44                0.03                80.3                 0.5                 151                   3                  20                   r
                4.54                0.05                82.1                 0.9                 162                   2                  20                   a
                4.55                0.04                82.3                 0.7                 152                   2                  20                   r
                4.69                0.04                84.9                 0.7                 148                   2                  20                   r
