             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.38                0.08                 1.6                 0.3                 251                  19                   6                   a
                0.39                0.09                 1.6                 0.4                 283                  10                   5                   r
                0.79                0.14                 3.3                 0.6                 252                   7                  19                   a
                0.79                0.15                 3.3                 0.6                 278                   7                  20                   r
                1.24                0.13                 5.2                 0.5                 298                   9                  23                   a
                1.39                0.25                 5.9                 1.1                 294                  10                  23                   r
                1.80                0.25                 7.6                 1.1                 295                   9                  23                   a
                2.44                0.27                10.3                 1.1                 287                  10                  23                   r
                2.48                0.14                10.4                 0.6                 280                  11                  23                   a
                2.97                0.11                12.5                 0.5                 268                  12                  23                   a
                3.11                0.13                13.1                 0.5                 268                   9                  23                   r
                3.38                0.13                14.2                 0.5                 276                  11                  23                   a
                3.53                0.12                14.9                 0.5                 293                  10                  23                   r
                3.76                0.09                15.8                 0.4                 265                  12                  23                   a
                4.00                0.10                16.8                 0.4                 285                   8                  23                   r
                4.05                0.08                17.0                 0.3                 273                   8                  23                   a
                4.28                0.07                18.0                 0.3                 274                  10                  23                   a
                4.31                0.08                18.1                 0.3                 282                   8                  23                   r
                4.53                0.08                19.1                 0.3                 279                   6                  23                   a
                4.57                0.07                19.2                 0.3                 277                   5                  23                   r
                4.75                0.05                20.0                 0.2                 272                   7                  23                   a
                4.80                0.06                20.2                 0.3                 281                   6                  23                   r
                4.94                0.07                20.8                 0.3                 289                   5                  23                   a
                5.01                0.07                21.1                 0.3                 287                   6                  23                   r
                5.15                0.06                21.7                 0.3                 280                   5                  23                   a
                5.22                0.07                22.0                 0.3                 305                   9                  23                   r
                5.31                0.03                22.4                 0.1                 274                   6                  23                   a
                5.43                0.05                22.9                 0.2                 304                   8                  23                   r
                5.46                0.05                23.0                 0.2                 283                   5                  23                   a
                5.61                0.05                23.6                 0.2                 304                   9                  23                   r
                5.62                0.04                23.7                 0.2                 283                   5                  23                   a
                5.76                0.04                24.2                 0.2                 279                   5                  23                   a
                5.80                0.05                24.4                 0.2                 294                   8                  23                   r
                5.93                0.05                25.0                 0.2                 286                   6                  23                   a
                6.02                0.06                25.3                 0.3                 311                   8                  23                   r
                6.10                0.05                25.7                 0.2                 283                   5                  23                   a
                6.23                0.07                26.2                 0.3                 325                   6                  23                   r
                6.25                0.05                26.3                 0.2                 285                   5                  23                   a
                6.43                0.04                27.1                 0.2                 286                   7                  23                   a
                6.43                0.07                27.1                 0.3                 310                   6                  23                   r
                6.59                0.05                27.7                 0.2                 290                   5                  23                   a
                6.66                0.06                28.0                 0.3                 319                   7                  23                   r
                6.80                0.07                28.6                 0.3                 284                   6                  23                   a
                6.89                0.07                29.0                 0.3                 311                   5                  23                   r
                7.06                0.09                29.7                 0.4                 282                   9                  23                   a
                7.15                0.10                30.1                 0.4                 323                   7                  23                   r
                7.42                0.11                31.2                 0.5                 280                   7                  23                   a
                7.43                0.08                31.3                 0.3                 321                   5                  23                   r
                7.74                0.09                32.6                 0.4                 314                  10                  23                   r
                7.76                0.09                32.7                 0.4                 267                   8                  23                   a
                8.08                0.09                34.0                 0.4                 268                   9                  23                   a
                8.18                0.16                34.4                 0.7                 300                  11                  23                   r
                8.44                0.08                35.5                 0.3                 271                   8                  23                   a
                8.74                0.10                36.8                 0.4                 278                   6                  23                   a
                8.84                0.20                37.2                 0.8                 286                  12                  23                   r
                9.06                0.09                38.1                 0.4                 290                   7                  23                   a
                9.40                0.09                39.6                 0.4                 283                   6                  23                   a
                9.57                0.22                40.3                 0.9                 271                   7                  23                   r
                9.76                0.09                41.1                 0.4                 290                   7                  23                   a
               10.15                0.13                42.7                 0.5                 298                   7                  23                   a
               10.40                0.20                43.8                 0.8                 278                   8                  23                   r
               10.63                0.14                44.7                 0.6                 299                   7                  23                   a
               11.14                0.17                46.9                 0.7                 324                   7                  23                   a
               11.24                0.21                47.3                 0.9                 279                   6                  23                   r
               11.88                0.28                50.0                 1.2                 339                   7                  23                   a
               11.96                0.30                50.3                 1.3                 280                   5                  23                   r
               13.13                0.35                55.3                 1.5                 333                   7                  23                   a
               13.24                0.53                55.7                 2.2                 282                   5                  17                   r
               14.46                0.71                60.9                 3.0                 355                  11                  15                   a
