             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.41                0.18                 1.9                 0.8                  55                   3                   4                   a
                0.57                0.11                 2.7                 0.5                  59                  27                   2                   r
                1.12                0.20                 5.2                 0.9                 102                   6                  13                   a
                1.12                0.24                 5.2                 1.1                  88                  10                  11                   r
                1.78                0.18                 8.3                 0.8                 122                   4                  22                   a
                2.02                0.23                 9.4                 1.1                 134                   4                  22                   r
                2.31                0.15                10.8                 0.7                 140                   4                  22                   a
                2.70                0.19                12.6                 0.9                 151                   4                  22                   r
                2.74                0.12                12.8                 0.6                 157                   4                  22                   a
                3.17                0.11                14.8                 0.5                 162                   4                  22                   a
                3.24                0.14                15.2                 0.7                 163                   4                  22                   r
                3.59                0.12                16.8                 0.6                 167                   3                  22                   a
                3.74                0.14                17.5                 0.7                 176                   4                  22                   r
                3.95                0.11                18.5                 0.5                 177                   3                  22                   a
                4.24                0.14                19.8                 0.7                 177                   4                  22                   r
                4.34                0.09                20.3                 0.4                 173                   4                  22                   a
                4.62                0.10                21.6                 0.5                 177                   4                  22                   a
                4.79                0.17                22.4                 0.8                 186                   4                  22                   r
                4.95                0.10                23.2                 0.5                 177                   3                  22                   a
                5.28                0.09                24.7                 0.4                 184                   2                  22                   a
                5.39                0.18                25.2                 0.8                 183                   5                  22                   r
                5.63                0.12                26.3                 0.6                 183                   3                  22                   a
                6.03                0.13                28.2                 0.6                 184                   3                  22                   a
                6.10                0.25                28.5                 1.2                 183                   5                  22                   r
                6.49                0.14                30.4                 0.7                 186                   3                  22                   a
                6.97                0.15                32.6                 0.7                 193                   3                  22                   a
                7.56                0.61                35.4                 2.9                 185                   4                  19                   r
                7.63                0.23                35.7                 1.1                 183                   3                  22                   a
                8.53                0.45                39.9                 2.1                 191                   4                  22                   a
