             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.16                0.00                 3.2                 0.0                 -32                  10                   1                   a
                0.27                0.00                 5.5                 0.0                  -3                  10                   1                   a
                0.27                0.01                 5.6                 0.3                   0                   6                   2                   r
                0.35                0.00                 7.3                 0.0                  12                  10                   1                   r
                0.41                0.00                 8.5                 0.0                  39                  10                   1                   r
                0.48                0.01                 9.9                 0.2                  15                   8                   2                   r
                0.50                0.00                10.3                 0.0                 -25                  10                   1                   a
                0.55                0.01                11.2                 0.2                  16                   3                   2                   r
                0.55                0.00                11.3                 0.0                 -17                  10                   1                   a
                0.58                0.00                11.9                 0.0                   9                  10                   1                   r
                0.70                0.00                14.4                 0.0                   3                   3                   2                   a
                0.71                0.00                14.6                 0.0                  37                  10                   1                   r
                0.75                0.02                15.4                 0.4                  15                   4                   4                   r
                0.83                0.01                17.1                 0.2                  31                  10                   3                   r
                0.90                0.02                18.5                 0.4                   5                   4                   2                   a
                0.91                0.00                18.7                 0.0                  42                  10                   1                   r
                1.21                0.16                24.9                 3.3                  32                   3                  25                   a
                1.35                0.24                27.8                 5.0                  36                   4                  25                   r
                1.53                0.06                31.5                 1.3                  42                   3                  25                   a
                1.72                0.05                35.6                 1.1                  47                   3                  25                   a
                1.93                0.05                39.9                 1.0                  61                   3                  25                   a
                1.99                0.17                41.1                 3.5                  44                   5                  25                   r
                2.12                0.06                43.7                 1.2                  63                   3                  25                   a
                2.46                0.21                50.7                 4.3                  68                   4                  25                   a
                2.53                0.17                52.2                 3.5                  48                   4                  25                   r
                3.10                0.17                63.8                 3.4                  44                   3                  25                   r
                3.36                0.14                69.3                 2.8                  60                   4                  25                   a
                3.60                0.12                74.2                 2.6                  52                   4                  25                   r
                3.67                0.08                75.7                 1.7                  61                   3                  25                   a
                3.88                0.06                80.1                 1.3                  71                   3                  25                   r
                4.03                0.11                83.1                 2.2                  58                   4                  25                   a
                4.20                0.16                86.7                 3.3                  80                   3                  25                   r
                4.57                0.20                94.3                 4.1                  63                   5                  25                   a
                5.16                0.47               106.5                 9.7                  82                   6                  20                   r
                5.54                0.48               114.3                 9.8                  70                   3                  25                   a
