             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.11                0.00                 1.1                 0.0                  99                  11                   1                   a
                0.75                0.06                 7.3                 0.6                 189                   3                   2                   r
                0.88                0.00                 8.6                 0.0                 237                  11                   1                   a
                1.05                0.09                10.3                 0.9                 216                  11                   5                   r
                1.30                0.09                12.8                 0.9                 206                   7                   6                   a
                1.38                0.07                13.4                 0.7                 220                   7                  14                   r
                1.63                0.09                16.0                 0.9                 215                   7                  16                   a
                1.66                0.07                16.2                 0.7                 217                   4                  21                   r
                1.92                0.08                18.7                 0.8                 217                   4                  19                   a
                1.92                0.08                18.8                 0.8                 214                   3                  23                   r
                2.21                0.08                21.6                 0.8                 219                   4                  23                   r
                2.23                0.09                21.8                 0.9                 223                   5                  25                   a
                2.33                0.06                22.8                 0.6                 213                   5                  19                   r
                2.35                0.07                23.0                 0.7                 232                   4                  19                   a
                2.55                0.08                24.9                 0.8                 222                   3                  19                   r
                2.62                0.08                25.6                 0.8                 227                   3                  19                   a
                2.81                0.08                27.5                 0.8                 230                   4                  19                   r
                2.91                0.08                28.4                 0.8                 235                   4                  19                   a
                3.02                0.07                29.5                 0.7                 219                   4                  19                   r
                3.22                0.07                31.5                 0.7                 232                   4                  19                   r
                3.23                0.10                31.5                 1.0                 249                   6                  19                   a
                3.51                0.09                34.3                 0.9                 237                   5                  19                   r
                3.60                0.13                35.2                 1.3                 246                   6                  19                   a
                3.79                0.08                37.1                 0.7                 231                   6                  19                   r
                4.03                0.07                39.4                 0.7                 247                   5                  19                   r
                4.10                0.13                40.1                 1.3                 242                   4                  19                   a
                4.31                0.06                42.1                 0.6                 228                   5                  19                   r
                4.54                0.08                44.4                 0.8                 223                   4                  19                   r
                4.78                0.28                46.7                 2.7                 253                   6                  19                   a
                4.86                0.12                47.5                 1.2                 229                   4                  19                   r
                5.53                0.24                54.0                 2.4                 227                   5                  19                   r
                5.70                0.17                55.7                 1.6                 223                   5                  19                   a
                6.12                0.10                59.9                 0.9                 227                   6                  19                   a
                6.31                0.28                61.6                 2.8                 234                   4                  19                   r
                6.55                0.16                64.0                 1.6                 230                   6                  19                   a
                7.33                0.37                71.6                 3.6                 233                   7                  19                   a
                7.35                0.37                71.9                 3.6                 223                   3                  19                   r
                8.81                0.34                86.1                 3.3                 243                   6                  13                   r
                8.86                0.60                86.6                 5.8                 225                  11                  17                   a
