             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.20                0.00                 2.5                 0.0                  13                   3                   2                   a
                0.30                0.01                 3.6                 0.1                  -1                   5                   2                   r
                0.39                0.01                 4.7                 0.2                   2                  19                   3                   a
                0.54                0.03                 6.6                 0.4                   0                   0                   2                   r
                0.68                0.04                 8.3                 0.5                  13                  12                   2                   a
                0.70                0.00                 8.5                 0.0                  21                  19                   1                   r
                0.74                0.00                 9.0                 0.0                  -1                  19                   1                   r
                0.88                0.00                10.8                 0.0                  39                   9                   2                   a
                1.36                0.17                16.6                 2.1                  55                   4                  25                   a
                1.44                0.16                17.6                 1.9                  57                   2                  25                   r
                1.73                0.06                21.1                 0.7                  64                   1                  25                   r
                1.82                0.09                22.2                 1.1                  68                   3                  25                   a
                1.90                0.05                23.2                 0.6                  67                   3                  25                   r
                2.06                0.05                25.1                 0.6                  78                   2                  25                   a
                2.16                0.07                26.3                 0.9                  73                   3                  25                   r
                2.23                0.04                27.2                 0.5                  80                   1                  25                   a
                2.35                0.04                28.7                 0.5                  76                   4                  25                   r
                2.35                0.04                28.7                 0.5                  83                   2                  25                   a
                2.48                0.04                30.3                 0.5                  84                   3                  25                   a
                2.54                0.06                31.0                 0.8                  70                   3                  25                   r
                2.66                0.08                32.4                 1.0                  78                   3                  25                   a
                2.77                0.08                33.8                 1.0                  68                   3                  25                   r
                3.01                0.18                36.7                 2.1                  77                   3                  25                   a
                3.10                0.13                37.9                 1.6                  77                   4                  25                   r
                3.45                0.11                42.1                 1.3                  74                   4                  25                   r
                3.61                0.15                44.0                 1.9                  76                   4                  25                   a
                3.74                0.07                45.7                 0.8                  72                   4                  25                   r
                4.00                0.09                48.8                 1.1                  82                   3                  25                   r
                4.30                0.29                52.5                 3.5                  64                   3                  25                   a
                4.68                0.30                57.1                 3.6                  68                   5                  25                   r
                5.05                0.12                61.7                 1.5                  47                   4                  25                   a
                5.31                0.04                64.8                 0.5                  51                   4                  25                   a
                5.45                0.03                66.5                 0.4                  51                   5                  25                   a
                5.56                0.04                67.9                 0.5                  61                   4                  25                   a
                5.69                0.05                69.5                 0.6                  67                   3                  25                   a
                5.87                0.07                71.6                 0.8                  78                   3                  25                   a
                6.35                0.34                77.5                 4.2                  79                   4                  20                   a
                6.55                0.56                79.9                 6.8                  58                   4                  18                   r
