             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.16                0.00                 2.0                 0.0                   4                  11                   1                   a
                0.24                0.04                 3.1                 0.5                  28                  11                   2                   a
                0.27                0.02                 3.4                 0.3                  10                   5                   2                   r
                0.43                0.02                 5.5                 0.3                  51                   5                   5                   a
                0.44                0.03                 5.6                 0.4                  47                   5                   3                   r
                0.53                0.02                 6.7                 0.3                  33                  15                   2                   r
                0.61                0.04                 7.8                 0.5                  36                   8                   5                   a
                0.74                0.04                 9.4                 0.5                  58                   7                   5                   r
                0.77                0.06                 9.8                 0.8                  64                   3                   2                   a
                0.92                0.04                11.7                 0.5                  38                   4                   3                   a
                0.92                0.06                11.7                 0.8                  49                   5                   5                   r
                1.08                0.05                13.8                 0.6                  66                   5                  10                   r
                1.12                0.05                14.3                 0.6                  57                   4                   3                   a
                1.24                0.04                15.8                 0.5                  46                   6                   5                   a
                1.24                0.05                15.8                 0.6                  67                   3                   9                   r
                1.40                0.05                17.8                 0.6                  63                   5                   8                   r
                1.44                0.04                18.3                 0.5                  34                   8                   4                   a
                1.55                0.04                19.7                 0.5                  67                   3                   9                   r
                1.58                0.06                20.1                 0.8                  46                  11                   4                   a
                1.72                0.05                21.9                 0.6                  65                   2                   9                   r
                1.75                0.05                22.3                 0.6                  62                   5                   9                   a
                1.90                0.05                24.2                 0.6                  66                   3                  18                   r
                1.91                0.03                24.3                 0.4                  57                   6                   9                   a
                2.06                0.05                26.2                 0.6                  74                   7                  10                   a
                2.06                0.05                26.2                 0.6                  85                   5                   7                   r
                2.24                0.06                28.5                 0.8                  73                   4                  13                   a
                2.24                0.05                28.5                 0.6                  80                   4                  16                   r
                2.33                0.09                29.7                 1.1                  82                   3                  25                   r
                2.40                0.13                30.6                 1.7                  78                   3                  25                   a
                2.71                0.14                34.5                 1.8                  81                   3                  25                   r
                2.75                0.11                35.0                 1.4                  78                   4                  25                   a
                3.09                0.09                39.3                 1.1                  86                   3                  25                   a
                3.19                0.14                40.6                 1.8                  91                   3                  25                   r
                3.39                0.10                43.2                 1.3                  83                   3                  25                   a
                3.78                0.16                48.1                 2.0                  82                   3                  25                   a
                3.84                0.26                48.9                 3.3                  89                   3                  25                   r
                4.49                0.15                57.2                 1.9                  96                   4                  25                   r
                4.53                0.23                57.7                 2.9                  95                   4                  25                   a
                4.94                0.14                62.9                 1.8                  87                   3                  25                   r
                5.15                0.16                65.6                 2.0                  98                   3                  25                   a
                5.26                0.07                67.0                 0.9                  90                   4                  25                   r
                5.45                0.05                69.4                 0.6                  85                   2                  25                   r
                5.62                0.04                71.6                 0.5                  91                   2                  25                   r
                5.65                0.12                71.9                 1.5                  96                   3                  25                   a
                5.78                0.05                73.6                 0.6                  86                   2                  25                   r
                5.93                0.07                75.5                 0.9                  97                   2                  25                   a
                5.93                0.04                75.5                 0.5                  96                   2                  25                   r
                6.12                0.07                77.9                 0.9                  96                   3                  25                   r
                6.15                0.06                78.3                 0.8                  97                   2                  25                   a
                6.33                0.05                80.6                 0.6                 101                   3                  25                   a
                6.35                0.07                80.9                 0.9                  99                   3                  25                   r
                6.53                0.06                83.1                 0.8                 106                   2                  25                   a
                6.64                0.09                84.5                 1.1                 107                   4                  25                   r
                6.78                0.09                86.3                 1.1                  98                   3                  25                   a
                7.08                0.09                90.1                 1.1                 108                   2                  25                   a
                7.08                0.15                90.1                 1.9                 108                   3                  25                   r
                7.35                0.08                93.6                 1.0                 107                   3                  25                   a
                7.43                0.11                94.6                 1.4                 103                   2                  25                   r
                7.62                0.06                97.0                 0.8                 104                   3                  25                   a
                7.79                0.07                99.2                 0.9                 111                   3                  25                   r
                7.84                0.08                99.8                 1.0                  98                   2                  25                   a
                8.05                0.08               102.5                 1.0                 101                   2                  25                   r
                8.11                0.09               103.3                 1.1                 112                   3                  25                   a
                8.36                0.08               106.4                 1.0                 111                   3                  25                   a
                8.36                0.09               106.4                 1.1                 103                   3                  25                   r
                8.53                0.03               108.6                 0.4                 113                   2                  25                   a
                8.66                0.04               110.3                 0.5                 114                   2                  25                   a
                8.69                0.10               110.6                 1.3                 118                   4                  25                   r
                8.76                0.02               111.5                 0.3                 112                   2                  25                   a
                8.86                0.03               112.8                 0.4                 119                   1                  25                   a
                8.95                0.03               114.0                 0.4                 120                   2                  25                   a
                8.99                0.09               114.5                 1.1                 118                   2                  25                   r
                9.03                0.02               115.0                 0.3                 119                   2                  25                   a
                9.11                0.02               116.0                 0.3                 126                   1                  25                   a
                9.19                0.02               117.0                 0.3                 123                   2                  25                   a
                9.27                0.03               118.0                 0.4                 125                   1                  25                   a
                9.31                0.07               118.5                 0.9                 116                   2                  25                   r
                9.39                0.03               119.6                 0.4                 127                   2                  25                   a
                9.51                0.04               121.1                 0.5                 128                   2                  25                   a
                9.51                0.06               121.1                 0.8                 111                   3                  25                   r
                9.66                0.04               123.0                 0.5                 129                   3                  25                   a
                9.67                0.04               123.1                 0.5                 117                   2                  25                   r
