             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.14                0.00                 1.8                 0.0                  26                   9                   1                   r
                0.22                0.00                 2.9                 0.0                 -16                   9                   1                   a
                0.27                0.00                 3.5                 0.0                   1                   9                   1                   r
                0.32                0.01                 4.2                 0.1                 -15                   2                   2                   a
                0.35                0.00                 4.6                 0.0                   7                   9                   1                   r
                0.44                0.03                 5.8                 0.4                   5                   8                   5                   r
                0.53                0.00                 7.0                 0.0                  65                   3                   2                   a
                0.56                0.03                 7.3                 0.4                  36                   3                   3                   r
                0.72                0.09                 9.5                 1.2                  47                   3                  19                   a
                0.82                0.16                10.7                 2.1                  28                   7                  19                   r
                0.93                0.04                12.2                 0.5                  51                   6                  19                   a
                1.10                0.07                14.4                 1.0                  53                   4                  19                   a
                1.25                0.09                16.4                 1.2                  61                   5                  19                   r
                1.50                0.06                19.7                 0.8                  47                   4                  19                   r
                1.67                0.33                21.9                 4.3                  52                   7                  19                   a
                1.72                0.07                22.5                 0.9                  43                   5                  19                   r
                2.09                0.14                27.4                 1.8                  73                   8                  19                   r
                2.39                0.11                31.4                 1.4                  68                   5                  19                   a
                2.72                0.20                35.8                 2.6                  91                   7                  19                   r
                3.02                0.20                39.7                 2.6                  78                   9                  19                   a
                3.43                0.10                45.1                 1.3                  74                   7                  19                   a
                3.55                0.24                46.6                 3.1                  77                   6                  19                   r
                3.73                0.08                49.1                 1.1                  89                   6                  19                   a
                3.94                0.06                51.8                 0.8                  81                   3                  19                   a
                4.08                0.04                53.6                 0.5                  88                   3                  19                   a
                4.23                0.17                55.6                 2.2                 101                   3                  19                   r
                4.27                0.08                56.1                 1.0                  95                   5                  19                   a
                4.70                0.11                61.7                 1.5                 109                   5                  19                   r
                4.71                0.19                61.9                 2.5                 107                   7                  19                   a
                5.37                0.18                70.5                 2.4                 113                   5                  19                   a
                5.82                0.69                76.4                 9.1                  91                   9                  19                   r
                6.54                0.60                85.9                 7.9                 106                   5                  19                   a
                7.35                0.10                96.6                 1.4                  90                   6                  19                   a
                7.71                0.45               101.4                 6.0                  75                   5                  18                   r
                7.82                0.13               102.8                 1.7                  72                   6                  13                   a
