             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.02                0.01                 0.7                 0.4                 -26                   5                   2                   r
                0.03                0.01                 1.1                 0.4                  27                  15                   2                   a
                0.06                0.01                 2.2                 0.4                  10                   3                   8                   a
                0.06                0.01                 2.2                 0.4                  -4                   6                   8                   r
                0.11                0.01                 4.0                 0.4                  24                   4                   7                   a
                0.11                0.01                 4.0                 0.4                 -12                   5                  12                   r
                0.15                0.01                 5.4                 0.4                  25                   3                   7                   a
                0.15                0.02                 5.4                 0.7                  -1                   6                   9                   r
                0.19                0.01                 6.9                 0.4                   1                   6                   9                   r
                0.20                0.01                 7.2                 0.4                  26                   3                   5                   a
                0.23                0.01                 8.3                 0.4                  36                   4                   8                   a
                0.23                0.01                 8.3                 0.4                   5                  10                   7                   r
                0.28                0.01                10.1                 0.4                  17                   4                  12                   a
                0.28                0.01                10.1                 0.4                  19                   6                  11                   r
                0.32                0.01                11.6                 0.4                  13                   6                   8                   r
                0.33                0.01                11.9                 0.4                  19                   4                   9                   a
                0.36                0.01                13.0                 0.4                  30                   4                  11                   a
                0.36                0.01                13.0                 0.4                  31                   3                   6                   r
                0.40                0.01                14.5                 0.4                  30                   7                   7                   r
                0.41                0.01                14.8                 0.4                  18                   6                  13                   a
                0.45                0.01                16.3                 0.4                  20                   4                  10                   a
                0.46                0.01                16.6                 0.4                  34                   6                   9                   r
                0.49                0.01                17.7                 0.4                  38                   4                  13                   a
                0.50                0.01                18.1                 0.4                  50                   7                   7                   r
                0.54                0.01                19.5                 0.4                  41                   4                  11                   a
                0.54                0.01                19.5                 0.4                  50                   6                  11                   r
                0.58                0.01                21.0                 0.4                  43                   4                  10                   a
                0.58                0.01                21.0                 0.4                  53                  10                   5                   r
                0.62                0.01                22.4                 0.4                  54                   4                   9                   a
                0.62                0.01                22.4                 0.4                  72                   4                   6                   r
                0.67                0.02                24.2                 0.7                  41                   7                   8                   a
                0.67                0.01                24.2                 0.4                  48                   4                   9                   r
                0.70                0.01                25.3                 0.4                  51                  10                   5                   a
                0.71                0.01                25.7                 0.4                  62                   4                  14                   r
                0.73                0.01                26.4                 0.4                  59                   4                  16                   r
                0.75                0.02                27.1                 0.7                  50                   5                  16                   a
                0.76                0.01                27.5                 0.4                  52                   5                  16                   r
                0.79                0.01                28.6                 0.4                  56                   4                  16                   r
                0.82                0.02                29.7                 0.7                  44                   3                  16                   a
                0.83                0.01                30.0                 0.4                  59                   5                  16                   r
                0.86                0.01                31.1                 0.4                  57                   3                  16                   r
                0.87                0.01                31.5                 0.4                  42                   4                  16                   a
                0.90                0.01                32.6                 0.4                  61                   3                  16                   r
                0.91                0.01                32.9                 0.4                  37                   3                  16                   a
                0.94                0.01                34.0                 0.4                  45                   2                  16                   a
                0.94                0.01                34.0                 0.4                  78                   6                  16                   r
                0.99                0.02                35.8                 0.7                  47                   3                  16                   a
                0.99                0.01                35.8                 0.4                  67                   4                  16                   r
                1.03                0.01                37.3                 0.4                  67                   4                  16                   r
                1.06                0.01                38.4                 0.4                  50                   3                  16                   r
                1.07                0.02                38.7                 0.7                  47                   4                  16                   a
                1.09                0.01                39.4                 0.4                  56                   5                  16                   r
                1.12                0.01                40.5                 0.4                  53                   3                  16                   r
                1.14                0.02                41.3                 0.7                  56                   4                  16                   a
                1.14                0.00                41.3                 0.0                  51                   5                  16                   r
                1.15                0.01                41.6                 0.4                  56                   3                  16                   r
                1.18                0.01                42.7                 0.4                  56                   6                  16                   r
                1.20                0.01                43.4                 0.4                  64                   4                  16                   r
                1.22                0.01                44.1                 0.4                  68                   5                  16                   r
                1.23                0.02                44.5                 0.7                  60                   4                  16                   a
                1.24                0.01                44.9                 0.4                  59                   4                  16                   r
