             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                2.33                0.00                13.3                 0.0                 131                  22                   1                   a
                2.52                0.00                14.4                 0.0                 210                  22                   1                   r
                2.75                0.14                15.7                 0.8                 138                  18                   2                   a
                3.10                0.04                17.8                 0.2                 174                  21                   3                   a
                3.34                0.08                19.1                 0.5                 206                   6                   3                   r
                3.40                0.00                19.5                 0.0                 178                  22                   1                   a
                3.59                0.10                20.5                 0.6                 210                  17                   4                   a
                3.63                0.08                20.8                 0.5                 240                  16                   2                   r
                3.88                0.08                22.2                 0.4                 194                  19                   2                   a
                4.10                0.07                23.5                 0.4                 235                  22                   2                   a
                4.17                0.08                23.9                 0.5                 243                   7                   4                   r
                4.94                0.49                28.3                 2.8                 251                   6                  25                   r
                6.05                0.85                34.7                 4.9                 255                   7                  25                   a
                6.70                0.32                38.4                 1.9                 291                   4                  25                   r
                7.66                0.24                43.9                 1.4                 296                   5                  25                   r
                8.19                0.57                46.9                 3.3                 283                   6                  25                   a
                8.30                0.19                47.6                 1.1                 288                   3                  25                   r
                8.98                0.22                51.4                 1.2                 300                   4                  25                   r
                9.42                0.15                54.0                 0.8                 316                   5                  25                   a
                9.69                0.17                55.5                 1.0                 302                   4                  25                   r
               10.02                0.18                57.4                 1.0                 313                   6                  25                   a
               10.28                0.17                58.9                 1.0                 300                   4                  25                   r
               10.70                0.22                61.3                 1.2                 327                   5                  25                   a
               10.73                0.12                61.5                 0.7                 301                   3                  25                   r
               11.20                0.11                64.2                 0.6                 301                   5                  25                   r
               11.59                0.12                66.4                 0.7                 316                   5                  25                   r
               11.92                0.47                68.3                 2.7                 311                   7                  25                   a
               12.10                0.17                69.3                 1.0                 307                   4                  25                   r
               12.55                0.11                71.9                 0.7                 311                   5                  25                   r
               12.97                0.13                74.3                 0.7                 313                   4                  25                   r
               13.37                0.12                76.6                 0.7                 309                   4                  25                   r
               13.75                0.10                78.8                 0.6                 306                   4                  25                   r
               13.81                0.56                79.2                 3.2                 300                   6                  25                   a
               14.01                0.07                80.3                 0.4                 303                   4                  25                   r
               14.30                0.07                81.9                 0.4                 297                   5                  25                   r
               14.64                0.13                83.9                 0.8                 307                   4                  25                   r
               14.98                0.08                85.8                 0.5                 314                   4                  25                   r
               15.29                0.09                87.6                 0.5                 315                   3                  25                   r
               15.63                0.09                89.6                 0.5                 315                   3                  25                   r
               15.90                0.08                91.1                 0.5                 310                   5                  25                   r
               16.27                0.13                93.2                 0.8                 311                   4                  25                   r
               16.80                0.20                96.3                 1.1                 308                   6                  25                   r
               16.97                1.29                97.2                 7.4                 293                   7                  25                   a
               17.36                0.21                99.5                 1.2                 309                   4                  25                   r
               17.98                0.16               103.0                 0.9                 311                   4                  25                   r
               18.53                0.16               106.2                 0.9                 323                   6                  25                   r
               19.22                0.22               110.1                 1.3                 317                   5                  25                   r
               20.11                0.35               115.2                 2.0                 320                   4                  25                   r
               20.73                1.40               118.8                 8.0                 290                   8                  19                   a
               21.71                0.74               124.4                 4.2                 306                   8                  19                   r
