             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.33                0.04                 3.3                 0.4                 106                  11                   3                   a
                0.54                0.04                 5.3                 0.4                  94                  12                   2                   a
                0.67                0.00                 6.6                 0.0                  77                  10                   1                   r
                0.77                0.01                 7.6                 0.1                  93                  12                   2                   a
                0.98                0.05                 9.7                 0.5                 135                  16                   3                   a
                1.00                0.05                 9.9                 0.5                 135                   4                   2                   r
                1.19                0.07                11.8                 0.6                 140                   2                   8                   a
                1.26                0.01                12.5                 0.1                 150                   1                   3                   r
                1.40                0.07                13.9                 0.6                 148                   3                   7                   a
                1.60                0.06                15.9                 0.6                 159                   6                   8                   a
                1.65                0.05                16.4                 0.4                 150                  10                   6                   r
                1.85                0.07                18.3                 0.7                 166                   6                  13                   a
                1.93                0.01                19.2                 0.1                 132                   5                   3                   r
                2.07                0.04                20.5                 0.4                 151                   8                   5                   r
                2.10                0.05                20.8                 0.5                 173                  10                   8                   a
                2.27                0.06                22.5                 0.6                 156                   7                   8                   a
                2.29                0.07                22.7                 0.7                 154                   9                   3                   r
                2.50                0.08                24.8                 0.8                 136                   4                   7                   r
                2.50                0.06                24.8                 0.6                 142                   7                  12                   a
                2.61                0.13                25.9                 1.3                 146                   4                  23                   a
                2.83                0.24                28.0                 2.4                 151                   4                  23                   r
                3.05                0.11                30.2                 1.1                 161                   3                  23                   a
                3.43                0.11                34.0                 1.1                 163                   3                  23                   a
                3.76                0.26                37.2                 2.6                 162                   5                  23                   r
                3.77                0.11                37.4                 1.1                 172                   3                  23                   a
                4.08                0.07                40.4                 0.7                 182                   4                  23                   a
                4.35                0.13                43.1                 1.3                 161                   4                  23                   r
                4.40                0.12                43.6                 1.2                 184                   3                  23                   a
                4.95                0.27                49.1                 2.7                 180                   3                  23                   r
                5.11                0.26                50.7                 2.6                 187                   4                  23                   a
                5.88                0.17                58.3                 1.7                 192                   5                  23                   a
                5.92                0.39                58.7                 3.9                 196                   4                  23                   r
                6.48                0.23                64.2                 2.2                 184                   4                  23                   a
                7.53                0.42                74.7                 4.2                 191                   4                  23                   a
                8.31                1.33                82.4                13.2                 192                   5                  22                   r
                8.99                0.41                89.2                 4.0                 188                   5                  23                   a
               10.07                0.41                99.9                 4.0                 199                   4                  19                   a
