             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.01                0.00                 3.1                 0.0                   3                   5                   1                   r
                0.02                0.00                 5.0                 0.6                   8                   6                   5                   a
                0.02                0.00                 5.1                 0.2                  14                   5                   2                   r
                0.03                0.00                 7.0                 0.5                  28                   3                   7                   a
                0.03                0.00                 7.2                 0.3                  19                   3                   6                   r
                0.04                0.00                 8.5                 0.5                  24                   2                  18                   a
                0.04                0.00                 8.7                 0.4                  24                   4                   6                   r
                0.05                0.00                10.4                 0.6                  20                   3                  11                   r
                0.05                0.00                10.6                 0.5                  28                   1                  21                   a
                0.05                0.00                12.3                 0.6                  22                   3                  12                   r
                0.05                0.00                12.4                 0.6                  30                   1                  19                   a
                0.06                0.00                14.3                 0.5                  29                   2                  17                   a
                0.06                0.00                14.3                 0.7                  22                   3                  19                   r
                0.07                0.00                15.9                 0.5                  33                   2                  19                   a
                0.07                0.00                16.2                 0.6                  22                   3                  16                   r
                0.08                0.00                18.0                 0.6                  29                   2                  24                   r
                0.08                0.00                18.1                 0.6                  31                   3                  24                   a
                0.09                0.00                19.8                 0.5                  23                   2                  24                   r
                0.09                0.00                20.4                 0.6                  29                   2                  24                   a
                0.09                0.00                21.6                 0.5                  29                   2                  24                   r
                0.10                0.00                22.4                 0.6                  34                   1                  24                   a
                0.10                0.00                23.4                 0.5                  30                   2                  24                   r
                0.11                0.00                24.6                 0.6                  34                   2                  24                   a
                0.11                0.00                25.1                 0.6                  33                   2                  24                   r
                0.11                0.00                26.3                 0.5                  35                   3                  24                   a
                0.12                0.00                27.0                 0.6                  32                   3                  24                   r
                0.12                0.00                27.9                 0.5                  38                   1                  24                   a
                0.13                0.00                28.8                 0.6                  32                   3                  24                   r
                0.13                0.00                29.3                 0.4                  33                   3                  24                   a
                0.13                0.00                30.7                 0.5                  37                   3                  24                   r
                0.13                0.00                30.9                 0.5                  35                   3                  24                   a
                0.14                0.00                32.5                 0.5                  34                   2                  24                   r
                0.14                0.00                32.9                 0.7                  39                   2                  24                   a
                0.15                0.00                34.3                 0.4                  35                   2                  24                   r
                0.15                0.00                35.2                 0.6                  37                   3                  24                   a
                0.16                0.00                36.1                 0.5                  34                   3                  24                   r
                0.16                0.00                36.9                 0.5                  39                   2                  24                   a
                0.17                0.00                38.1                 0.4                  33                   2                  24                   r
                0.17                0.00                38.6                 0.5                  39                   3                  24                   a
                0.17                0.00                39.7                 0.5                  32                   3                  24                   r
                0.18                0.00                40.1                 0.5                  30                   3                  24                   a
                0.18                0.00                41.6                 0.4                  33                   3                  24                   r
                0.18                0.00                41.8                 0.4                  35                   4                  24                   a
                0.19                0.00                43.2                 0.5                  29                   2                  24                   r
                0.19                0.00                43.2                 0.5                  37                   2                  24                   a
                0.20                0.00                44.9                 0.6                  36                   2                  24                   r
                0.20                0.00                45.0                 0.4                  36                   2                  24                   a
                0.20                0.00                46.5                 0.4                  39                   2                  24                   r
                0.20                0.00                46.6                 0.6                  30                   2                  24                   a
                0.21                0.00                48.1                 0.6                  41                   2                  24                   r
                0.21                0.00                48.1                 0.6                  36                   2                  24                   a
                0.22                0.00                49.4                 0.3                  46                   3                  24                   r
                0.22                0.00                50.4                 0.7                  34                   3                  24                   a
                0.22                0.00                50.6                 0.3                  46                   4                  24                   r
                0.23                0.00                51.8                 0.4                  50                   3                  24                   r
                0.23                0.00                52.9                 0.7                  42                   2                  24                   a
                0.23                0.00                53.1                 0.4                  43                   2                  24                   r
                0.24                0.00                54.2                 0.3                  47                   3                  24                   r
                0.24                0.00                55.2                 0.3                  53                   2                  24                   r
                0.24                0.00                55.2                 0.7                  48                   3                  24                   a
                0.25                0.00                56.2                 0.3                  52                   3                  24                   r
