             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.03                0.00                 0.6                 0.0                   1                   9                   1                   a
                0.06                0.02                 1.2                 0.4                  11                   2                   2                   r
                0.12                0.02                 2.4                 0.4                  17                   9                   2                   a
                0.15                0.01                 3.0                 0.2                  15                  13                   4                   r
                0.20                0.02                 4.0                 0.4                  11                   6                   5                   a
                0.22                0.00                 4.4                 0.0                  -6                   6                   3                   r
                0.28                0.03                 5.7                 0.6                  27                   1                   2                   a
                0.28                0.02                 5.7                 0.4                  10                   8                   4                   r
                0.36                0.03                 7.3                 0.6                  16                   3                   8                   a
                0.36                0.03                 7.3                 0.6                  17                   5                   8                   r
                0.44                0.02                 8.9                 0.4                  31                   6                   5                   a
                0.44                0.02                 8.9                 0.4                  27                   5                   7                   r
                0.52                0.06                10.5                 1.2                  29                   3                  25                   r
                0.58                0.10                11.7                 2.0                  28                   3                  25                   a
                0.68                0.03                13.8                 0.6                  23                   3                  25                   r
                0.77                0.02                15.6                 0.4                  25                   2                  25                   r
                0.86                0.03                17.4                 0.6                  25                   4                  25                   r
                0.95                0.04                19.2                 0.8                  24                   2                  25                   r
                0.96                0.11                19.4                 2.2                  27                   4                  25                   a
                1.12                0.07                22.6                 1.4                  35                   3                  25                   r
                1.24                0.07                25.1                 1.4                  39                   3                  25                   a
                1.38                0.08                27.9                 1.6                  42                   5                  25                   r
                1.55                0.13                31.3                 2.6                  36                   3                  25                   a
                1.66                0.10                33.6                 2.0                  41                   4                  25                   r
                1.98                0.18                40.0                 3.6                  48                   4                  25                   a
                2.06                0.17                41.7                 3.4                  51                   7                  19                   r
