             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.14                0.00                 1.8                 0.0                   8                   9                   1                   r
                0.22                0.00                 2.8                 0.0                  -6                   9                   1                   a
                0.31                0.00                 4.0                 0.0                  28                   9                   1                   r
                0.35                0.00                 4.6                 0.0                  24                   9                   1                   r
                0.47                0.01                 6.1                 0.1                  23                   9                   2                   r
                2.06                0.86                26.8                11.2                  40                   4                  22                   r
                3.18                0.19                41.3                 2.5                  48                   3                  22                   r
                3.92                0.23                50.8                 3.0                  63                   4                  22                   r
                3.97                1.15                51.5                14.9                  77                   4                  22                   a
                4.49                0.12                58.2                 1.6                  66                   2                  22                   r
                4.77                0.04                61.9                 0.5                  70                   2                  22                   r
                4.97                0.08                64.4                 1.0                  78                   1                  22                   r
                5.27                0.13                68.3                 1.7                  80                   2                  22                   r
                5.63                0.17                73.0                 2.2                  77                   2                  22                   a
                5.89                0.22                76.4                 2.9                  89                   3                  22                   r
                6.25                0.20                81.1                 2.6                  85                   2                  22                   a
                6.87                0.25                89.1                 3.3                  93                   4                  22                   r
                6.90                0.21                89.5                 2.8                  87                   2                  22                   a
                7.57                0.15                98.2                 2.0                  96                   3                  22                   r
                8.03                0.17               104.2                 2.2                  91                   2                  22                   r
                8.39                0.82               108.8                10.7                  88                   3                  22                   a
                9.08                0.56               117.8                 7.2                  98                   6                  15                   r
               12.68                1.30               164.5                16.8                  92                   3                  18                   a
