             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.02                0.01                 0.7                 0.3                 -10                   7                   2                   a
                0.03                0.00                 1.0                 0.0                  55                   3                   3                   r
                0.05                0.01                 1.7                 0.3                  12                   6                   8                   a
                0.06                0.01                 2.1                 0.3                  65                   4                   9                   r
                0.09                0.01                 3.1                 0.3                  39                   7                   9                   a
                0.09                0.01                 3.1                 0.3                  55                   5                  10                   r
                0.12                0.01                 4.2                 0.3                  63                  12                   5                   a
                0.12                0.01                 4.2                 0.3                  66                   7                  10                   r
                0.15                0.01                 5.2                 0.3                  96                   4                  14                   r
                0.16                0.01                 5.6                 0.3                  97                   5                   8                   a
                0.19                0.01                 6.6                 0.3                  86                  10                   6                   a
                0.19                0.00                 6.6                 0.0                 111                   3                   7                   r
                0.22                0.01                 7.7                 0.3                 117                   7                  14                   r
                0.23                0.01                 8.0                 0.3                  53                  13                   3                   a
                0.26                0.00                 9.1                 0.0                 128                   8                   2                   a
                0.26                0.01                 9.1                 0.3                 114                   4                  14                   r
                0.29                0.01                10.1                 0.3                 133                   1                   2                   a
                0.30                0.01                10.5                 0.3                 129                   7                  13                   r
                0.32                0.00                11.2                 0.0                 113                  14                   2                   a
                0.33                0.01                11.5                 0.3                 141                   6                  11                   r
                0.36                0.01                12.6                 0.3                 121                   6                  12                   r
                0.37                0.00                12.9                 0.0                 129                  23                   1                   a
                0.39                0.01                13.6                 0.3                 116                  14                   3                   a
                0.40                0.01                14.0                 0.3                 116                   9                  11                   r
                0.43                0.01                15.0                 0.3                 110                   7                  11                   r
                0.44                0.01                15.4                 0.3                 121                  11                   5                   a
                0.47                0.00                16.4                 0.0                 138                   2                   3                   a
                0.47                0.01                16.4                 0.3                 116                   6                  13                   r
                0.50                0.00                17.5                 0.0                 155                  23                   1                   a
                0.51                0.01                17.8                 0.3                 115                   4                  11                   r
                0.53                0.01                18.5                 0.3                 139                  18                   5                   a
                0.54                0.01                18.9                 0.3                  97                   6                   5                   r
                0.57                0.01                19.9                 0.3                 112                  14                   8                   r
                0.58                0.01                20.3                 0.3                  98                  14                   4                   a
                0.61                0.01                21.3                 0.3                 141                  10                   5                   a
                0.61                0.01                21.3                 0.3                 106                  13                   5                   r
                0.64                0.01                22.4                 0.3                 140                  13                   4                   a
                0.64                0.01                22.4                 0.3                  85                   8                   7                   r
                0.68                0.01                23.8                 0.3                 116                  16                   6                   a
                0.68                0.01                23.8                 0.3                  77                  13                   5                   r
                0.70                0.01                24.5                 0.3                 142                  13                   6                   a
                0.71                0.01                24.8                 0.3                  99                  17                   3                   r
                0.75                0.01                26.2                 0.3                 109                  23                   5                   a
                0.75                0.01                26.2                 0.3                  95                   7                   7                   r
                0.78                0.01                27.3                 0.3                 129                  11                   4                   a
                0.78                0.01                27.3                 0.3                  88                   7                   4                   r
                0.81                0.01                28.3                 0.3                  83                   8                   6                   r
                0.82                0.01                28.7                 0.3                 125                  10                   8                   a
                0.85                0.01                29.7                 0.3                 108                   6                   3                   a
                0.85                0.01                29.7                 0.3                 124                  10                   7                   r
                0.88                0.01                30.8                 0.3                 117                   9                  11                   r
                0.89                0.01                31.1                 0.3                 152                   9                   2                   a
                0.92                0.01                32.2                 0.3                 119                  12                   3                   a
                0.92                0.01                32.2                 0.3                 141                   8                  10                   r
                0.95                0.01                33.2                 0.3                 141                  13                   4                   a
                0.96                0.01                33.6                 0.3                 134                   7                  24                   r
                0.99                0.01                34.6                 0.3                 121                  15                   6                   a
                0.99                0.01                34.6                 0.3                 147                   5                  14                   r
                1.02                0.01                35.7                 0.3                 127                   9                  12                   r
                1.03                0.01                36.0                 0.3                 137                   5                   3                   a
                1.06                0.01                37.1                 0.3                 137                   7                   3                   a
                1.06                0.01                37.1                 0.3                 126                  10                  10                   r
                1.09                0.01                38.1                 0.3                 117                  15                   8                   r
                1.10                0.01                38.5                 0.3                 143                  20                   5                   a
