             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.07                0.00                 0.8                 0.0                  -5                   7                   1                   r
                0.19                0.04                 2.2                 0.5                  11                   3                   2                   a
                0.21                0.03                 2.4                 0.3                   7                   2                   3                   r
                0.32                0.04                 3.7                 0.5                  35                   0                   2                   a
                0.33                0.04                 3.8                 0.5                  33                   7                   6                   r
                0.48                0.00                 5.5                 0.0                  40                   7                   1                   r
                0.57                0.03                 6.5                 0.3                  40                   6                   5                   a
                0.58                0.03                 6.6                 0.3                  49                   4                   5                   r
                0.70                0.04                 8.0                 0.5                  60                   3                   9                   r
                0.72                0.04                 8.3                 0.5                  57                   6                   5                   a
                0.84                0.04                 9.6                 0.5                  56                   5                  10                   r
                0.86                0.04                 9.9                 0.5                  70                   5                   6                   a
                0.99                0.03                11.3                 0.3                  73                   2                   9                   a
                0.99                0.04                11.3                 0.5                  61                   2                  12                   r
                1.10                0.03                12.6                 0.3                  64                   2                  15                   r
                1.13                0.03                12.9                 0.3                  84                   4                   8                   a
                1.23                0.04                14.1                 0.5                  77                   3                  14                   a
                1.23                0.03                14.1                 0.3                  67                   2                  20                   r
                1.35                0.03                15.5                 0.3                  80                   1                  25                   r
                1.41                0.07                16.2                 0.8                  86                   2                  25                   a
                1.46                0.03                16.7                 0.3                  82                   2                  25                   r
                1.56                0.02                17.9                 0.2                  86                   1                  25                   r
                1.65                0.03                18.9                 0.3                  88                   1                  25                   r
                1.66                0.08                19.0                 0.9                  86                   2                  25                   a
                1.74                0.03                19.9                 0.3                  92                   1                  25                   r
                1.83                0.02                21.0                 0.2                  88                   2                  25                   r
                1.90                0.06                21.8                 0.7                  98                   3                  25                   a
                1.91                0.03                21.9                 0.3                  91                   1                  25                   r
                2.00                0.02                22.9                 0.2                  94                   2                  25                   r
                2.08                0.05                23.8                 0.6                  98                   2                  25                   a
                2.10                0.03                24.1                 0.3                  94                   2                  25                   r
                2.19                0.02                25.1                 0.2                 100                   2                  25                   r
                2.23                0.04                25.6                 0.5                 102                   2                  25                   a
                2.29                0.03                26.2                 0.3                 102                   2                  25                   r
                2.39                0.03                27.4                 0.3                 108                   1                  25                   r
                2.40                0.06                27.5                 0.7                 102                   2                  25                   a
                2.48                0.02                28.4                 0.2                 107                   2                  25                   r
                2.57                0.03                29.5                 0.3                 109                   1                  25                   r
                2.61                0.05                29.9                 0.6                 105                   2                  25                   a
                2.68                0.03                30.7                 0.3                 107                   2                  25                   r
                2.77                0.03                31.7                 0.3                 112                   2                  25                   r
                2.84                0.08                32.5                 0.9                 107                   2                  25                   a
                2.87                0.03                32.9                 0.3                 108                   2                  25                   r
                2.98                0.03                34.1                 0.3                 114                   2                  25                   r
                3.09                0.07                35.4                 0.8                 109                   1                  25                   a
                3.09                0.04                35.4                 0.5                 116                   3                  25                   r
                3.23                0.05                37.0                 0.6                 119                   2                  25                   r
                3.32                0.06                38.0                 0.7                 108                   2                  25                   a
                3.38                0.05                38.7                 0.6                 117                   1                  25                   r
                3.54                0.06                40.6                 0.7                 113                   2                  25                   a
                3.56                0.04                40.8                 0.5                 116                   2                  25                   r
                3.74                0.06                42.9                 0.7                 107                   2                  25                   r
                3.80                0.08                43.5                 0.9                 111                   2                  25                   a
                3.91                0.05                44.8                 0.6                 102                   2                  25                   r
                4.07                0.04                46.6                 0.5                 107                   3                  25                   r
                4.19                0.03                48.0                 0.3                 110                   2                  25                   r
                4.30                0.03                49.3                 0.3                 110                   1                  25                   r
                4.41                0.04                50.5                 0.5                 113                   2                  25                   r
                4.56                0.65                52.3                 7.4                 122                   3                  25                   a
                4.56                0.06                52.3                 0.7                 116                   2                  25                   r
                4.74                0.06                54.3                 0.7                 125                   2                  25                   r
                4.96                0.07                56.8                 0.8                 127                   2                  25                   r
                5.30                0.13                60.7                 1.5                 127                   2                  25                   r
                6.00                0.34                68.8                 3.9                 129                   4                  16                   r
