             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.06                0.01                 0.9                 0.2                   5                   0                   2                   r
                0.10                0.01                 1.7                 0.2                  10                   1                   3                   a
                0.10                0.00                 1.8                 0.0                   6                   7                   1                   r
                0.17                0.02                 2.8                 0.4                   2                   3                   4                   a
                0.18                0.02                 3.0                 0.3                   4                   3                   6                   r
                0.23                0.02                 3.9                 0.3                  14                   1                   4                   r
                0.23                0.01                 3.9                 0.2                   1                   2                   6                   a
                0.30                0.02                 5.0                 0.3                  15                   3                  10                   r
                0.31                0.02                 5.2                 0.4                   2                   2                   9                   a
                0.37                0.02                 6.2                 0.4                  12                   1                   8                   r
                0.37                0.02                 6.2                 0.3                   6                   2                  10                   a
                0.43                0.02                 7.3                 0.3                  14                   2                  14                   r
                0.44                0.02                 7.5                 0.3                   7                   2                  12                   a
                0.50                0.02                 8.4                 0.3                  21                   2                  10                   r
                0.50                0.02                 8.5                 0.3                  19                   2                  11                   a
                0.56                0.01                 9.5                 0.2                  25                   1                  13                   r
                0.58                0.02                 9.8                 0.3                  19                   3                  15                   a
                0.64                0.02                10.8                 0.4                  35                   3                  17                   r
                0.64                0.02                10.9                 0.3                  23                   2                  13                   a
                0.70                0.02                11.9                 0.3                  39                   2                  16                   r
                0.71                0.02                12.0                 0.3                  22                   2                  15                   a
                0.78                0.02                13.1                 0.3                  28                   3                   7                   a
                0.78                0.02                13.1                 0.4                  44                   3                  14                   r
                0.81                0.04                13.7                 0.7                  45                   2                  24                   r
                0.83                0.03                14.0                 0.5                  31                   1                  24                   a
                0.94                0.03                16.0                 0.5                  27                   1                  24                   a
                0.96                0.04                16.2                 0.6                  51                   1                  24                   r
                1.07                0.04                18.1                 0.7                  25                   2                  24                   a
                1.12                0.05                19.0                 0.8                  57                   3                  24                   r
                1.18                0.03                19.9                 0.5                  30                   1                  24                   a
                1.27                0.03                21.5                 0.5                  36                   2                  24                   a
                1.27                0.06                21.5                 1.0                  53                   3                  24                   r
                1.36                0.02                22.9                 0.3                  36                   2                  24                   a
                1.44                0.02                24.4                 0.4                  42                   2                  24                   a
                1.47                0.06                24.8                 1.0                  52                   3                  24                   r
                1.51                0.02                25.5                 0.4                  48                   3                  24                   a
                1.58                0.02                26.7                 0.3                  48                   1                  24                   a
                1.64                0.02                27.7                 0.4                  55                   2                  24                   a
                1.70                0.07                28.8                 1.2                  56                   3                  24                   r
                1.72                0.02                29.0                 0.3                  60                   2                  24                   a
                1.78                0.02                30.0                 0.3                  63                   2                  24                   a
                1.86                0.03                31.4                 0.4                  63                   1                  24                   a
                1.94                0.07                32.9                 1.3                  60                   3                  24                   r
                1.94                0.02                32.9                 0.4                  68                   2                  24                   a
                2.01                0.02                34.0                 0.3                  70                   2                  24                   a
                2.08                0.02                35.1                 0.3                  71                   1                  24                   a
                2.14                0.02                36.1                 0.4                  77                   1                  24                   a
                2.20                0.07                37.2                 1.1                  66                   4                  24                   r
                2.21                0.02                37.4                 0.3                  74                   2                  24                   a
                2.28                0.02                38.6                 0.4                  78                   1                  24                   a
                2.35                0.02                39.7                 0.3                  83                   2                  24                   a
                2.38                0.06                40.3                 0.9                  67                   4                  24                   r
                2.43                0.03                41.1                 0.5                  83                   2                  24                   a
                2.51                0.02                42.4                 0.3                  86                   2                  24                   a
                2.53                0.04                42.8                 0.7                  77                   3                  24                   r
                2.58                0.03                43.7                 0.5                  89                   2                  24                   a
                2.67                0.03                45.1                 0.6                  92                   2                  24                   a
                2.68                0.02                45.3                 0.4                  76                   4                  24                   r
                2.76                0.03                46.7                 0.4                  99                   3                  24                   a
                2.81                0.04                47.5                 0.7                  89                   4                  24                   r
                2.85                0.02                48.2                 0.4                 100                   2                  24                   a
                2.97                0.04                50.2                 0.7                  85                   4                  24                   r
                2.97                0.04                50.3                 0.6                 104                   3                  24                   a
                3.10                0.03                52.4                 0.6                 107                   3                  24                   a
                3.12                0.06                52.8                 0.9                  95                   3                  24                   r
                3.26                0.06                55.2                 1.0                 113                   2                  24                   a
                3.37                0.09                57.0                 1.5                 105                   4                  24                   r
                3.46                0.08                58.5                 1.4                 118                   3                  24                   a
                3.67                0.09                62.0                 1.6                 114                   3                  24                   r
                3.76                0.12                63.6                 2.0                 131                   3                  24                   a
                3.98                0.10                67.3                 1.6                 125                   2                  24                   r
                4.26                0.18                72.0                 3.0                 135                   3                  24                   a
                4.36                0.12                73.8                 2.1                 133                   3                  24                   r
                4.98                0.26                84.1                 4.3                 142                   7                  10                   r
                5.01                0.35                84.7                 6.0                 161                   8                  15                   a
