             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.28                0.00                 2.8                 0.0                  83                  18                   1                   r
                0.50                0.05                 5.0                 0.5                 121                  11                   2                   r
                0.69                0.07                 6.9                 0.7                 162                   7                   2                   a
                0.90                0.03                 9.0                 0.3                 165                  10                   3                   a
                0.90                0.02                 9.0                 0.2                 149                   4                   2                   r
                1.09                0.05                10.9                 0.5                 164                   8                   4                   a
                1.09                0.02                10.9                 0.2                 167                  18                   2                   r
                1.27                0.02                12.7                 0.2                 180                  11                   3                   r
                1.28                0.05                12.8                 0.5                 186                   6                  11                   a
                1.42                0.05                14.1                 0.5                 185                   7                   8                   a
                1.49                0.04                14.8                 0.4                 179                   5                   6                   r
                1.62                0.06                16.1                 0.6                 184                   4                  21                   a
                1.64                0.06                16.3                 0.6                 183                   6                  11                   r
                1.82                0.06                18.1                 0.6                 195                   3                  23                   a
                1.82                0.05                18.1                 0.5                 182                   5                  15                   r
                1.98                0.03                19.7                 0.3                 203                   3                  25                   a
                2.03                0.06                20.2                 0.6                 184                   3                  25                   r
                2.11                0.04                21.0                 0.4                 200                   2                  25                   a
                2.21                0.05                22.0                 0.5                 189                   2                  25                   r
                2.24                0.04                22.3                 0.4                 216                   2                  25                   a
                2.37                0.05                23.6                 0.5                 203                   2                  25                   a
                2.38                0.03                23.7                 0.3                 195                   2                  25                   r
                2.52                0.05                25.1                 0.5                 200                   2                  25                   r
                2.53                0.05                25.2                 0.5                 211                   3                  25                   a
                2.66                0.04                26.5                 0.4                 200                   2                  25                   r
                2.71                0.05                27.0                 0.5                 207                   3                  25                   a
                2.80                0.03                27.9                 0.3                 206                   3                  25                   r
                2.88                0.05                28.7                 0.5                 214                   4                  25                   a
                2.93                0.03                29.2                 0.3                 201                   2                  25                   r
                3.05                0.04                30.4                 0.4                 210                   4                  25                   r
                3.12                0.09                31.1                 0.9                 209                   3                  25                   a
                3.18                0.04                31.7                 0.4                 209                   2                  25                   r
                3.29                0.03                32.8                 0.3                 207                   3                  25                   r
                3.41                0.03                34.0                 0.3                 220                   2                  25                   r
                3.42                0.11                34.1                 1.1                 209                   4                  25                   a
                3.55                0.04                35.4                 0.4                 216                   3                  25                   r
                3.69                0.05                36.8                 0.5                 223                   2                  25                   r
                3.86                0.05                38.5                 0.5                 221                   4                  25                   r
                3.91                0.13                39.0                 1.3                 215                   4                  25                   a
                4.03                0.07                40.2                 0.7                 219                   3                  25                   r
                4.34                0.11                43.2                 1.1                 210                   2                  25                   a
                4.41                0.13                43.9                 1.3                 218                   4                  25                   r
                4.75                0.12                47.3                 1.2                 219                   3                  25                   a
                4.94                0.16                49.2                 1.6                 211                   4                  25                   r
                5.28                0.16                52.6                 1.6                 203                   4                  25                   a
                5.56                0.18                55.4                 1.8                 217                   4                  25                   r
                5.76                0.10                57.4                 1.0                 211                   3                  25                   a
                6.07                0.07                60.5                 0.7                 214                   3                  25                   a
                6.11                0.15                60.9                 1.5                 220                   2                  25                   r
                6.32                0.07                63.0                 0.7                 215                   4                  25                   a
                6.59                0.14                65.7                 1.4                 222                   2                  25                   r
                6.62                0.08                66.0                 0.8                 212                   3                  25                   a
                7.02                0.10                70.0                 1.0                 215                   4                  25                   a
                7.10                0.17                70.7                 1.7                 215                   3                  25                   r
                7.39                0.11                73.6                 1.1                 209                   3                  25                   a
                7.79                0.11                77.6                 1.1                 204                   3                  25                   a
                7.92                0.31                78.9                 3.1                 194                   4                  25                   r
                8.27                0.20                82.4                 2.0                 205                   4                  25                   a
                8.78                0.24                87.5                 2.4                 207                   4                  25                   r
                9.24                0.44                92.1                 4.4                 205                   4                  25                   a
                9.31                0.10                92.8                 1.0                 205                   3                  25                   r
                9.62                0.07                95.9                 0.7                 208                   2                  25                   r
                9.93                0.12                98.9                 1.2                 211                   3                  25                   r
               10.49                0.29               104.5                 2.9                 208                   4                  14                   r
               13.31                1.83               132.6                18.2                 210                   4                  14                   a
