             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.16                0.04                 2.3                 0.6                  33                   7                   2                   a
                0.16                0.04                 2.3                 0.6                  20                  16                   3                   r
                0.26                0.00                 3.7                 0.0                  28                  17                   1                   a
                0.30                0.00                 4.3                 0.0                  13                  17                   1                   r
                0.38                0.00                 5.4                 0.0                  21                  17                   1                   r
                0.40                0.02                 5.7                 0.3                  43                   8                   3                   a
                0.49                0.00                 7.0                 0.0                  49                  17                   1                   r
                0.54                0.04                 7.7                 0.6                  32                   9                   4                   a
                0.65                0.04                 9.2                 0.6                  32                  11                   2                   a
                0.66                0.02                 9.4                 0.3                  47                  17                   3                   r
                0.78                0.04                11.1                 0.6                  47                   4                   6                   a
                0.79                0.00                11.2                 0.0                  81                  17                   1                   r
                1.02                0.15                14.5                 2.1                  53                   2                  20                   a
                1.20                0.20                17.1                 2.8                  71                   4                  20                   r
                1.44                0.12                20.5                 1.7                  65                   3                  20                   a
                1.86                0.11                26.5                 1.6                  81                   2                  20                   a
                1.86                0.16                26.5                 2.3                  80                   2                  20                   r
                2.17                0.06                30.9                 0.9                  88                   3                  20                   a
                2.33                0.11                33.1                 1.6                  84                   4                  20                   r
                2.36                0.05                33.6                 0.7                  89                   2                  20                   a
                2.55                0.08                36.3                 1.1                  94                   2                  20                   a
                2.84                0.11                40.4                 1.6                  93                   4                  20                   r
                2.85                0.06                40.5                 0.9                 103                   2                  20                   a
                3.04                0.05                43.2                 0.7                  97                   2                  20                   a
                3.19                0.04                45.4                 0.6                  92                   3                  20                   a
                3.24                0.15                46.1                 2.1                  97                   3                  20                   r
                3.35                0.05                47.7                 0.7                 108                   3                  20                   a
                3.54                0.07                50.4                 1.0                 101                   1                  20                   a
                3.59                0.08                51.1                 1.1                 105                   3                  20                   r
                3.81                0.06                54.2                 0.9                 109                   2                  20                   r
                3.94                0.38                56.0                 5.4                 108                   5                  16                   a
                4.11                0.14                58.5                 2.0                 108                   3                  20                   r
                5.04                0.45                71.7                 6.4                 109                   3                  19                   r
