             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.07                0.00                 2.1                 0.0                  52                   7                   1                   r
                0.20                0.02                 5.9                 0.5                  65                   1                   2                   r
                0.20                0.04                 6.1                 1.1                  66                   0                   2                   a
                0.28                0.02                 8.4                 0.7                  36                   6                   6                   r
                0.31                0.04                 9.4                 1.2                  44                  16                   4                   a
                0.41                0.04                12.3                 1.1                  44                   6                  16                   a
                0.41                0.04                12.4                 1.1                  63                   7                   9                   r
                0.46                0.03                13.9                 0.8                  44                   7                  18                   a
                0.51                0.05                15.3                 1.6                  50                   6                  18                   r
                0.53                0.01                15.8                 0.4                  61                   4                  18                   a
                0.58                0.01                17.3                 0.3                  62                   8                  18                   a
                0.62                0.01                18.5                 0.3                  68                   5                  18                   a
                0.66                0.04                19.7                 1.3                  69                   4                  18                   r
                0.66                0.01                19.7                 0.4                  77                   4                  18                   a
                0.70                0.01                20.9                 0.4                  85                   5                  18                   a
                0.74                0.01                22.2                 0.4                  86                   4                  18                   a
                0.76                0.02                22.8                 0.5                  83                   6                  18                   r
                0.79                0.02                23.7                 0.5                 106                   5                  18                   a
                0.82                0.02                24.6                 0.5                  86                   6                  18                   r
                0.85                0.02                25.4                 0.7                 114                   4                  18                   a
                0.89                0.02                26.7                 0.5                  96                   6                  18                   r
                0.95                0.02                28.5                 0.6                  95                   5                  18                   r
                0.95                0.06                28.5                 1.7                 119                   4                  18                   a
                1.03                0.02                30.7                 0.7                  90                   7                  18                   r
                1.22                0.13                36.5                 3.8                  93                   4                  18                   r
