             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.05                0.00                 0.7                 0.0                 -38                   7                   1                   r
                0.10                0.00                 1.4                 0.0                  25                   7                   1                   a
                0.14                0.03                 2.0                 0.4                   4                   6                   2                   r
                0.20                0.00                 2.8                 0.0                   0                   7                   1                   a
                0.26                0.00                 3.6                 0.0                  -4                   7                   1                   a
                0.26                0.02                 3.6                 0.3                  17                   4                   3                   r
                0.40                0.04                 5.6                 0.6                  38                   7                   4                   a
                0.40                0.02                 5.6                 0.3                  24                   2                   6                   r
                0.51                0.04                 7.2                 0.6                  33                   4                   4                   r
                0.52                0.03                 7.3                 0.4                  55                   5                   4                   a
                0.60                0.03                 8.4                 0.4                  59                   4                   5                   a
                0.62                0.04                 8.7                 0.6                  54                   6                   8                   r
                0.70                0.03                 9.8                 0.4                  70                   7                   5                   a
                0.74                0.03                10.4                 0.4                  50                   7                   6                   r
                0.84                0.02                11.8                 0.3                  78                   2                   7                   a
                0.84                0.03                11.8                 0.4                  65                   5                   6                   r
                0.96                0.03                13.5                 0.4                  83                   5                   6                   r
                0.97                0.02                13.6                 0.3                  85                   7                   5                   a
                1.06                0.02                14.9                 0.3                  80                   3                   6                   a
                1.08                0.04                15.2                 0.6                  85                   7                   6                   r
                1.17                0.03                16.4                 0.4                  96                   5                   5                   a
                1.17                0.03                16.4                 0.4                  84                   5                   8                   r
                1.28                0.04                18.0                 0.6                  87                   2                  11                   a
                1.29                0.04                18.1                 0.6                  94                   3                   9                   r
                1.40                0.02                19.6                 0.3                  90                   4                   8                   a
                1.40                0.02                19.6                 0.3                 101                   4                   6                   r
                1.50                0.03                21.0                 0.4                  96                   3                   9                   r
                1.51                0.03                21.2                 0.4                  96                   2                  12                   a
                1.61                0.02                22.6                 0.3                 100                   2                  11                   r
                1.64                0.03                23.0                 0.4                 100                   2                  14                   a
                1.74                0.04                24.4                 0.6                  96                   2                  12                   r
                1.75                0.02                24.6                 0.3                 101                   2                  19                   a
                1.86                0.03                26.1                 0.4                 110                   2                  16                   a
                1.86                0.03                26.1                 0.4                  92                   3                  10                   r
                1.97                0.03                27.6                 0.4                 106                   3                  21                   a
                1.98                0.02                27.8                 0.3                 102                   5                   8                   r
                2.08                0.03                29.2                 0.4                 112                   3                  20                   a
                2.10                0.02                29.5                 0.3                 102                   3                  10                   r
                2.19                0.02                30.7                 0.3                 124                   2                  19                   a
                2.19                0.04                30.7                 0.6                 109                   3                  14                   r
                2.30                0.03                32.3                 0.4                 127                   2                  21                   a
                2.31                0.03                32.4                 0.4                 113                   2                  21                   r
                2.39                0.03                33.5                 0.4                 126                   3                  21                   a
                2.43                0.03                34.1                 0.4                 111                   2                  21                   r
                2.49                0.02                34.9                 0.3                 135                   2                  21                   a
                2.54                0.03                35.6                 0.4                 119                   2                  21                   r
                2.57                0.02                36.1                 0.3                 137                   3                  21                   a
                2.64                0.02                37.0                 0.3                 137                   3                  21                   a
                2.64                0.03                37.0                 0.4                 124                   2                  21                   r
                2.70                0.02                37.9                 0.3                 140                   2                  21                   a
                2.72                0.02                38.2                 0.3                 127                   2                  21                   r
                2.76                0.02                38.7                 0.3                 141                   2                  21                   a
                2.80                0.03                39.3                 0.4                 125                   2                  21                   r
                2.85                0.03                40.0                 0.4                 140                   1                  21                   a
                2.88                0.02                40.4                 0.3                 128                   1                  21                   r
                2.93                0.02                41.1                 0.3                 139                   2                  21                   a
                2.96                0.02                41.5                 0.3                 132                   2                  21                   r
                3.03                0.03                42.5                 0.4                 144                   3                  21                   a
                3.03                0.02                42.5                 0.3                 132                   1                  21                   r
                3.10                0.02                43.5                 0.3                 137                   2                  21                   r
                3.11                0.02                43.6                 0.3                 145                   2                  21                   a
                3.17                0.02                44.5                 0.3                 134                   1                  21                   r
                3.20                0.04                44.9                 0.6                 145                   2                  21                   a
                3.22                0.02                45.2                 0.3                 133                   1                  21                   r
                3.30                0.02                46.3                 0.3                 137                   1                  21                   r
                3.31                0.02                46.4                 0.3                 151                   2                  21                   a
                3.37                0.02                47.3                 0.3                 136                   2                  21                   r
                3.41                0.04                47.8                 0.6                 150                   2                  21                   a
                3.44                0.02                48.3                 0.3                 137                   2                  21                   r
                3.52                0.03                49.4                 0.4                 142                   2                  21                   r
                3.53                0.03                49.5                 0.4                 150                   3                  21                   a
                3.59                0.01                50.4                 0.1                 143                   2                  21                   r
                3.64                0.02                51.1                 0.3                 142                   2                  21                   r
                3.65                0.03                51.2                 0.4                 148                   2                  21                   a
                3.70                0.02                51.9                 0.3                 144                   1                  21                   r
                3.76                0.02                52.8                 0.3                 142                   2                  21                   r
                3.78                0.04                53.0                 0.6                 148                   2                  21                   a
                3.80                0.02                53.3                 0.3                 147                   1                  21                   r
                3.86                0.02                54.2                 0.3                 148                   1                  21                   r
                3.90                0.03                54.7                 0.4                 144                   2                  21                   a
                3.92                0.02                55.0                 0.3                 148                   2                  21                   r
                3.98                0.02                55.8                 0.3                 151                   2                  21                   r
                4.02                0.03                56.4                 0.4                 144                   3                  21                   a
                4.07                0.03                57.1                 0.4                 146                   2                  21                   r
                4.14                0.03                58.1                 0.4                 147                   2                  21                   a
                4.17                0.04                58.5                 0.6                 152                   2                  21                   r
                4.25                0.03                59.6                 0.4                 137                   3                  21                   a
                4.30                0.04                60.3                 0.6                 149                   2                  21                   r
                4.39                0.03                61.6                 0.4                 139                   2                  21                   a
                4.47                0.05                62.7                 0.7                 150                   2                  21                   r
                4.51                0.04                63.3                 0.6                 137                   3                  21                   a
                4.64                0.04                65.1                 0.6                 137                   1                  21                   a
                4.64                0.05                65.1                 0.7                 152                   2                  21                   r
                4.75                0.03                66.7                 0.4                 144                   2                  21                   a
                4.76                0.04                66.8                 0.6                 150                   2                  21                   r
                4.86                0.02                68.2                 0.3                 141                   3                  21                   a
                4.91                0.03                68.9                 0.4                 153                   3                  21                   r
                4.96                0.03                69.6                 0.4                 138                   2                  21                   a
                5.02                0.02                70.4                 0.3                 140                   2                  21                   a
                5.04                0.05                70.7                 0.7                 160                   2                  21                   r
                5.11                0.03                71.7                 0.4                 145                   2                  21                   a
                5.19                0.02                72.8                 0.3                 144                   2                  21                   a
                5.19                0.03                72.8                 0.4                 157                   3                  21                   r
                5.27                0.02                73.9                 0.3                 145                   2                  21                   a
                5.33                0.02                74.8                 0.3                 144                   2                  21                   a
                5.33                0.04                74.8                 0.6                 161                   3                  21                   r
                5.40                0.02                75.8                 0.3                 143                   2                  21                   a
                5.49                0.03                77.0                 0.4                 136                   2                  21                   a
                5.51                0.06                77.3                 0.8                 158                   2                  21                   r
                5.57                0.02                78.2                 0.3                 143                   2                  21                   a
                5.65                0.03                79.3                 0.4                 151                   2                  21                   a
                5.74                0.02                80.5                 0.3                 147                   2                  21                   a
                5.76                0.08                80.8                 1.1                 159                   3                  21                   r
                5.84                0.03                81.9                 0.4                 148                   2                  21                   a
                5.94                0.02                83.3                 0.3                 152                   3                  21                   a
                6.05                0.04                84.9                 0.6                 151                   2                  21                   a
                6.09                0.12                85.5                 1.7                 158                   3                  21                   r
                6.14                0.01                86.2                 0.1                 157                   2                  21                   a
                6.20                0.03                87.0                 0.4                 151                   1                  21                   a
                6.28                0.02                88.1                 0.3                 155                   2                  21                   a
                6.34                0.02                89.0                 0.3                 157                   2                  21                   a
                6.40                0.02                89.8                 0.3                 157                   2                  21                   a
                6.42                0.06                90.1                 0.8                 164                   2                  21                   r
                6.46                0.02                90.6                 0.3                 159                   1                  21                   a
