             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.06                0.06                 0.8                 0.8                 -13                   6                   2                   r
                0.26                0.00                 3.0                 0.0                  -1                   6                   1                   a
                0.54                0.05                 6.3                 0.6                  18                   7                   3                   r
                0.74                0.02                 8.7                 0.3                  19                   4                   3                   r
                0.74                0.03                 8.7                 0.4                   5                   2                   2                   a
                0.95                0.01                11.1                 0.1                   7                   2                   2                   r
                0.98                0.00                11.5                 0.0                  23                   6                   1                   a
                1.18                0.06                13.8                 0.7                   8                   1                   8                   r
                1.29                0.00                15.1                 0.0                  42                   6                   1                   a
                1.46                0.00                17.1                 0.0                  26                   6                   1                   a
                1.46                0.05                17.1                 0.6                  12                   9                   3                   r
                1.73                0.02                20.3                 0.3                  34                   0                   2                   r
                2.86                0.83                33.6                 9.8                  54                   5                  21                   r
                3.24                0.62                38.0                 7.3                  57                   5                  21                   a
                4.52                0.35                53.0                 4.1                  76                   4                  21                   a
                5.13                0.34                60.1                 4.0                  76                   4                  21                   r
                5.75                0.44                67.4                 5.1                  93                   4                  21                   a
                6.09                0.28                71.4                 3.3                  88                   5                  21                   r
                7.07                0.28                82.9                 3.2                  88                   4                  21                   r
                8.25                0.42                96.7                 4.9                  99                   3                  21                   r
                8.37                0.80                98.1                 9.4                 107                   5                  21                   a
                9.12                0.18               106.9                 2.1                 111                   3                  21                   r
                9.55                0.10               111.9                 1.2                 116                   2                  21                   r
                9.79                0.09               114.7                 1.0                 116                   3                  21                   r
                9.92                0.33               116.3                 3.9                 107                   2                  21                   a
               10.08                0.08               118.2                 1.0                 126                   3                  21                   r
               10.34                0.08               121.1                 1.0                 124                   4                  21                   r
               10.64                0.09               124.7                 1.0                 127                   3                  21                   r
               11.05                0.16               129.5                 1.9                 126                   4                  21                   r
               11.73                0.32               137.5                 3.8                 137                   3                  21                   r
               12.14                1.51               142.3                17.7                 133                   6                  18                   a
               13.27                0.77               155.5                 9.0                 158                   7                  15                   r
