             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                2.35                0.02                26.1                 0.2                 139                   4                  18                   a
                2.41                0.02                26.7                 0.2                 139                   3                  18                   a
                2.47                0.02                27.4                 0.2                 154                   4                  18                   a
                2.47                0.04                27.4                 0.4                 126                   5                  18                   r
                2.53                0.01                28.1                 0.1                 151                   5                  18                   a
                2.58                0.01                28.6                 0.1                 151                   3                  18                   a
                2.60                0.04                28.8                 0.4                 134                   6                  18                   r
                2.64                0.02                29.3                 0.2                 143                   4                  18                   a
                2.70                0.02                29.9                 0.2                 151                   4                  18                   a
                2.75                0.01                30.5                 0.1                 150                   3                  18                   a
                2.76                0.06                30.6                 0.7                 123                   3                  18                   r
                2.83                0.02                31.4                 0.2                 143                   4                  18                   a
                2.91                0.02                32.3                 0.2                 149                   5                  18                   a
                2.96                0.06                32.8                 0.7                 128                   5                  18                   r
                2.98                0.03                33.0                 0.3                 150                   5                  18                   a
                3.10                0.03                34.4                 0.3                 150                   4                  18                   a
                3.14                0.05                34.8                 0.6                 136                   5                  18                   r
                3.19                0.04                35.4                 0.4                 154                   4                  18                   a
                3.29                0.03                36.5                 0.3                 168                   5                  18                   a
                3.31                0.04                36.7                 0.4                 137                   5                  18                   r
                3.39                0.03                37.6                 0.3                 155                   6                  18                   a
                3.46                0.05                38.4                 0.6                 139                   4                  18                   r
                3.52                0.03                39.0                 0.3                 162                   6                  18                   a
                3.61                0.04                40.0                 0.4                 141                   4                  18                   r
                3.65                0.05                40.5                 0.6                 160                   4                  18                   a
                3.74                0.05                41.5                 0.6                 140                   4                  18                   r
                3.78                0.03                41.9                 0.3                 147                   7                  18                   a
                3.88                0.04                43.0                 0.4                 136                   3                  18                   r
                3.99                0.08                44.2                 0.9                 155                   5                  18                   a
                4.07                0.06                45.1                 0.7                 142                   4                  18                   r
                4.25                0.06                47.1                 0.7                 148                   6                  18                   a
                4.28                0.09                47.5                 1.0                 143                   5                  18                   r
                4.50                0.09                49.9                 1.0                 155                   8                  18                   a
                4.55                0.06                50.5                 0.7                 162                   4                  18                   r
                4.75                0.07                52.7                 0.8                 158                   7                  18                   a
                4.83                0.09                53.6                 1.0                 164                   4                  18                   r
                4.96                0.08                55.0                 0.9                 163                   7                  18                   a
                5.15                0.13                57.1                 1.4                 163                   6                  18                   r
                5.21                0.08                57.8                 0.9                 167                   4                  18                   a
                5.46                0.06                60.5                 0.7                 175                   4                  18                   r
                5.48                0.05                60.8                 0.6                 158                   6                  18                   a
                5.67                0.06                62.9                 0.7                 182                   4                  18                   r
                5.72                0.09                63.4                 1.0                 150                   7                  18                   a
                5.85                0.06                64.9                 0.7                 170                   7                  18                   r
                6.00                0.08                66.5                 0.9                 141                   5                  18                   a
                6.07                0.08                67.3                 0.9                 181                   7                  18                   r
                6.23                0.06                69.1                 0.7                 130                   4                  18                   a
                6.38                0.08                70.8                 0.9                 182                   5                  18                   r
                6.43                0.05                71.3                 0.6                 143                   6                  18                   a
                6.63                0.07                73.5                 0.8                 181                   5                  18                   r
                6.66                0.09                73.9                 1.0                 143                   6                  18                   a
                6.84                0.06                75.9                 0.7                 186                   7                  18                   r
                7.29                0.40                80.8                 4.4                 194                   6                  17                   r
                7.40                0.43                82.1                 4.8                 150                   6                  17                   a
