             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.10                0.03                 1.1                 0.3                  15                   4                   6                   r
                0.11                0.03                 1.2                 0.3                  45                   6                   7                   a
                0.20                0.02                 2.2                 0.2                  58                   5                   7                   a
                0.23                0.04                 2.6                 0.4                  25                   4                  16                   r
                0.39                0.04                 4.3                 0.4                  83                   5                  10                   a
                0.39                0.05                 4.3                 0.6                  56                   9                  11                   r
                0.53                0.05                 5.9                 0.6                  96                   6                  11                   a
                0.54                0.06                 6.0                 0.7                  69                   9                  11                   r
                0.69                0.03                 7.7                 0.3                  84                   9                  10                   r
                0.70                0.05                 7.8                 0.6                 100                   5                  15                   a
                0.85                0.04                 9.4                 0.4                  97                   5                  13                   a
                0.86                0.04                 9.5                 0.4                  98                   5                  18                   r
                1.00                0.05                11.1                 0.6                 110                   7                  13                   r
                1.01                0.04                11.2                 0.4                  98                   3                  22                   a
                1.16                0.04                12.9                 0.4                  96                   5                  19                   a
                1.16                0.05                12.9                 0.6                 102                   6                  23                   r
                1.21                0.04                13.4                 0.4                 105                   5                  18                   a
                1.21                0.03                13.4                 0.3                 107                   7                  18                   r
                1.34                0.04                14.9                 0.4                 117                   4                  18                   a
                1.36                0.03                15.1                 0.3                 103                   6                  18                   r
                1.45                0.03                16.1                 0.3                 115                   6                  18                   a
                1.47                0.03                16.3                 0.3                 105                   7                  18                   r
                1.57                0.04                17.4                 0.4                 118                   4                  18                   a
                1.58                0.03                17.5                 0.3                  96                   7                  18                   r
                1.67                0.02                18.5                 0.2                 127                   4                  18                   a
                1.69                0.03                18.7                 0.3                 113                   6                  18                   r
                1.76                0.04                19.5                 0.4                 126                   6                  18                   a
                1.80                0.04                20.0                 0.4                 120                   5                  18                   r
                1.86                0.02                20.6                 0.2                 132                   3                  18                   a
                1.91                0.03                21.2                 0.3                 117                   3                  18                   r
                1.94                0.02                21.5                 0.2                 139                   5                  18                   a
                1.98                0.02                22.0                 0.2                 124                   3                  18                   r
                2.01                0.02                22.3                 0.2                 133                   4                  18                   a
                2.07                0.03                23.0                 0.3                 127                   4                  18                   r
                2.08                0.01                23.1                 0.1                 141                   4                  18                   a
                2.13                0.02                23.6                 0.2                 141                   3                  18                   a
                2.16                0.03                24.0                 0.3                 132                   4                  18                   r
                2.18                0.01                24.2                 0.1                 143                   3                  18                   a
                2.23                0.02                24.7                 0.2                 144                   4                  18                   a
                2.24                0.02                24.8                 0.2                 133                   3                  18                   r
                2.29                0.02                25.4                 0.2                 152                   3                  18                   a
                2.34                0.04                25.9                 0.4                 134                   5                  18                   r
