             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.47                0.00                 6.4                 0.0                 266                  32                   2                   a
                0.58                0.05                 7.9                 0.6                 250                  13                  10                   r
                0.59                0.05                 8.1                 0.6                 251                  11                   9                   a
                0.72                0.04                 9.9                 0.6                 255                   5                  20                   a
                0.73                0.04                10.0                 0.6                 246                   5                  20                   r
                0.87                0.05                11.9                 0.7                 246                   6                  23                   r
                0.87                0.04                11.9                 0.6                 263                   6                  22                   a
                1.03                0.05                14.1                 0.7                 275                   6                  23                   a
                1.03                0.04                14.1                 0.5                 255                   7                  23                   r
                1.19                0.05                16.3                 0.6                 268                   6                  24                   a
                1.20                0.06                16.5                 0.8                 270                   7                  24                   r
                1.34                0.04                18.4                 0.6                 273                   6                  24                   a
                1.36                0.05                18.7                 0.7                 269                   6                  24                   r
                1.50                0.05                20.7                 0.7                 273                   6                  24                   a
                1.51                0.05                20.7                 0.6                 265                   5                  24                   r
                1.64                0.03                22.6                 0.5                 278                   7                  24                   a
                1.68                0.06                23.1                 0.8                 275                   7                  24                   r
                1.79                0.04                24.6                 0.5                 282                   6                  24                   a
                1.88                0.06                25.9                 0.8                 272                   5                  24                   r
                1.90                0.04                26.1                 0.5                 282                   6                  24                   a
                2.04                0.04                28.0                 0.6                 282                   6                  24                   a
                2.06                0.05                28.4                 0.6                 271                   5                  24                   r
                2.18                0.04                30.0                 0.5                 289                   7                  24                   a
                2.23                0.05                30.7                 0.8                 275                   5                  24                   r
                2.32                0.04                31.8                 0.5                 270                   6                  24                   a
                2.41                0.05                33.2                 0.7                 270                   5                  24                   r
                2.43                0.03                33.4                 0.4                 285                   6                  24                   a
                2.55                0.05                35.1                 0.7                 280                   8                  24                   a
                2.60                0.07                35.8                 1.0                 286                   7                  24                   r
                2.71                0.05                37.2                 0.7                 284                   8                  24                   a
                2.99                0.13                41.2                 1.7                 267                   6                  24                   a
                3.08                0.19                42.4                 2.6                 289                   6                  24                   r
                3.37                0.10                46.4                 1.4                 277                   5                  24                   a
                3.55                0.07                48.8                 1.0                 282                   4                  24                   r
                3.73                0.11                51.2                 1.5                 291                   7                  24                   a
                3.77                0.06                51.9                 0.8                 271                   5                  24                   r
                4.02                0.08                55.3                 1.1                 293                   6                  24                   r
                4.06                0.08                55.8                 1.2                 276                   5                  24                   a
                4.24                0.05                58.4                 0.7                 298                   6                  24                   r
                4.41                0.04                60.7                 0.6                 293                   6                  24                   r
                4.42                0.12                60.7                 1.6                 265                   6                  24                   a
                4.54                0.04                62.4                 0.6                 306                   6                  24                   r
                4.64                0.03                63.8                 0.4                 286                   7                  24                   r
                4.72                0.09                65.0                 1.2                 271                   8                  24                   a
                4.74                0.02                65.2                 0.3                 290                   6                  24                   r
                4.83                0.03                66.4                 0.4                 281                   7                  24                   r
                4.92                0.02                67.7                 0.3                 293                   6                  24                   r
                4.92                0.06                67.7                 0.9                 287                   6                  24                   a
                5.00                0.03                68.8                 0.3                 284                   7                  24                   r
                5.07                0.02                69.8                 0.3                 290                   6                  24                   r
                5.10                0.03                70.1                 0.5                 286                   5                  24                   a
                5.16                0.03                71.0                 0.4                 291                   5                  24                   r
                5.21                0.03                71.7                 0.5                 276                   6                  24                   a
                5.23                0.02                72.0                 0.3                 282                   6                  24                   r
                5.32                0.03                73.2                 0.4                 285                   4                  24                   r
                5.33                0.03                73.3                 0.3                 271                   7                  24                   a
                5.42                0.02                74.5                 0.3                 280                   6                  24                   r
                5.46                0.04                75.1                 0.5                 275                   6                  24                   a
                5.49                0.02                75.5                 0.3                 277                   8                  24                   r
                5.56                0.02                76.5                 0.3                 279                   8                  24                   r
                5.60                0.04                77.1                 0.6                 275                   6                  24                   a
                5.64                0.03                77.5                 0.4                 280                   7                  24                   r
                5.73                0.03                78.7                 0.4                 278                   7                  24                   r
                5.74                0.04                78.9                 0.5                 269                   7                  24                   a
                5.79                0.02                79.6                 0.3                 278                   9                  24                   r
                5.86                0.02                80.6                 0.3                 271                   8                  24                   r
                5.93                0.07                81.5                 0.9                 262                   6                  24                   a
                5.95                0.03                81.8                 0.4                 279                   4                  24                   r
                6.02                0.02                82.8                 0.3                 265                   7                  24                   r
                6.11                0.03                84.0                 0.4                 277                   7                  24                   r
                6.16                0.05                84.7                 0.7                 276                   7                  24                   a
                6.22                0.03                85.5                 0.5                 268                   8                  24                   r
                6.33                0.06                87.0                 0.9                 269                   8                  24                   a
                6.38                0.07                87.8                 0.9                 270                   7                  24                   r
                6.52                0.07                89.7                 0.9                 262                   7                  24                   a
                6.67                0.12                91.7                 1.6                 254                  10                  24                   r
                6.84                0.13                94.1                 1.9                 258                   7                  14                   a
