             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.05                0.02                 1.7                 0.8                  23                   1                   2                   r
                0.16                0.03                 4.9                 0.8                  18                   4                  12                   a
                0.16                0.03                 5.0                 1.1                  22                   2                   8                   r
                0.25                0.03                 8.0                 1.0                  16                   3                  13                   a
                0.26                0.03                 8.1                 1.0                  28                   1                   5                   r
                0.35                0.03                11.2                 1.0                  19                   4                  16                   a
                0.35                0.03                11.2                 1.0                  38                   4                   6                   r
                0.37                0.04                11.9                 1.4                  22                   4                  23                   a
                0.48                0.10                15.1                 3.1                  37                   3                  23                   r
                0.50                0.03                15.8                 0.9                  12                   3                  23                   a
                0.59                0.03                18.6                 0.9                  19                   5                  23                   a
                0.68                0.02                21.7                 0.7                  18                   6                  23                   a
                0.76                0.02                24.3                 0.8                  26                   5                  23                   a
                0.85                0.03                27.0                 0.9                  34                   5                  23                   a
                0.92                0.10                29.2                 3.2                  42                   5                  23                   r
                0.96                0.03                30.4                 1.0                  38                   5                  23                   a
                1.06                0.03                33.6                 0.8                  50                   4                  23                   a
                1.15                0.03                36.6                 0.9                  59                   3                  23                   a
                1.22                0.08                38.7                 2.6                  58                   3                  23                   r
                1.25                0.02                39.6                 0.8                  67                   3                  23                   a
                1.35                0.03                42.8                 1.1                  68                   2                  23                   a
                1.46                0.03                46.2                 0.9                  78                   2                  23                   a
                1.60                0.08                50.9                 2.4                  86                   3                  15                   a
                1.66                0.19                52.8                 6.0                  72                   3                  23                   r
                2.09                0.10                66.4                 3.2                  91                   2                  15                   r
