             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.11                0.02                 2.6                 0.6                  31                   6                   3                   r
                0.13                0.01                 3.2                 0.2                  10                   2                   3                   a
                0.17                0.00                 4.2                 0.0                  14                  17                   1                   r
                0.18                0.03                 4.5                 0.7                  20                   8                   2                   a
                0.24                0.00                 5.9                 0.1                  19                  17                   2                   r
                0.25                0.02                 6.2                 0.5                  28                   3                   6                   a
                0.32                0.01                 7.8                 0.2                  50                   7                   4                   r
                0.33                0.02                 8.1                 0.5                  38                   5                   8                   a
                0.42                0.02                10.3                 0.4                  42                   8                   5                   r
                0.43                0.01                10.5                 0.3                  44                   5                   7                   a
                0.47                0.02                11.5                 0.5                  48                   5                   6                   r
                0.48                0.02                11.7                 0.5                  44                   3                  10                   a
                0.54                0.02                13.4                 0.4                  46                   3                  11                   r
                0.54                0.02                13.4                 0.5                  53                   1                  14                   a
                0.62                0.02                15.3                 0.4                  54                   2                  14                   a
                0.63                0.02                15.5                 0.5                  40                   4                   8                   r
                0.70                0.02                17.2                 0.6                  39                   3                  16                   r
                0.70                0.02                17.3                 0.5                  53                   2                  14                   a
                0.77                0.02                19.0                 0.5                  43                   4                  10                   r
                0.77                0.03                19.0                 0.6                  57                   3                   9                   a
                0.86                0.04                21.1                 1.0                  52                   3                  25                   r
                0.88                0.05                21.6                 1.2                  64                   2                  25                   a
                1.00                0.04                24.6                 0.9                  51                   2                  25                   r
                1.04                0.04                25.6                 1.1                  66                   3                  25                   a
                1.13                0.03                27.8                 0.8                  56                   2                  25                   r
                1.18                0.04                29.0                 1.0                  60                   3                  25                   a
                1.24                0.03                30.4                 0.8                  58                   2                  25                   r
                1.32                0.03                32.5                 0.7                  58                   2                  25                   a
                1.33                0.03                32.7                 0.6                  59                   2                  25                   r
                1.41                0.02                34.5                 0.5                  67                   3                  25                   a
                1.41                0.02                34.6                 0.5                  61                   2                  25                   r
                1.47                0.02                36.2                 0.5                  64                   2                  25                   r
                1.48                0.02                36.3                 0.6                  68                   3                  25                   a
                1.54                0.02                37.8                 0.5                  70                   1                  25                   r
                1.58                0.05                38.9                 1.1                  74                   3                  25                   a
                1.61                0.02                39.6                 0.5                  74                   1                  25                   r
                1.67                0.02                41.1                 0.5                  72                   2                  25                   r
                1.73                0.04                42.5                 1.0                  63                   3                  25                   a
                1.75                0.02                42.9                 0.5                  76                   1                  25                   r
                1.81                0.02                44.4                 0.5                  80                   1                  25                   r
                1.88                0.02                46.1                 0.4                  80                   1                  25                   r
                1.90                0.04                46.6                 1.0                  77                   4                  25                   a
                1.95                0.02                47.8                 0.5                  90                   2                  25                   r
                2.02                0.02                49.6                 0.6                  92                   3                  25                   r
                2.08                0.06                51.2                 1.4                  79                   3                  25                   a
                2.11                0.03                51.8                 0.7                  94                   3                  25                   r
                2.22                0.04                54.5                 0.9                  95                   3                  25                   r
                2.25                0.04                55.2                 1.0                  74                   3                  25                   a
                2.36                0.05                58.0                 1.2                 101                   2                  25                   r
                2.41                0.05                59.1                 1.1                  83                   4                  25                   a
                2.56                0.08                62.9                 1.9                 103                   3                  25                   r
                2.60                0.08                63.9                 2.0                  95                   3                  25                   a
                2.88                0.07                70.7                 1.8                  96                   3                  25                   a
                2.91                0.14                71.4                 3.5                  92                   3                  25                   r
                3.13                0.08                76.8                 2.0                  93                   3                  25                   a
                3.53                0.22                86.8                 5.4                  93                   3                  25                   r
                3.87                0.43                94.9                10.5                 110                   4                  25                   a
                4.51                0.45               110.7                11.2                 102                   2                  22                   r
