             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.09                0.00                 1.1                 0.0                 -16                  10                   1                   r
                0.17                0.04                 2.0                 0.5                  -7                   0                   2                   r
                0.18                0.00                 2.2                 0.0                  15                  10                   1                   a
                0.25                0.03                 3.0                 0.4                  13                   3                   3                   a
                0.31                0.00                 3.6                 0.0                   4                  10                   1                   r
                0.36                0.02                 4.2                 0.2                  14                   2                   2                   a
                0.39                0.02                 4.7                 0.2                   5                   3                   4                   r
                0.48                0.03                 5.6                 0.4                  14                   3                   7                   a
                0.48                0.03                 5.7                 0.4                   7                   4                   4                   r
                0.59                0.03                 7.0                 0.4                   9                   4                   4                   a
                0.59                0.03                 7.0                 0.4                  17                   4                   4                   r
                0.68                0.03                 8.1                 0.3                  22                   5                   8                   r
                0.70                0.03                 8.3                 0.4                  19                   3                   5                   a
                0.78                0.03                 9.2                 0.4                  23                   3                   7                   a
                0.79                0.02                 9.4                 0.3                  38                   5                   4                   r
                0.89                0.04                10.5                 0.4                  17                   5                   7                   a
                0.92                0.01                10.9                 0.1                  19                  10                   4                   r
                0.99                0.06                11.8                 0.8                  22                   2                  20                   a
                1.13                0.15                13.4                 1.7                  37                   4                  20                   r
                1.23                0.07                14.6                 0.8                  37                   3                  20                   a
                1.46                0.06                17.3                 0.8                  36                   3                  20                   a
                1.57                0.09                18.6                 1.0                  61                   4                  20                   r
                1.64                0.06                19.4                 0.7                  44                   3                  20                   a
                1.79                0.05                21.3                 0.6                  65                   2                  20                   r
                1.86                0.07                22.0                 0.8                  56                   3                  20                   a
                1.98                0.05                23.5                 0.6                  66                   1                  20                   r
                2.10                0.07                24.8                 0.8                  63                   3                  20                   a
                2.16                0.06                25.6                 0.7                  61                   3                  20                   r
                2.37                0.08                28.1                 1.0                  70                   3                  20                   a
                2.40                0.07                28.4                 0.9                  69                   2                  20                   r
                2.57                0.04                30.5                 0.4                  78                   3                  20                   r
                2.64                0.07                31.2                 0.9                  70                   3                  20                   a
                2.74                0.06                32.4                 0.8                  77                   2                  20                   r
                2.95                0.09                35.0                 1.1                  82                   2                  20                   r
                3.00                0.12                35.5                 1.5                  83                   4                  20                   a
                3.17                0.06                37.6                 0.7                  78                   3                  20                   r
                3.40                0.13                40.3                 1.5                  93                   4                  20                   a
                3.42                0.08                40.5                 0.9                  81                   3                  20                   r
                3.77                0.12                44.7                 1.4                  95                   4                  20                   r
                4.05                0.29                48.0                 3.4                 109                   4                  20                   a
                4.33                0.13                51.3                 1.6                  92                   4                  20                   r
                5.26                0.42                62.3                 5.0                 115                   4                  14                   r
                5.44                0.91                64.5                10.8                 103                   5                  17                   a
