             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.06                0.00                 1.0                 0.0                  61                  20                   1                   a
                0.30                0.02                 4.8                 0.3                 167                   3                   2                   a
                0.35                0.00                 5.6                 0.0                 155                  20                   1                   r
                0.47                0.00                 7.6                 0.0                 144                  20                   1                   a
                0.59                0.00                 9.5                 0.0                 169                  20                   1                   r
                0.60                0.00                 9.7                 0.0                 172                  20                   1                   a
                0.83                0.00                13.4                 0.0                 198                  20                   1                   a
                0.88                0.03                14.2                 0.5                 215                  20                   3                   r
                0.90                0.03                14.5                 0.5                 201                   9                   3                   a
                0.96                0.02                15.5                 0.3                 203                  10                   3                   r
                0.99                0.01                16.0                 0.2                 197                   4                   3                   a
                1.07                0.01                17.2                 0.2                 209                   4                   4                   a
                1.07                0.03                17.2                 0.5                 198                   2                   4                   r
                1.17                0.02                18.9                 0.3                 215                  16                   3                   r
                1.24                0.02                20.0                 0.3                 188                   3                   3                   a
                1.24                0.02                20.0                 0.3                 219                   6                   3                   r
                1.30                0.02                20.9                 0.3                 175                   6                   2                   r
                1.33                0.02                21.4                 0.3                 188                   7                   5                   a
                1.41                0.02                22.7                 0.3                 201                   2                   3                   a
                1.42                0.02                22.9                 0.3                 174                  11                   2                   r
                1.47                0.02                23.7                 0.3                 195                   7                   7                   a
                1.47                0.00                23.7                 0.0                 160                  20                   1                   r
                1.57                0.03                25.3                 0.5                 178                   8                   6                   r
                1.58                0.02                25.5                 0.3                 175                   4                   5                   a
                1.75                0.13                28.2                 2.1                 174                   3                  22                   a
                1.76                0.12                28.4                 1.9                 177                   3                  22                   r
                2.17                0.11                35.0                 1.8                 179                   3                  22                   a
                2.17                0.14                35.0                 2.3                 176                   3                  22                   r
                3.01                0.68                48.5                11.0                 184                   6                  22                   a
                3.70                1.36                59.6                21.9                 185                   6                  22                   r
                4.91                0.27                79.1                 4.4                 161                   8                  19                   a
                7.84                0.69               126.3                11.1                 170                   3                  15                   r
