             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.02                0.00                 0.8                 0.0                   9                   4                   1                   a
                0.03                0.00                 1.2                 0.0                  21                   4                   1                   a
                0.04                0.01                 1.6                 0.4                 -17                   2                   2                   r
                0.07                0.00                 2.8                 0.0                  26                   4                   1                   a
                0.08                0.00                 3.2                 0.0                  -9                   2                   2                   r
                0.09                0.01                 3.6                 0.4                  28                   4                   6                   a
                0.11                0.00                 4.4                 0.0                  -4                   8                   4                   r
                0.12                0.00                 4.8                 0.0                  31                   2                   5                   a
                0.13                0.01                 5.2                 0.4                   0                   5                   4                   r
                0.15                0.01                 5.9                 0.4                   4                   1                   9                   r
                0.16                0.01                 6.3                 0.4                  29                   1                   5                   a
                0.18                0.00                 7.1                 0.0                  28                   1                   3                   a
                0.19                0.01                 7.5                 0.4                  11                   4                   8                   r
                0.21                0.01                 8.3                 0.4                  35                   2                  13                   a
                0.21                0.01                 8.3                 0.4                   4                   2                   9                   r
                0.23                0.01                 9.1                 0.4                  35                   2                   9                   a
                0.24                0.01                 9.5                 0.4                   3                   1                  13                   r
                0.26                0.01                10.3                 0.4                  40                   2                  13                   a
                0.26                0.01                10.3                 0.4                  14                   3                  11                   r
                0.29                0.01                11.5                 0.4                  37                   2                  12                   a
                0.29                0.01                11.5                 0.4                  14                   3                  11                   r
                0.32                0.01                12.7                 0.4                  37                   3                  15                   a
                0.32                0.01                12.7                 0.4                  18                   3                  14                   r
                0.35                0.01                13.9                 0.4                  42                   3                  12                   a
                0.35                0.01                13.9                 0.4                  30                   2                  14                   r
                0.37                0.01                14.7                 0.4                  43                   2                  18                   a
                0.37                0.01                14.7                 0.4                  19                   3                  21                   r
                0.40                0.01                15.9                 0.4                  43                   3                  14                   a
                0.40                0.01                15.9                 0.4                  32                   3                  19                   r
                0.42                0.01                16.7                 0.4                  32                   3                  17                   r
                0.43                0.01                17.1                 0.4                  44                   2                  17                   a
                0.45                0.01                17.8                 0.4                  49                   2                  17                   a
                0.45                0.01                17.8                 0.4                  29                   2                  17                   r
                0.47                0.01                18.6                 0.4                  32                   2                  17                   r
                0.48                0.01                19.0                 0.4                  44                   1                  17                   a
                0.49                0.01                19.4                 0.4                  35                   2                  17                   r
