             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.06                0.00                 2.4                 0.1                  -3                   6                   2                   r
                0.07                0.00                 3.0                 0.0                  31                  10                   1                   a
                0.10                0.02                 4.5                 0.8                  17                   3                   2                   r
                0.11                0.01                 4.7                 0.6                   3                   3                   9                   a
                0.15                0.01                 6.5                 0.6                  14                   7                   9                   r
                0.15                0.01                 6.5                 0.6                  22                   3                  15                   a
                0.19                0.01                 8.2                 0.5                  32                   7                  10                   a
                0.19                0.01                 8.4                 0.5                  26                   3                  11                   r
                0.24                0.01                10.4                 0.6                  27                   5                  13                   r
                0.24                0.01                10.4                 0.6                  10                   6                   8                   a
                0.28                0.01                12.2                 0.6                  32                   6                  11                   r
                0.28                0.01                12.5                 0.5                  24                  10                  10                   a
                0.32                0.01                13.8                 0.6                  40                   4                  14                   r
                0.32                0.01                13.9                 0.4                  28                   5                  11                   a
                0.37                0.01                16.2                 0.5                  40                   3                  25                   r
                0.38                0.02                16.9                 1.0                  32                   5                  25                   a
                0.41                0.01                17.8                 0.4                  47                   3                  25                   r
                0.44                0.01                19.3                 0.4                  43                   3                  25                   r
                0.45                0.02                19.6                 0.7                  39                   5                  25                   a
                0.47                0.01                20.6                 0.4                  47                   4                  25                   r
                0.49                0.01                21.7                 0.6                  44                   2                  25                   a
                0.50                0.01                22.0                 0.4                  51                   4                  25                   r
                0.52                0.01                23.0                 0.3                  54                   3                  25                   r
                0.55                0.01                24.0                 0.2                  50                   3                  25                   r
                0.55                0.02                24.3                 1.1                  48                   4                  25                   a
                0.57                0.01                24.9                 0.3                  50                   3                  25                   r
                0.59                0.01                25.9                 0.3                  52                   3                  25                   r
                0.61                0.01                26.9                 0.3                  55                   4                  25                   r
                0.64                0.03                28.0                 1.4                  54                   5                  25                   a
                0.64                0.01                28.2                 0.5                  55                   3                  25                   r
                0.68                0.01                29.9                 0.5                  58                   5                  25                   r
                0.73                0.01                32.2                 0.6                  59                   4                  25                   r
                0.75                0.03                32.7                 1.1                  66                   4                  25                   a
                0.77                0.01                33.8                 0.5                  56                   3                  25                   r
                0.80                0.01                35.2                 0.3                  55                   4                  25                   r
                0.82                0.02                36.1                 1.0                  71                   4                  25                   a
                0.83                0.01                36.2                 0.3                  63                   3                  25                   r
                0.85                0.00                37.2                 0.2                  68                   4                  25                   r
                0.87                0.01                38.3                 0.4                  62                   3                  25                   r
                0.90                0.01                39.4                 0.3                  65                   3                  25                   r
                0.92                0.02                40.2                 1.1                  59                   5                  25                   a
                0.92                0.01                40.5                 0.4                  65                   3                  25                   r
                0.95                0.01                41.7                 0.4                  58                   4                  25                   r
                0.98                0.01                43.2                 0.5                  53                   3                  25                   r
                1.01                0.01                44.5                 0.5                  61                   4                  25                   r
                1.05                0.01                45.9                 0.4                  53                   3                  25                   r
                1.07                0.08                46.8                 3.7                  78                   3                  25                   a
                1.08                0.01                47.6                 0.5                  61                   6                  25                   r
                1.13                0.01                49.4                 0.6                  58                   7                  25                   r
                1.17                0.01                51.4                 0.6                  71                   6                  25                   r
                1.21                0.01                53.2                 0.6                  79                   5                  25                   r
                1.26                0.01                55.3                 0.4                  77                   4                  25                   r
                1.30                0.01                57.1                 0.5                  76                   4                  25                   r
                1.34                0.01                58.7                 0.5                  71                   4                  25                   r
                1.38                0.01                60.7                 0.5                  75                   3                  25                   r
                1.41                0.01                62.0                 0.4                  76                   2                  25                   r
                1.43                0.10                62.7                 4.6                  78                   3                  25                   a
                1.45                0.01                63.6                 0.4                  80                   4                  25                   r
                1.49                0.01                65.4                 0.6                  82                   3                  25                   r
                1.56                0.04                68.6                 1.6                  83                   6                  25                   r
                1.61                0.04                70.6                 1.8                  80                   3                  25                   a
                1.72                0.06                75.4                 2.8                  76                   5                  25                   r
                1.74                0.03                76.3                 1.3                  83                   3                  25                   a
                1.83                0.02                80.4                 1.0                  77                   3                  25                   a
                1.91                0.02                83.9                 1.0                  82                   3                  25                   a
                2.00                0.03                87.8                 1.3                  80                   3                  25                   a
                2.12                0.05                93.1                 2.2                  90                   3                  25                   a
                2.25                0.02                98.7                 1.1                  84                   2                  25                   a
                2.31                0.01               101.3                 0.6                  80                   2                  25                   a
                2.35                0.01               103.2                 0.4                  83                   3                  25                   a
                2.37                0.17               103.8                 7.4                 103                   4                  23                   r
                2.38                0.01               104.6                 0.4                  85                   2                  25                   a
                2.41                0.01               106.0                 0.4                  84                   1                  25                   a
                2.44                0.01               107.3                 0.4                  89                   2                  25                   a
                2.48                0.01               108.8                 0.5                  91                   3                  25                   a
                2.56                0.04               112.4                 1.9                  97                   3                  24                   a
