             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.15                0.00                 2.8                 0.0                  22                  29                   1                   r
                0.16                0.00                 3.0                 0.0                  39                  29                   1                   a
                0.23                0.00                 4.3                 0.0                  13                  29                   1                   r
                0.25                0.01                 4.7                 0.2                  18                  17                   2                   a
                0.29                0.00                 5.4                 0.0                  32                  29                   1                   r
                0.30                0.00                 5.6                 0.0                  18                   7                   2                   a
                0.37                0.02                 6.9                 0.4                  23                  13                   3                   a
                0.37                0.03                 6.9                 0.6                  34                  17                   3                   r
                0.44                0.01                 8.3                 0.2                  39                  10                   3                   a
                0.44                0.03                 8.3                 0.6                  69                   9                   2                   r
                0.50                0.01                 9.4                 0.2                  27                   5                   2                   a
                0.51                0.02                 9.6                 0.4                  46                   7                   3                   r
                0.58                0.01                10.9                 0.2                  43                   6                   4                   r
                0.59                0.00                11.1                 0.0                  31                  29                   2                   a
                0.63                0.01                11.8                 0.2                  40                   3                   4                   a
                0.65                0.02                12.2                 0.4                  57                   8                   6                   r
                0.71                0.02                13.3                 0.4                  55                   5                   7                   r
                0.72                0.01                13.5                 0.2                  48                  14                   4                   a
                0.78                0.00                14.6                 0.0                  53                   6                   2                   a
                0.78                0.02                14.6                 0.4                  59                   7                   5                   r
                0.89                0.06                16.7                 1.1                  54                   3                  19                   r
                0.96                0.10                18.0                 1.9                  59                   6                  19                   a
                1.11                0.07                20.8                 1.3                  61                   4                  19                   r
                1.22                0.07                22.9                 1.3                  56                   6                  19                   a
                1.27                0.05                23.8                 0.9                  69                   3                  19                   r
                1.39                0.03                26.1                 0.6                  68                   5                  19                   r
                1.42                0.06                26.6                 1.1                  58                   5                  19                   a
                1.48                0.02                27.8                 0.4                  68                   4                  19                   r
                1.56                0.02                29.3                 0.4                  73                   4                  19                   r
                1.60                0.05                30.0                 0.9                  54                   6                  19                   a
                1.60                0.01                30.0                 0.2                  66                   4                  19                   r
                1.66                0.02                31.1                 0.4                  79                   3                  19                   r
                1.70                0.01                31.9                 0.2                  79                   3                  19                   r
                1.71                0.02                32.1                 0.4                  58                   4                  19                   a
                1.74                0.02                32.6                 0.4                  63                   4                  19                   r
                1.76                0.01                33.0                 0.2                  62                   4                  19                   a
                1.79                0.01                33.6                 0.2                  71                   6                  19                   r
                1.81                0.01                33.9                 0.2                  58                   2                  19                   a
                1.84                0.01                34.5                 0.2                  63                   5                  19                   r
                1.85                0.01                34.7                 0.2                  58                   2                  19                   a
                1.88                0.01                35.3                 0.2                  64                   3                  19                   r
