             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                1.89                0.01                35.4                 0.2                  63                   2                  19                   a
                1.91                0.01                35.8                 0.2                  59                   2                  19                   a
                1.93                0.01                36.2                 0.2                  70                   5                  19                   r
                1.94                0.01                36.4                 0.2                  57                   2                  19                   a
                1.97                0.00                36.9                 0.0                  60                   1                  19                   a
                1.97                0.01                36.9                 0.2                  68                   4                  19                   r
                2.00                0.01                37.5                 0.2                  62                   3                  19                   a
                2.02                0.01                37.9                 0.2                  62                   3                  19                   a
                2.02                0.02                37.9                 0.4                  50                   4                  19                   r
                2.04                0.01                38.3                 0.2                  62                   2                  19                   a
                2.06                0.01                38.6                 0.2                  65                   3                  19                   a
                2.08                0.01                39.0                 0.2                  65                   3                  19                   a
                2.08                0.02                39.0                 0.4                  59                   4                  19                   r
                2.11                0.01                39.6                 0.2                  66                   2                  19                   a
                2.13                0.01                39.9                 0.2                  69                   3                  19                   a
                2.13                0.01                39.9                 0.2                  55                   2                  19                   r
                2.16                0.01                40.5                 0.2                  73                   3                  19                   a
                2.18                0.01                40.9                 0.2                  58                   4                  19                   r
                2.19                0.01                41.1                 0.2                  74                   4                  19                   a
                2.22                0.01                41.6                 0.2                  67                   3                  19                   a
                2.23                0.01                41.8                 0.2                  62                   4                  19                   r
                2.24                0.01                42.0                 0.2                  67                   5                  19                   a
                2.27                0.01                42.6                 0.2                  70                   2                  19                   a
                2.28                0.01                42.8                 0.2                  58                   5                  19                   r
                2.31                0.01                43.3                 0.2                  69                   3                  19                   a
                2.34                0.01                43.9                 0.2                  67                   2                  19                   a
                2.34                0.02                43.9                 0.4                  60                   4                  19                   r
                2.38                0.01                44.6                 0.2                  69                   3                  19                   a
                2.41                0.02                45.2                 0.4                  75                   5                  19                   r
                2.42                0.01                45.4                 0.2                  75                   4                  19                   a
                2.45                0.01                45.9                 0.2                  71                   3                  19                   a
                2.47                0.01                46.3                 0.2                  67                   5                  19                   r
                2.49                0.01                46.7                 0.2                  71                   3                  19                   a
                2.54                0.02                47.6                 0.4                  69                   3                  19                   a
                2.54                0.03                47.6                 0.6                  60                   7                  19                   r
                2.61                0.02                48.9                 0.4                  75                   4                  19                   a
                2.64                0.03                49.5                 0.6                  78                   5                  19                   r
                2.67                0.02                50.1                 0.4                  78                   4                  19                   a
                2.72                0.02                51.0                 0.4                  74                   4                  19                   r
                2.73                0.02                51.2                 0.4                  71                   4                  19                   a
                2.78                0.02                52.1                 0.4                  72                   3                  19                   r
                2.81                0.02                52.7                 0.4                  79                   3                  19                   a
                2.83                0.01                53.1                 0.2                  64                   4                  19                   r
                2.86                0.01                53.6                 0.2                  71                   3                  19                   r
                2.89                0.03                54.2                 0.6                  73                   3                  19                   a
                2.90                0.01                54.4                 0.2                  72                   3                  19                   r
                2.93                0.01                54.9                 0.2                  65                   3                  19                   r
                2.96                0.01                55.5                 0.2                  77                   3                  19                   r
                2.98                0.02                55.9                 0.4                  72                   4                  19                   a
                3.00                0.01                56.3                 0.2                  73                   3                  19                   r
                3.03                0.01                56.8                 0.2                  76                   3                  19                   r
                3.06                0.01                57.4                 0.2                  75                   4                  19                   r
                3.08                0.04                57.8                 0.8                  69                   2                  19                   a
                3.10                0.01                58.1                 0.2                  76                   3                  19                   r
                3.14                0.01                58.9                 0.2                  78                   3                  19                   r
                3.18                0.02                59.6                 0.4                  82                   4                  19                   a
                3.18                0.01                59.6                 0.2                  75                   4                  19                   r
                3.23                0.01                60.6                 0.2                  80                   4                  19                   r
                3.26                0.03                61.1                 0.6                  74                   3                  19                   a
                3.26                0.01                61.1                 0.2                  81                   4                  19                   r
                3.29                0.01                61.7                 0.2                  87                   3                  19                   r
                3.32                0.01                62.3                 0.2                  76                   6                  19                   r
                3.35                0.01                62.8                 0.2                  82                   4                  19                   r
                3.36                0.03                63.0                 0.6                  76                   4                  19                   a
                3.37                0.01                63.2                 0.2                  72                   4                  19                   r
                3.39                0.01                63.6                 0.2                  83                   4                  19                   r
                3.41                0.01                63.9                 0.2                  77                   5                  19                   r
                3.43                0.01                64.3                 0.2                  78                   3                  19                   r
                3.46                0.01                64.9                 0.2                  66                   4                  19                   r
                3.48                0.04                65.3                 0.8                  78                   5                  19                   a
                3.49                0.01                65.4                 0.2                  77                   3                  19                   r
                3.52                0.01                66.0                 0.2                  76                   3                  19                   r
                3.55                0.01                66.6                 0.2                  68                   4                  19                   r
                3.58                0.01                67.1                 0.2                  66                   3                  19                   r
                3.61                0.01                67.7                 0.2                  67                   3                  19                   r
                3.64                0.01                68.3                 0.2                  68                   4                  19                   r
                3.68                0.13                69.0                 2.4                  78                   5                  18                   a
                3.68                0.01                69.0                 0.2                  72                   4                  19                   r
                3.72                0.01                69.8                 0.2                  67                   3                  19                   r
                3.77                0.01                70.7                 0.2                  63                   3                  19                   r
                3.82                0.02                71.6                 0.4                  66                   4                  19                   r
                3.91                0.03                73.3                 0.6                  74                   4                  19                   r
                4.01                0.03                75.2                 0.6                  82                   7                  19                   r
                4.15                0.04                77.8                 0.8                  82                   5                  19                   r
                4.38                0.10                82.1                 1.9                  87                   6                  19                   r
                4.74                0.07                88.9                 1.3                  83                   4                  19                   r
                5.12                0.24                96.0                 4.5                  77                   6                  11                   r
