             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.11                0.01                 1.7                 0.2                  22                   4                   2                   r
                0.13                0.03                 2.0                 0.5                  26                   3                   2                   a
                0.26                0.05                 3.9                 0.8                  24                   2                   8                   a
                0.27                0.05                 4.1                 0.8                  30                   4                  13                   r
                0.45                0.05                 6.8                 0.8                  47                   2                  22                   a
                0.45                0.05                 6.8                 0.8                  39                   2                  19                   r
                0.63                0.04                 9.5                 0.6                  59                   2                  29                   a
                0.63                0.05                 9.5                 0.8                  51                   2                  30                   r
                0.72                0.02                10.8                 0.3                  68                   2                  25                   a
                0.73                0.04                11.0                 0.6                  57                   2                  25                   r
                0.79                0.02                11.9                 0.3                  67                   2                  25                   a
                0.85                0.02                12.8                 0.3                  74                   1                  25                   a
                0.87                0.04                13.1                 0.6                  63                   2                  25                   r
                0.92                0.02                13.9                 0.3                  74                   1                  25                   a
                0.97                0.01                14.6                 0.2                  76                   1                  25                   a
                0.99                0.04                14.9                 0.6                  69                   3                  25                   r
                1.02                0.02                15.4                 0.3                  76                   1                  25                   a
                1.06                0.01                16.0                 0.2                  74                   1                  25                   a
                1.11                0.01                16.7                 0.2                  74                   2                  25                   a
                1.12                0.04                16.9                 0.6                  81                   3                  25                   r
                1.15                0.01                17.3                 0.2                  75                   2                  25                   a
                1.20                0.01                18.1                 0.2                  74                   1                  25                   a
                1.23                0.04                18.5                 0.6                  82                   3                  25                   r
                1.25                0.02                18.8                 0.3                  76                   2                  25                   a
                1.30                0.02                19.6                 0.3                  74                   1                  25                   a
                1.33                0.02                20.0                 0.3                  86                   2                  25                   r
                1.36                0.02                20.5                 0.3                  75                   2                  25                   a
                1.41                0.01                21.2                 0.2                  74                   2                  25                   a
                1.43                0.03                21.5                 0.5                  92                   2                  25                   r
                1.48                0.02                22.3                 0.3                  77                   2                  25                   a
                1.55                0.02                23.3                 0.3                  76                   2                  25                   a
                1.55                0.04                23.3                 0.6                  93                   3                  25                   r
                1.62                0.02                24.4                 0.3                  80                   2                  25                   a
                1.69                0.03                25.4                 0.5                  81                   3                  25                   a
                1.69                0.04                25.4                 0.6                  87                   3                  25                   r
                1.77                0.02                26.6                 0.3                  81                   2                  25                   a
                1.79                0.03                26.9                 0.5                  90                   3                  25                   r
                1.84                0.02                27.7                 0.3                  78                   3                  25                   a
                1.90                0.03                28.6                 0.5                  94                   4                  25                   r
                1.94                0.03                29.2                 0.5                  86                   2                  25                   a
                2.01                0.04                30.3                 0.6                  95                   3                  25                   r
                2.02                0.02                30.4                 0.3                  86                   3                  25                   a
                2.10                0.03                31.6                 0.5                  92                   3                  25                   a
                2.12                0.04                31.9                 0.6                  97                   3                  25                   r
                2.19                0.02                33.0                 0.3                  91                   3                  25                   a
                2.22                0.02                33.4                 0.3                  91                   3                  25                   r
                2.25                0.02                33.9                 0.3                  94                   3                  25                   a
                2.30                0.02                34.6                 0.3                  97                   2                  25                   r
                2.31                0.02                34.8                 0.3                  95                   3                  25                   a
                2.36                0.01                35.5                 0.2                  92                   2                  25                   a
                2.39                0.02                36.0                 0.3                  95                   3                  25                   r
                2.41                0.01                36.3                 0.2                  97                   3                  25                   a
                2.46                0.01                37.0                 0.2                  96                   2                  25                   a
                2.46                0.02                37.0                 0.3                  88                   3                  25                   r
                2.51                0.01                37.8                 0.2                  96                   2                  25                   a
                2.53                0.02                38.1                 0.3                  89                   3                  25                   r
                2.56                0.02                38.5                 0.3                  92                   3                  25                   a
                2.59                0.02                39.0                 0.3                  93                   2                  25                   r
                2.61                0.01                39.3                 0.2                  99                   2                  25                   a
                2.65                0.02                39.9                 0.3                  98                   2                  25                   a
                2.66                0.02                40.0                 0.3                  91                   2                  25                   r
                2.71                0.02                40.8                 0.3                  94                   2                  25                   a
                2.74                0.02                41.3                 0.3                  89                   3                  25                   r
                2.76                0.01                41.6                 0.2                  97                   3                  25                   a
                2.79                0.02                42.0                 0.3                  99                   2                  25                   r
                2.81                0.01                42.3                 0.2                 101                   2                  25                   a
                2.84                0.01                42.8                 0.2                 100                   2                  25                   a
                2.88                0.03                43.4                 0.5                  98                   2                  25                   r
                2.90                0.01                43.7                 0.2                  98                   2                  25                   a
                2.95                0.02                44.4                 0.3                 101                   2                  25                   a
                2.96                0.02                44.6                 0.3                  99                   3                  25                   r
                3.00                0.02                45.2                 0.3                 100                   1                  25                   a
                3.05                0.03                45.9                 0.5                 106                   2                  25                   r
                3.07                0.02                46.2                 0.3                 102                   2                  25                   a
                3.12                0.01                47.0                 0.2                 101                   2                  25                   a
                3.14                0.03                47.3                 0.5                 109                   3                  25                   r
                3.19                0.03                48.0                 0.5                  98                   2                  25                   a
                3.24                0.03                48.8                 0.5                 109                   3                  25                   r
                3.28                0.02                49.4                 0.3                 103                   2                  25                   a
                3.36                0.05                50.6                 0.8                 110                   3                  25                   r
                3.38                0.04                50.9                 0.6                 103                   3                  25                   a
                3.51                0.04                52.8                 0.6                 107                   2                  25                   a
                3.51                0.05                52.8                 0.8                 106                   2                  25                   r
                3.67                0.05                55.3                 0.8                 102                   3                  25                   a
                3.69                0.05                55.6                 0.8                 106                   4                  25                   r
                3.85                0.07                58.0                 1.1                 105                   3                  25                   a
                3.86                0.06                58.1                 0.9                 110                   3                  25                   r
                4.03                0.05                60.7                 0.8                 113                   2                  25                   r
                4.11                0.07                61.9                 1.1                 104                   3                  25                   a
                4.19                0.05                63.1                 0.8                 113                   2                  25                   r
                4.32                0.06                65.0                 0.9                  97                   4                  25                   a
                4.35                0.06                65.5                 0.9                 116                   2                  25                   r
                4.52                0.07                68.1                 1.1                  92                   4                  25                   a
                4.57                0.08                68.8                 1.2                 109                   2                  25                   r
                4.80                0.12                72.3                 1.8                 101                   4                  25                   a
                4.91                0.15                73.9                 2.3                 108                   3                  20                   r
                5.21                0.14                78.4                 2.1                  92                   3                  16                   a
