             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.16                0.00                 2.4                 0.0                  77                  36                   1                   a
                0.31                0.00                 4.6                 0.0                 133                  36                   1                   a
                0.39                0.00                 5.9                 0.0                  52                  36                   1                   a
                0.51                0.00                 7.7                 0.0                  75                  36                   1                   a
                0.55                0.02                 8.4                 0.3                  25                  36                   2                   a
                0.65                0.02                 9.8                 0.3                 103                  13                   3                   a
                0.74                0.02                11.2                 0.2                  88                  12                   6                   a
                0.84                0.01                12.6                 0.1                  96                  17                   3                   a
                0.90                0.02                13.5                 0.3                  70                  10                   8                   a
                0.98                0.03                14.8                 0.4                  66                  12                   9                   a
                1.06                0.03                16.0                 0.4                  60                   8                  14                   a
                1.10                0.00                16.6                 0.0                 141                  36                   1                   r
                1.16                0.00                17.5                 0.0                  64                  36                   1                   r
                1.17                0.02                17.6                 0.3                  77                   8                  15                   a
                1.24                0.03                18.6                 0.4                  78                   5                  10                   a
                1.26                0.02                18.9                 0.3                  97                   9                   3                   r
                1.33                0.02                20.0                 0.3                  86                   6                  13                   a
                1.33                0.02                20.1                 0.3                  91                  13                   7                   r
                1.41                0.03                21.2                 0.4                  89                   7                  15                   a
                1.41                0.02                21.3                 0.3                  92                  15                   7                   r
                1.50                0.02                22.5                 0.3                  88                   8                  11                   a
                1.51                0.02                22.7                 0.3                  80                  10                  12                   r
                1.57                0.02                23.7                 0.4                  83                   8                  13                   a
                1.58                0.03                23.8                 0.4                  89                   8                  12                   r
                1.67                0.03                25.1                 0.4                  75                   8                  14                   a
                1.67                0.02                25.1                 0.3                  86                   9                  12                   r
                1.74                0.03                26.2                 0.4                  94                   7                  21                   a
                1.78                0.04                26.8                 0.6                  86                   6                  21                   r
                1.84                0.02                27.7                 0.4                  86                   6                  21                   a
                1.91                0.02                28.7                 0.2                  93                   7                  21                   a
                1.92                0.04                28.9                 0.5                  94                   7                  21                   r
                1.98                0.02                29.8                 0.3                  87                   6                  21                   a
                2.05                0.02                30.8                 0.3                  94                   5                  21                   a
                2.06                0.05                31.0                 0.8                  85                   3                  21                   r
                2.12                0.02                32.0                 0.4                 107                   7                  21                   a
                2.19                0.02                32.9                 0.3                 106                   4                  21                   a
                2.21                0.03                33.3                 0.5                 110                   4                  21                   r
                2.25                0.02                33.8                 0.3                 104                   6                  21                   a
                2.31                0.01                34.8                 0.2                 113                   4                  21                   a
                2.32                0.03                34.9                 0.4                 101                   3                  21                   r
                2.37                0.02                35.7                 0.3                 104                   4                  21                   a
                2.40                0.02                36.2                 0.4                  94                   5                  21                   r
                2.44                0.02                36.7                 0.3                 112                   5                  21                   a
                2.50                0.03                37.6                 0.5                  99                   7                  21                   r
                2.50                0.02                37.7                 0.3                 114                   6                  21                   a
                2.57                0.02                38.7                 0.3                 105                   7                  21                   a
                2.65                0.03                39.9                 0.4                  98                   7                  21                   a
                2.67                0.05                40.3                 0.8                 112                   9                  21                   r
                2.75                0.03                41.4                 0.5                 109                   6                  21                   a
