             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.07                0.01                 0.7                 0.1                  98                  10                   2                   a
                0.18                0.03                 1.9                 0.3                 118                   7                   9                   a
                0.21                0.02                 2.2                 0.2                  70                   6                   3                   r
                0.29                0.02                 3.0                 0.2                  95                   4                   9                   r
                0.30                0.03                 3.1                 0.3                 128                   4                  11                   a
                0.40                0.03                 4.2                 0.3                 118                   3                  18                   r
                0.41                0.03                 4.3                 0.3                 131                   3                  14                   a
                0.51                0.03                 5.3                 0.3                 135                   3                  17                   a
                0.51                0.03                 5.3                 0.3                 132                   2                  18                   r
                0.61                0.03                 6.4                 0.3                 123                   4                  20                   a
                0.66                0.06                 6.9                 0.6                 126                   5                  20                   r
                0.71                0.03                 7.4                 0.3                 130                   4                  20                   a
                0.91                0.08                 9.5                 0.8                 133                   4                  20                   a
                1.12                0.23                11.7                 2.4                 124                   6                  20                   r
                1.19                0.10                12.4                 1.0                 114                   5                  20                   a
                1.45                0.05                15.1                 0.5                 104                   6                  20                   a
                1.60                0.05                16.7                 0.5                 100                   6                  20                   a
                1.76                0.05                18.3                 0.5                  98                   4                  20                   a
                1.79                0.16                18.6                 1.7                 109                   6                  20                   r
                1.90                0.03                19.8                 0.3                 107                   5                  20                   a
                2.07                0.05                21.6                 0.5                 110                   4                  20                   a
                2.13                0.07                22.2                 0.7                 114                   7                  20                   r
                2.22                0.04                23.1                 0.4                 102                   4                  20                   a
                2.28                0.02                23.8                 0.2                 120                   4                  20                   r
                2.40                0.04                25.0                 0.4                 119                   4                  20                   r
                2.42                0.06                25.2                 0.6                 113                   5                  20                   a
                2.51                0.03                26.1                 0.3                 122                   5                  20                   r
                2.62                0.05                27.3                 0.5                 130                   3                  20                   a
                2.64                0.05                27.5                 0.5                 123                   3                  20                   r
                2.75                0.03                28.6                 0.3                 127                   4                  20                   a
                2.77                0.03                28.9                 0.3                 118                   4                  20                   r
                2.85                0.03                29.7                 0.3                 123                   4                  20                   a
                2.91                0.05                30.3                 0.5                 125                   4                  20                   r
                2.93                0.03                30.5                 0.3                 131                   2                  20                   a
                3.01                0.02                31.4                 0.2                 128                   2                  20                   a
                3.07                0.02                32.0                 0.2                 127                   3                  20                   a
                3.07                0.04                32.0                 0.4                 126                   4                  20                   r
                3.14                0.02                32.7                 0.2                 137                   3                  20                   a
                3.20                0.02                33.3                 0.2                 136                   2                  20                   a
                3.23                0.05                33.6                 0.5                 141                   2                  20                   r
                3.27                0.02                34.1                 0.2                 127                   2                  20                   a
                3.34                0.02                34.8                 0.2                 133                   3                  20                   a
                3.41                0.02                35.5                 0.2                 132                   2                  20                   a
                3.42                0.06                35.6                 0.6                 132                   4                  20                   r
                3.48                0.03                36.3                 0.3                 132                   2                  20                   a
                3.57                0.02                37.2                 0.2                 131                   2                  20                   a
                3.62                0.07                37.7                 0.7                 137                   3                  20                   r
                3.65                0.02                38.0                 0.2                 134                   3                  20                   a
                3.73                0.03                38.9                 0.3                 134                   3                  20                   a
                3.83                0.03                39.9                 0.3                 138                   1                  20                   a
                3.85                0.06                40.1                 0.6                 146                   4                  20                   r
                3.90                0.03                40.6                 0.3                 137                   3                  20                   a
                4.01                0.04                41.8                 0.4                 133                   3                  20                   a
                4.09                0.11                42.6                 1.1                 138                   3                  20                   r
                4.16                0.06                43.3                 0.6                 133                   4                  20                   a
                4.47                0.11                46.6                 1.1                 136                   4                  20                   a
                4.66                0.22                48.5                 2.3                 147                   3                  20                   r
                4.98                0.20                51.9                 2.1                 144                   4                  20                   a
                5.54                0.37                57.7                 3.9                 152                   3                  15                   r
                6.11                0.41                63.7                 4.3                 131                   4                  17                   a
