             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.11                0.00                 1.1                 0.0                  44                  16                   1                   a
                0.38                0.01                 3.9                 0.1                  -8                   8                   2                   a
                0.50                0.02                 5.2                 0.3                  28                   9                   4                   r
                0.55                0.04                 5.7                 0.4                  24                  10                   5                   a
                0.67                0.02                 7.0                 0.2                  30                  15                   2                   r
                0.80                0.05                 8.4                 0.5                  28                  16                   4                   a
                0.81                0.04                 8.4                 0.5                  29                  12                   5                   r
                0.99                0.05                10.4                 0.5                  33                  12                   4                   r
                1.01                0.00                10.5                 0.0                   0                  16                   1                   a
                1.12                0.05                11.7                 0.5                  18                  11                   5                   a
                1.14                0.02                11.9                 0.2                  29                  13                   4                   r
                1.33                0.12                13.9                 1.2                  25                   6                  20                   r
                1.44                0.13                15.1                 1.4                  39                   6                  20                   a
                1.73                0.13                18.1                 1.3                  38                   9                  20                   r
                1.74                0.09                18.2                 0.9                  45                   7                  20                   a
                2.04                0.08                21.3                 0.8                  42                   5                  20                   a
                2.14                0.13                22.4                 1.3                  37                   7                  20                   r
                2.41                0.14                25.2                 1.5                  40                   5                  20                   a
                2.58                0.12                27.0                 1.3                  50                   5                  20                   r
                2.83                0.10                29.6                 1.0                  52                   4                  20                   a
                2.90                0.05                30.4                 0.6                  64                   4                  20                   r
                3.06                0.04                32.0                 0.4                  56                   7                  20                   r
                3.08                0.08                32.2                 0.8                  47                   4                  20                   a
                3.18                0.03                33.3                 0.3                  54                   4                  20                   r
                3.32                0.05                34.8                 0.5                  59                   4                  20                   r
                3.41                0.13                35.7                 1.4                  52                   8                  20                   a
                3.50                0.05                36.6                 0.6                  62                   5                  20                   r
                3.63                0.04                38.0                 0.4                  58                   5                  20                   r
                3.75                0.03                39.3                 0.3                  62                   3                  20                   r
                3.80                0.08                39.8                 0.8                  70                   7                  20                   a
                3.83                0.02                40.1                 0.3                  67                   6                  20                   r
                3.93                0.02                41.2                 0.3                  83                   7                  20                   r
                4.03                0.04                42.2                 0.4                  69                   6                  20                   r
                4.05                0.06                42.4                 0.6                  72                   6                  20                   a
                4.18                0.07                43.7                 0.7                  79                   5                  20                   r
                4.24                0.05                44.4                 0.5                  82                   5                  20                   a
                4.37                0.07                45.7                 0.7                  70                   5                  20                   r
                4.39                0.05                45.9                 0.5                  80                   4                  20                   a
                4.55                0.04                47.7                 0.4                  96                   3                  20                   a
                4.68                0.14                49.0                 1.4                  77                   7                  20                   r
                4.69                0.04                49.1                 0.5                  87                   4                  20                   a
                4.86                0.04                50.9                 0.5                  86                   5                  20                   a
                5.04                0.07                52.8                 0.7                  77                   4                  20                   a
                5.35                0.11                56.0                 1.2                  81                   6                  20                   a
                5.63                0.52                58.9                 5.4                  75                   9                  12                   r
                6.26                0.39                65.5                 4.1                 110                   7                  18                   a
