             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.17                0.00                 3.2                 0.0                   8                   6                   1                   a
                0.43                0.01                 8.1                 0.2                  11                   4                   2                   a
                0.57                0.03                10.7                 0.5                  10                   3                   4                   a
                0.60                0.00                11.4                 0.0                  16                   6                   1                   r
                0.66                0.03                12.6                 0.5                  25                   2                   3                   a
                0.74                0.00                14.0                 0.0                  39                   6                   1                   r
                0.75                0.01                14.3                 0.3                  25                   3                   4                   a
                0.83                0.03                15.6                 0.5                  27                   1                   6                   a
                0.91                0.02                17.3                 0.4                  22                   4                   6                   a
                1.40                0.22                26.4                 4.1                  41                   2                  22                   a
                1.65                0.37                31.1                 7.0                  51                   4                  22                   r
                1.71                0.06                32.5                 1.1                  48                   1                  22                   a
                2.04                0.15                38.5                 2.9                  55                   2                  22                   a
                2.48                0.13                47.0                 2.5                  67                   3                  22                   r
                2.80                0.07                53.0                 1.4                  63                   3                  22                   r
                3.08                0.38                58.3                 7.2                  73                   3                  22                   a
                3.10                0.12                58.7                 2.3                  72                   4                  22                   r
                3.57                0.13                67.6                 2.5                  78                   3                  22                   r
                3.98                0.32                75.3                 6.1                  87                   5                  10                   a
                4.10                0.24                77.6                 4.6                  90                   6                  19                   r
