             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.71                0.01                 7.1                 0.1                  -8                   8                   2                   a
                1.04                0.00                10.5                 0.0                  26                   8                   1                   a
                1.12                0.03                11.2                 0.3                  34                   5                   3                   r
                1.39                0.00                13.9                 0.0                  62                   8                   1                   r
                1.43                0.00                14.3                 0.0                  57                   8                   1                   a
                2.09                0.24                20.9                 2.4                  67                   3                  23                   a
                2.71                0.60                27.1                 6.1                  79                   4                  23                   r
                2.87                0.22                28.7                 2.2                  87                   5                  23                   a
                3.78                0.24                37.8                 2.4                  88                   5                  23                   a
                4.50                0.26                45.1                 2.6                  96                   3                  21                   a
                4.55                0.65                45.6                 6.5                  84                   3                  23                   r
                5.72                0.15                57.3                 1.5                 108                   3                  16                   r
