             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.13                0.01                 1.7                 0.1                  82                   2                   2                   a
                0.23                0.04                 3.1                 0.6                  64                   4                   8                   r
                0.25                0.03                 3.4                 0.4                  85                   3                   7                   a
                0.39                0.06                 5.2                 0.8                  89                   6                  13                   a
                0.40                0.05                 5.4                 0.6                  86                   4                  18                   r
                0.55                0.05                 7.3                 0.6                  91                   4                  12                   a
                0.58                0.05                 7.7                 0.6                 104                   5                  12                   r
                0.71                0.04                 9.5                 0.6                 104                   3                  15                   a
                0.73                0.04                 9.7                 0.5                 107                   3                  20                   r
                0.88                0.06                11.7                 0.8                 108                   5                  18                   a
                0.88                0.04                11.7                 0.5                 124                   4                  19                   r
                1.03                0.04                13.7                 0.5                 135                   7                  12                   r
                1.05                0.05                13.9                 0.6                 113                   5                  18                   a
                1.20                0.05                16.0                 0.6                 152                   4                  19                   r
                1.21                0.05                16.1                 0.6                 135                   3                  26                   a
                1.27                0.04                16.9                 0.5                 140                   3                  23                   a
                1.31                0.06                17.5                 0.7                 160                   3                  23                   r
                1.39                0.03                18.5                 0.4                 144                   3                  23                   a
                1.48                0.04                19.7                 0.6                 147                   6                  23                   r
                1.50                0.04                20.0                 0.5                 154                   3                  23                   a
                1.65                0.06                21.9                 0.8                 150                   6                  23                   r
                1.65                0.05                22.0                 0.6                 146                   4                  23                   a
                1.83                0.05                24.3                 0.6                 141                   6                  23                   r
                1.83                0.05                24.4                 0.7                 138                   3                  23                   a
                1.98                0.04                26.3                 0.5                 139                   2                  23                   a
                1.98                0.04                26.4                 0.6                 148                   6                  23                   r
                2.10                0.04                28.0                 0.5                 138                   3                  23                   a
                2.12                0.03                28.2                 0.5                 142                   3                  23                   r
                2.24                0.04                29.8                 0.6                 146                   4                  23                   a
                2.26                0.04                30.1                 0.5                 145                   5                  23                   r
                2.40                0.05                31.9                 0.7                 160                   4                  23                   r
                2.41                0.04                32.1                 0.6                 152                   3                  23                   a
                2.52                0.03                33.6                 0.4                 163                   3                  23                   r
                2.58                0.06                34.4                 0.8                 161                   5                  23                   a
                2.66                0.04                35.4                 0.5                 170                   4                  23                   r
                2.75                0.05                36.6                 0.7                 169                   3                  23                   a
                2.81                0.06                37.5                 0.8                 163                   3                  23                   r
                2.92                0.05                38.9                 0.6                 169                   3                  23                   a
                3.00                0.04                39.9                 0.5                 169                   3                  23                   r
                3.09                0.05                41.2                 0.7                 177                   4                  23                   a
                3.13                0.05                41.7                 0.6                 171                   2                  23                   r
                3.26                0.05                43.4                 0.6                 181                   4                  23                   a
                3.32                0.06                44.2                 0.8                 167                   3                  23                   r
                3.40                0.03                45.2                 0.4                 178                   3                  23                   a
                3.52                0.06                46.8                 0.8                 175                   3                  23                   r
                3.53                0.05                47.0                 0.7                 180                   5                  23                   a
                3.67                0.04                48.8                 0.5                 190                   6                  23                   a
                3.72                0.06                49.4                 0.8                 179                   3                  23                   r
                3.88                0.04                51.6                 0.5                 189                   3                  23                   r
                3.88                0.06                51.6                 0.8                 189                   4                  23                   a
                4.00                0.05                53.2                 0.6                 186                   3                  23                   r
                4.12                0.08                54.8                 1.0                 186                   6                  23                   a
                4.15                0.04                55.2                 0.5                 191                   4                  23                   r
                4.29                0.03                57.0                 0.4                 189                   4                  23                   r
                4.40                0.04                58.5                 0.5                 187                   4                  23                   r
                4.40                0.09                58.5                 1.3                 194                   6                  23                   a
                4.52                0.04                60.1                 0.5                 192                   5                  23                   r
                4.63                0.03                61.6                 0.3                 186                   4                  23                   r
                4.76                0.05                63.3                 0.7                 198                   4                  23                   r
                4.79                0.10                63.7                 1.4                 190                   6                  23                   a
                4.91                0.03                65.3                 0.4                 202                   4                  23                   r
                5.03                0.06                67.0                 0.9                 203                   4                  23                   a
                5.03                0.04                67.0                 0.6                 205                   4                  23                   r
                5.16                0.04                68.7                 0.6                 203                   4                  23                   r
                5.22                0.04                69.5                 0.6                 215                   6                  23                   a
                5.32                0.06                70.8                 0.8                 198                   4                  23                   r
                5.35                0.02                71.2                 0.3                 210                   6                  23                   a
                5.45                0.04                72.6                 0.5                 209                   6                  23                   a
                5.55                0.09                73.8                 1.2                 192                   4                  23                   r
                5.61                0.05                74.6                 0.6                 209                   5                  23                   a
                5.77                0.05                76.8                 0.7                 203                   5                  23                   a
                5.98                0.09                79.6                 1.2                 196                   5                  23                   a
                6.15                0.35                81.9                 4.7                 198                   4                  23                   r
                6.60                0.31                87.8                 4.2                 227                   6                  16                   a
                7.03                0.12                93.6                 1.5                 198                   5                  23                   r
                7.58                0.28               100.8                 3.8                 250                   5                  19                   r
