             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.05                0.00                 0.7                 0.0                   7                  14                   1                   r
                0.14                0.00                 2.0                 0.0                 -19                  14                   1                   a
                0.17                0.00                 2.4                 0.0                   7                  14                   1                   r
                0.25                0.01                 3.6                 0.1                   5                  11                   2                   a
                0.36                0.01                 5.1                 0.1                  17                   2                   3                   r
                0.39                0.00                 5.5                 0.0                  -9                  14                   1                   a
                0.46                0.02                 6.5                 0.3                  28                   5                   4                   r
                0.53                0.01                 7.5                 0.1                  40                  14                   3                   a
                0.60                0.03                 8.5                 0.4                  34                  10                   3                   a
                0.60                0.01                 8.5                 0.1                  32                   3                   6                   r
                0.68                0.02                 9.7                 0.3                  32                   8                   5                   r
                0.71                0.01                10.1                 0.1                  44                   0                   2                   a
                0.80                0.04                11.4                 0.6                  55                   5                   5                   a
                0.80                0.03                11.4                 0.4                  39                   2                   4                   r
                1.02                0.11                14.5                 1.6                  56                   2                  25                   a
                1.10                0.17                15.6                 2.4                  48                   2                  25                   r
                1.43                0.14                20.3                 2.0                  65                   2                  25                   a
                1.65                0.15                23.5                 2.1                  63                   3                  25                   r
                1.84                0.09                26.2                 1.3                  70                   2                  25                   a
                1.99                0.07                28.3                 1.0                  74                   2                  25                   r
                2.19                0.13                31.2                 1.8                  75                   2                  25                   a
                2.22                0.06                31.6                 0.9                  81                   3                  25                   r
                2.40                0.04                34.1                 0.6                  83                   1                  25                   r
                2.53                0.03                36.0                 0.4                  83                   1                  25                   r
                2.57                0.10                36.6                 1.4                  84                   1                  25                   a
                2.64                0.04                37.6                 0.6                  90                   2                  25                   r
                2.79                0.04                39.7                 0.6                  93                   1                  25                   r
                2.90                0.10                41.3                 1.4                  82                   2                  25                   a
                2.97                0.05                42.2                 0.7                  87                   2                  25                   r
                3.12                0.04                44.4                 0.6                  91                   2                  25                   r
                3.24                0.03                46.1                 0.4                  95                   2                  25                   r
                3.38                0.06                48.1                 0.9                  93                   2                  25                   r
                3.59                0.38                51.1                 5.4                  88                   4                  19                   a
                3.67                0.12                52.2                 1.7                  97                   4                  16                   r
