             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.08                0.06                 0.8                 0.6                  -8                   7                   3                   r
                0.10                0.00                 1.0                 0.0                  29                  33                   1                   a
                0.27                0.04                 2.7                 0.4                 -13                   5                   4                   a
                0.28                0.05                 2.8                 0.6                  12                   5                  10                   r
                0.42                0.03                 4.3                 0.3                  20                  24                   3                   a
                0.47                0.07                 4.7                 0.7                   9                   6                  10                   r
                0.62                0.03                 6.3                 0.3                  11                  16                   6                   a
                0.64                0.06                 6.5                 0.6                  48                   9                   3                   r
                0.84                0.05                 8.5                 0.5                  71                  16                   5                   a
                0.86                0.06                 8.6                 0.6                  37                   2                   4                   r
                1.05                0.04                10.5                 0.4                  57                  33                   4                   a
                1.06                0.03                10.6                 0.3                  33                  12                   6                   r
                1.24                0.03                12.4                 0.3                  28                  18                   4                   a
                1.24                0.05                12.4                 0.5                  60                   7                  12                   r
                1.47                0.12                14.8                 1.2                  70                   7                  22                   r
                1.78                0.18                18.0                 1.8                  63                   7                  22                   a
                2.09                0.16                21.0                 1.6                  79                   6                  22                   r
                2.16                0.10                21.7                 1.0                  76                   8                  22                   a
                2.44                0.07                24.6                 0.7                  94                   5                  22                   r
                2.55                0.11                25.6                 1.1                  93                   7                  22                   a
                2.67                0.06                26.9                 0.6                  85                   6                  22                   r
                2.84                0.05                28.6                 0.5                 106                   4                  22                   r
                2.86                0.07                28.7                 0.7                 110                   9                  22                   a
                3.03                0.07                30.5                 0.7                 111                   5                  22                   r
                3.05                0.04                30.7                 0.4                 106                   8                  22                   a
                3.23                0.06                32.5                 0.6                  84                   7                  22                   a
                3.24                0.07                32.6                 0.7                 110                   7                  22                   r
                3.42                0.05                34.4                 0.5                  84                   6                  22                   a
                3.54                0.09                35.6                 0.9                  89                   8                  22                   r
                3.57                0.03                35.9                 0.3                  84                   8                  22                   a
                3.68                0.03                37.1                 0.3                  93                   6                  22                   a
                3.81                0.04                38.3                 0.4                  89                   5                  22                   a
                3.84                0.08                38.6                 0.8                  98                   9                  22                   r
                3.96                0.04                39.9                 0.4                 100                   5                  22                   a
                4.06                0.05                40.8                 0.5                  94                   8                  22                   r
                4.13                0.06                41.5                 0.6                 112                   5                  22                   a
                4.32                0.13                43.5                 1.3                  91                   8                  22                   r
                4.34                0.06                43.7                 0.6                  96                   7                  22                   a
                4.59                0.09                46.2                 0.9                 100                   8                  22                   a
                4.85                0.08                48.8                 0.8                 107                   8                  22                   a
                4.98                0.22                50.1                 2.2                 121                  10                  22                   r
                5.12                0.09                51.5                 0.9                 111                   7                  22                   a
                5.50                0.20                55.4                 2.0                 124                   9                  22                   a
                5.77                0.37                58.1                 3.7                 119                  12                  16                   r
