             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.08                0.02                 2.2                 0.6                  13                   4                   4                   a
                0.09                0.03                 2.5                 0.8                  19                   4                   3                   r
                0.18                0.03                 5.0                 0.8                  37                   3                   4                   r
                0.19                0.03                 5.3                 0.8                  32                   3                  12                   a
                0.30                0.03                 8.4                 0.8                  39                   2                  11                   r
                0.31                0.04                 8.6                 1.1                  44                   2                  24                   a
                0.43                0.02                12.0                 0.6                  53                   2                  24                   a
                0.43                0.03                12.0                 0.8                  54                   1                  38                   a
                0.44                0.03                12.3                 0.8                  63                   2                  16                   r
                0.48                0.05                13.4                 1.4                  65                   2                  24                   r
                0.50                0.02                13.9                 0.6                  62                   1                  24                   a
                0.56                0.01                15.6                 0.3                  65                   2                  24                   a
                0.62                0.02                17.3                 0.6                  66                   1                  24                   a
                0.64                0.04                17.8                 1.1                  70                   2                  24                   r
                0.67                0.02                18.7                 0.6                  68                   1                  24                   a
                0.73                0.02                20.3                 0.6                  77                   1                  24                   a
                0.74                0.03                20.6                 0.8                  78                   1                  24                   r
                0.78                0.02                21.7                 0.6                  76                   1                  24                   a
                0.83                0.03                23.1                 0.8                  87                   2                  24                   r
                0.84                0.02                23.4                 0.6                  79                   2                  24                   a
                0.89                0.01                24.8                 0.3                  85                   2                  24                   a
                0.92                0.03                25.6                 0.8                  88                   2                  24                   r
                0.94                0.02                26.2                 0.6                  85                   2                  24                   a
                0.99                0.02                27.6                 0.6                  90                   2                  24                   a
                1.00                0.02                27.9                 0.6                  89                   1                  24                   r
                1.05                0.01                29.3                 0.3                  92                   1                  24                   a
                1.08                0.02                30.1                 0.6                  94                   1                  24                   r
                1.12                0.02                31.2                 0.6                 100                   1                  24                   a
                1.18                0.02                32.9                 0.6                 106                   2                  24                   a
                1.18                0.03                32.9                 0.8                  96                   1                  24                   r
                1.26                0.03                35.1                 0.8                 106                   2                  24                   a
                1.31                0.05                36.5                 1.4                 101                   2                  24                   r
                1.36                0.04                37.9                 1.1                 110                   2                  24                   a
                1.50                0.07                41.8                 2.0                 101                   2                  13                   r
                1.59                0.15                44.3                 4.2                 115                   3                  19                   a
