             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.04                0.00                 1.3                 0.0                   7                   9                   1                   a
                0.08                0.00                 2.2                 0.0                 -14                   9                   1                   r
                0.09                0.02                 2.5                 0.7                 -11                   3                   2                   a
                0.14                0.01                 3.9                 0.3                 -16                   1                   3                   r
                0.14                0.01                 4.1                 0.3                  -9                   2                   4                   a
                0.20                0.02                 5.8                 0.6                 -15                   6                   5                   r
                0.21                0.02                 5.9                 0.5                  -2                   2                   6                   a
                0.25                0.02                 7.1                 0.5                 -17                   6                   6                   r
                0.25                0.01                 7.1                 0.4                  -1                   7                   6                   a
                0.31                0.02                 9.0                 0.5                 -15                   2                   9                   r
                0.31                0.01                 9.0                 0.2                  -5                   7                   6                   a
                0.36                0.02                10.4                 0.5                  -9                   5                   6                   a
                0.38                0.01                10.8                 0.4                 -15                   2                   8                   r
                0.42                0.01                12.1                 0.4                 -11                   2                  10                   r
                0.42                0.02                12.1                 0.5                  -1                   5                   5                   a
                0.48                0.02                13.7                 0.6                   1                   6                   3                   a
                0.48                0.02                13.9                 0.5                  -2                   3                  13                   r
                0.54                0.01                15.5                 0.4                 -16                   6                   7                   r
                0.54                0.02                15.5                 0.5                  10                   4                   6                   a
                0.59                0.02                16.8                 0.4                 -10                   4                  10                   r
                0.59                0.01                17.0                 0.4                  11                   9                   4                   a
                0.65                0.02                18.5                 0.5                  18                   2                   7                   a
                0.66                0.02                18.8                 0.5                  -9                   4                  14                   r
                0.70                0.01                20.0                 0.3                  -5                   4                   6                   r
                0.71                0.02                20.2                 0.5                  14                   4                  12                   a
                0.76                0.01                21.8                 0.4                  16                   2                  14                   a
                0.76                0.02                21.9                 0.5                   0                   4                  14                   r
                0.82                0.02                23.5                 0.5                  16                   4                  14                   a
                0.82                0.02                23.6                 0.5                   8                   2                  11                   r
                0.87                0.01                25.0                 0.4                   5                   4                   8                   r
                0.87                0.01                25.0                 0.3                  16                   6                   7                   a
                0.93                0.01                26.6                 0.4                  10                   2                  14                   r
                0.93                0.02                26.6                 0.5                   5                   3                  18                   a
                0.99                0.02                28.3                 0.5                   0                   4                  11                   r
                0.99                0.02                28.4                 0.6                   9                   2                  14                   a
                1.04                0.02                29.8                 0.5                   2                   2                  19                   r
                1.04                0.02                29.9                 0.5                  14                   3                  13                   a
                1.10                0.02                31.6                 0.5                  12                   2                  17                   r
                1.10                0.02                31.6                 0.5                  10                   3                  15                   a
                1.16                0.02                33.3                 0.5                   8                   2                   9                   a
                1.17                0.01                33.5                 0.4                   9                   3                  10                   r
                1.21                0.01                34.7                 0.4                   8                   3                  13                   r
                1.22                0.02                34.8                 0.5                  16                   2                  11                   a
                1.26                0.02                36.2                 0.5                  12                   3                  10                   a
                1.27                0.01                36.3                 0.4                   5                   5                  10                   r
