             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.12                0.02                 1.7                 0.3                   8                  21                   2                   r
                0.15                0.00                 2.2                 0.0                  28                  11                   2                   a
                0.22                0.02                 3.2                 0.3                  24                   5                   3                   r
                0.23                0.00                 3.3                 0.0                  63                  13                   1                   a
                0.27                0.01                 3.9                 0.1                  63                   2                   3                   a
                0.29                0.02                 4.2                 0.3                  41                   3                   7                   r
                0.36                0.02                 5.2                 0.3                  44                  13                   3                   a
                0.36                0.02                 5.2                 0.3                  47                   3                  10                   r
                0.45                0.01                 6.5                 0.1                  28                   9                   3                   a
                0.45                0.02                 6.5                 0.3                  61                   1                  12                   r
                0.51                0.02                 7.4                 0.3                  62                   1                  14                   r
                0.52                0.02                 7.6                 0.3                  54                   5                   5                   a
                0.59                0.02                 8.6                 0.3                  69                   2                  20                   r
                0.62                0.01                 9.0                 0.1                  58                   5                   5                   a
                0.66                0.02                 9.6                 0.3                  75                   2                  22                   r
                0.74                0.02                10.7                 0.3                  80                   2                  22                   r
                0.78                0.12                11.3                 1.7                  55                   3                  22                   a
                0.81                0.02                11.8                 0.3                  83                   1                  22                   r
                0.88                0.02                12.8                 0.3                  89                   2                  22                   r
                0.96                0.02                13.9                 0.3                  90                   3                  22                   r
                1.04                0.02                15.1                 0.3                  97                   3                  22                   r
                1.06                0.05                15.4                 0.7                  66                   3                  22                   a
                1.11                0.03                16.1                 0.4                  95                   3                  22                   r
                1.21                0.03                17.6                 0.4                  98                   3                  22                   r
                1.25                0.05                18.2                 0.7                  76                   2                  22                   a
                1.31                0.03                19.0                 0.4                  97                   3                  22                   r
                1.40                0.02                20.3                 0.3                  96                   2                  22                   r
                1.41                0.05                20.5                 0.7                  88                   3                  22                   a
                1.51                0.03                21.9                 0.4                  92                   3                  22                   r
                1.55                0.04                22.5                 0.6                  89                   1                  22                   a
                1.63                0.04                23.7                 0.6                  84                   3                  22                   r
                1.66                0.03                24.1                 0.4                  95                   2                  22                   a
                1.76                0.03                25.6                 0.4                  94                   2                  22                   a
                1.79                0.04                26.0                 0.6                  78                   3                  22                   r
                1.87                0.03                27.2                 0.4                  99                   2                  22                   a
                1.92                0.04                27.9                 0.6                  86                   3                  22                   r
                1.96                0.02                28.5                 0.3                 102                   2                  22                   a
                2.08                0.03                30.2                 0.4                 101                   2                  22                   a
                2.08                0.04                30.2                 0.6                  88                   2                  22                   r
                2.19                0.04                31.8                 0.6                  88                   2                  22                   r
                2.20                0.04                32.0                 0.6                 102                   2                  22                   a
                2.31                0.04                33.6                 0.6                  89                   2                  22                   r
                2.43                0.11                35.3                 1.6                 105                   2                  22                   a
                2.47                0.06                35.9                 0.9                  98                   2                  22                   r
                2.64                0.05                38.3                 0.7                 101                   3                  22                   r
                2.74                0.07                39.8                 1.0                 112                   3                  22                   a
                2.77                0.03                40.2                 0.4                 107                   3                  22                   r
                2.91                0.05                42.3                 0.7                 109                   4                  22                   r
                2.97                0.07                43.1                 1.0                 116                   3                  22                   a
                3.06                0.04                44.4                 0.6                 104                   4                  22                   r
                3.21                0.04                46.6                 0.6                 103                   4                  22                   r
                3.36                0.04                48.8                 0.6                 115                   4                  22                   r
                3.54                0.07                51.4                 1.0                 112                   3                  22                   r
                3.64                0.45                52.9                 6.5                 136                   6                  17                   a
                3.87                0.14                56.2                 2.0                 117                   4                  22                   r
                4.44                0.20                64.5                 2.9                 141                   3                  22                   r
                5.15                0.26                74.8                 3.8                 140                   5                  15                   r
