             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.15                0.00                 3.9                 0.0                  44                   5                   1                   a
                0.24                0.02                 6.5                 0.4                  46                   5                   2                   a
                0.30                0.00                 8.0                 0.0                  29                   5                   1                   a
                0.68                0.15                18.2                 4.1                  74                   4                  20                   a
                0.95                0.22                25.4                 6.0                  73                   3                  20                   r
                1.22                0.11                32.6                 2.9                  84                   4                  20                   a
                1.55                0.08                41.5                 2.3                  79                   2                  20                   a
                1.57                0.16                42.1                 4.3                  76                   3                  20                   r
                1.84                0.07                49.3                 1.9                  74                   4                  20                   a
                1.94                0.07                52.0                 1.9                  74                   2                  20                   r
                2.02                0.04                54.0                 1.0                  78                   3                  20                   a
                2.16                0.09                57.7                 2.5                  78                   2                  20                   r
                2.16                0.06                57.9                 1.7                  91                   4                  20                   a
                2.49                0.10                66.6                 2.6                  91                   4                  20                   r
                2.61                0.25                70.0                 6.8                  88                   3                  20                   a
                2.89                0.16                77.4                 4.2                  95                   3                  20                   r
                3.40                0.13                91.1                 3.4                  89                   3                  20                   a
                3.50                0.25                93.8                 6.7                  96                   4                  14                   r
                3.72                0.07                99.6                 1.8                  88                   2                  20                   a
                3.92                0.09               105.1                 2.5                  99                   2                  16                   a
