             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.08                0.03                 1.0                 0.4                  -6                   2                   5                   r
                0.09                0.03                 1.1                 0.4                  20                   2                   5                   a
                0.21                0.04                 2.5                 0.5                   5                   1                  15                   r
                0.22                0.04                 2.7                 0.5                  25                   2                  15                   a
                0.35                0.04                 4.2                 0.5                  28                   3                  15                   a
                0.35                0.04                 4.2                 0.5                  10                   2                  22                   r
                0.48                0.04                 5.8                 0.5                  11                   2                  19                   r
                0.49                0.04                 5.9                 0.5                  24                   4                  16                   a
                0.62                0.04                 7.5                 0.5                  34                   3                  16                   a
                0.63                0.04                 7.6                 0.5                  19                   3                  18                   r
                0.76                0.04                 9.2                 0.5                  32                   3                  15                   a
                0.76                0.04                 9.2                 0.5                  16                   2                  18                   r
                0.89                0.04                10.7                 0.5                  35                   4                  18                   a
                0.91                0.04                11.0                 0.5                  18                   3                  19                   r
                1.04                0.04                12.5                 0.5                  27                   3                  22                   r
                1.05                0.04                12.7                 0.5                  44                   3                  24                   a
                1.17                0.03                14.1                 0.4                  26                   2                  21                   r
                1.18                0.03                14.2                 0.4                  48                   3                  21                   a
                1.27                0.03                15.3                 0.4                  48                   3                  21                   a
                1.28                0.03                15.4                 0.4                  30                   1                  21                   r
                1.37                0.03                16.5                 0.4                  51                   3                  21                   a
                1.37                0.03                16.5                 0.4                  27                   3                  21                   r
                1.45                0.02                17.5                 0.2                  52                   3                  21                   a
                1.45                0.02                17.5                 0.2                  33                   3                  21                   r
                1.51                0.02                18.2                 0.2                  56                   3                  21                   a
                1.51                0.01                18.2                 0.1                  30                   2                  21                   r
                1.56                0.02                18.8                 0.2                  30                   2                  21                   r
                1.59                0.03                19.2                 0.4                  56                   3                  21                   a
                1.63                0.02                19.7                 0.2                  30                   3                  21                   r
                1.66                0.02                20.0                 0.2                  57                   3                  21                   a
                1.69                0.02                20.4                 0.2                  26                   2                  21                   r
                1.72                0.02                20.7                 0.2                  57                   3                  21                   a
                1.74                0.02                21.0                 0.2                  26                   2                  21                   r
                1.79                0.02                21.6                 0.2                  59                   3                  21                   a
                1.80                0.02                21.7                 0.2                  28                   2                  21                   r
                1.85                0.02                22.3                 0.2                  63                   2                  21                   a
                1.86                0.01                22.4                 0.1                  29                   3                  21                   r
                1.90                0.01                22.9                 0.1                  33                   3                  21                   r
                1.92                0.02                23.2                 0.2                  56                   2                  21                   a
                1.95                0.01                23.5                 0.1                  30                   2                  21                   r
                2.00                0.02                24.1                 0.2                  61                   4                  21                   a
                2.00                0.02                24.1                 0.2                  28                   3                  21                   r
                2.06                0.01                24.8                 0.1                  32                   2                  21                   r
                2.07                0.02                25.0                 0.2                  49                   4                  21                   a
                2.11                0.02                25.5                 0.2                  31                   2                  21                   r
                2.16                0.02                26.1                 0.2                  34                   3                  21                   r
                2.17                0.03                26.2                 0.4                  60                   2                  21                   a
                2.21                0.01                26.7                 0.1                  34                   2                  21                   r
                2.25                0.03                27.1                 0.4                  60                   4                  21                   a
                2.26                0.01                27.3                 0.1                  39                   3                  21                   r
                2.31                0.01                27.9                 0.1                  42                   3                  21                   r
