             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.04                0.02                 0.9                 0.5                  22                   0                   2                   r
                0.10                0.02                 2.3                 0.5                  20                   6                   6                   a
                0.10                0.02                 2.3                 0.5                  41                   6                   6                   r
                0.17                0.02                 3.9                 0.5                  52                   3                   9                   r
                0.17                0.02                 3.9                 0.4                  43                   8                   5                   a
                0.21                0.01                 4.9                 0.3                  61                  13                   3                   a
                0.23                0.02                 5.3                 0.4                  45                   2                  11                   r
                0.29                0.02                 6.7                 0.5                  54                  10                   6                   a
                0.29                0.02                 6.8                 0.5                  45                   3                  17                   r
                0.35                0.01                 8.2                 0.3                  50                   6                   3                   a
                0.36                0.02                 8.4                 0.5                  51                   5                  13                   r
                0.42                0.02                 9.8                 0.5                  56                  10                  11                   r
                0.44                0.01                10.1                 0.3                  47                  11                   8                   a
                0.50                0.02                11.5                 0.4                  54                   8                   9                   r
                0.51                0.00                11.9                 0.1                  46                  11                   4                   a
                0.55                0.02                12.8                 0.5                  32                   8                   7                   a
                0.56                0.02                13.0                 0.5                  37                   7                   9                   r
                0.62                0.02                14.4                 0.5                  42                  14                   6                   r
                0.64                0.01                14.8                 0.3                  33                   7                   4                   a
                0.69                0.02                16.1                 0.4                  63                   6                   4                   a
                0.70                0.02                16.1                 0.4                  43                   9                  12                   r
                0.74                0.01                17.3                 0.3                  42                  12                   3                   a
                0.76                0.01                17.6                 0.2                  34                  17                   5                   r
                0.82                0.01                18.9                 0.3                  28                   4                   4                   a
                0.83                0.01                19.3                 0.2                  54                  11                   6                   r
                0.88                0.01                20.4                 0.3                  40                   4                   6                   r
                0.89                0.02                20.5                 0.4                  40                   5                   6                   a
                0.96                0.02                22.2                 0.4                  42                   6                   8                   r
                0.96                0.03                22.3                 0.6                  38                   9                   4                   a
                1.03                0.06                23.9                 1.4                  54                   3                  22                   r
                1.07                0.06                24.8                 1.5                  53                   5                  22                   a
                1.26                0.05                29.3                 1.1                  65                   5                  22                   a
                1.34                0.11                31.0                 2.5                  89                   6                  22                   r
                1.41                0.04                32.6                 1.0                  70                   4                  22                   a
                1.57                0.04                36.4                 1.0                  72                   4                  22                   a
                1.63                0.07                37.7                 1.5                 103                   5                  22                   r
                1.74                0.04                40.2                 0.9                  81                   6                  22                   a
                1.82                0.05                42.2                 1.2                 102                   5                  22                   r
                1.86                0.04                43.1                 0.8                  95                   5                  22                   a
                1.98                0.04                46.0                 0.9                  87                   5                  22                   a
                2.05                0.08                47.5                 1.8                  92                   6                  22                   r
                2.09                0.03                48.5                 0.7                  89                   4                  22                   a
                2.18                0.02                50.4                 0.5                  91                   2                  22                   a
                2.26                0.02                52.3                 0.5                  94                   4                  22                   a
                2.26                0.06                52.3                 1.5                  98                   6                  22                   r
                2.33                0.02                54.0                 0.5                  94                   4                  22                   a
                2.40                0.02                55.6                 0.4                 106                   3                  22                   a
                2.47                0.02                57.1                 0.4                 107                   4                  22                   a
                2.47                0.05                57.2                 1.2                  94                   3                  22                   r
                2.52                0.02                58.5                 0.4                 104                   4                  22                   a
                2.58                0.02                59.8                 0.4                  96                   5                  22                   a
                2.60                0.03                60.2                 0.7                 106                   4                  22                   r
                2.64                0.02                61.2                 0.5                 113                   3                  22                   a
                2.70                0.03                62.5                 0.6                 106                   4                  22                   r
                2.71                0.02                62.9                 0.4                 123                   5                  22                   a
                2.77                0.02                64.1                 0.5                 105                   2                  22                   r
                2.77                0.02                64.3                 0.4                 110                   3                  22                   a
                2.83                0.02                65.6                 0.5                 108                   3                  22                   r
                2.84                0.02                65.7                 0.4                 114                   5                  22                   a
                2.90                0.02                67.2                 0.5                 109                   5                  22                   a
                2.90                0.02                67.3                 0.4                 106                   3                  22                   r
                2.96                0.02                68.6                 0.4                 120                   4                  22                   a
                3.01                0.05                69.7                 1.1                 119                   4                  22                   r
                3.02                0.02                69.9                 0.5                 121                   6                  22                   a
                3.10                0.03                71.9                 0.7                 112                   5                  22                   a
                3.16                0.05                73.2                 1.2                 117                   5                  22                   r
