             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                3.97                0.03                88.0                 0.6                  96                   3                  20                   a
                4.06                0.03                90.1                 0.7                  87                   3                  20                   a
                4.16                0.03                92.2                 0.7                  81                   4                  20                   a
                4.20                0.05                93.2                 1.1                  78                   4                  20                   r
                4.28                0.03                94.9                 0.7                  87                   4                  20                   a
                4.37                0.02                97.0                 0.5                  79                   3                  20                   a
                4.39                0.05                97.4                 1.1                  88                   3                  20                   r
                4.46                0.02                98.8                 0.5                  84                   2                  20                   a
                4.51                0.01               100.1                 0.3                  94                   3                  20                   a
                4.54                0.04               100.8                 0.8                  90                   4                  20                   r
                4.58                0.02               101.5                 0.4                  99                   2                  20                   a
                4.62                0.01               102.5                 0.2                  97                   3                  20                   a
                4.65                0.02               103.1                 0.5                  90                   2                  20                   r
                4.66                0.01               103.4                 0.3                  97                   3                  20                   a
                4.70                0.01               104.3                 0.2                 101                   3                  20                   a
                4.73                0.03               104.9                 0.6                  90                   2                  20                   r
                4.74                0.01               105.1                 0.2                 104                   2                  20                   a
                4.77                0.01               105.8                 0.2                 102                   2                  20                   a
                4.80                0.01               106.5                 0.2                 109                   2                  20                   a
                4.81                0.02               106.7                 0.5                  91                   3                  20                   r
                4.84                0.01               107.3                 0.3                 107                   2                  20                   a
                4.88                0.01               108.2                 0.2                 111                   2                  20                   a
                4.89                0.02               108.4                 0.5                  95                   3                  20                   r
                4.91                0.01               108.9                 0.2                 106                   2                  20                   a
                4.94                0.01               109.6                 0.2                 109                   3                  20                   a
                4.98                0.01               110.4                 0.3                 114                   2                  20                   a
                4.99                0.03               110.6                 0.7                 102                   3                  20                   r
                5.03                0.01               111.5                 0.3                 114                   3                  20                   a
                5.08                0.02               112.7                 0.3                 119                   3                  20                   a
                5.10                0.04               113.2                 0.8                 105                   3                  20                   r
                5.16                0.03               114.4                 0.6                 114                   3                  20                   a
                5.24                0.04               116.1                 0.9                 103                   3                  20                   r
                5.24                0.04               116.3                 0.9                 125                   3                  20                   a
                5.38                0.04               119.3                 1.0                 120                   7                  20                   a
                5.40                0.05               119.7                 1.1                 115                   3                  20                   r
                5.51                0.04               122.3                 0.8                 103                   5                  20                   r
                5.55                0.05               123.0                 1.1                  99                   5                  20                   a
                5.68                0.03               125.9                 0.7                 103                   4                  20                   r
                5.68                0.03               126.0                 0.7                 110                   5                  20                   a
                5.78                0.02               128.3                 0.5                  95                   4                  20                   a
                5.80                0.03               128.6                 0.7                  89                   3                  20                   r
                5.86                0.02               130.1                 0.5                 100                   4                  20                   a
