             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.17                0.04                 2.9                 0.6                  16                   3                   3                   a
                0.22                0.00                 3.6                 0.0                  61                   5                   1                   r
                0.30                0.04                 5.0                 0.7                  60                   6                   6                   a
                0.30                0.03                 5.0                 0.5                  69                   5                   7                   r
                0.41                0.03                 6.9                 0.6                  74                   5                   9                   r
                0.42                0.04                 7.0                 0.7                  73                   3                  10                   a
                0.53                0.03                 8.8                 0.6                  85                   3                  14                   a
                0.54                0.03                 9.0                 0.5                  91                   2                  11                   r
                0.65                0.03                10.8                 0.5                 108                   3                  14                   r
                0.66                0.03                11.0                 0.6                 106                   2                  16                   a
                0.77                0.03                12.9                 0.4                 110                   2                  20                   r
                0.79                0.03                13.1                 0.5                 116                   2                  19                   a
                0.88                0.02                14.6                 0.4                 127                   2                  19                   a
                0.88                0.03                14.7                 0.5                 118                   3                  19                   r
                0.97                0.03                16.1                 0.5                 130                   2                  19                   a
                0.98                0.03                16.4                 0.5                 127                   3                  19                   r
                1.07                0.03                17.8                 0.5                 137                   2                  19                   a
                1.07                0.03                17.8                 0.4                 135                   3                  19                   r
                1.16                0.02                19.3                 0.4                 136                   2                  19                   a
                1.16                0.03                19.4                 0.5                 126                   1                  19                   r
                1.25                0.02                20.8                 0.4                 131                   2                  19                   r
                1.27                0.02                21.1                 0.4                 134                   2                  19                   a
                1.33                0.02                22.2                 0.3                 136                   3                  19                   r
                1.36                0.03                22.5                 0.5                 138                   2                  19                   a
                1.42                0.03                23.7                 0.5                 132                   3                  19                   r
                1.43                0.02                23.9                 0.3                 141                   1                  19                   a
                1.52                0.03                25.3                 0.5                 137                   3                  19                   r
                1.53                0.03                25.5                 0.5                 141                   3                  19                   a
                1.62                0.03                26.9                 0.5                 132                   2                  19                   r
                1.64                0.03                27.2                 0.5                 132                   1                  19                   a
                1.75                0.05                29.2                 0.7                 136                   3                  19                   a
                1.77                0.06                29.4                 0.9                 137                   3                  19                   r
                1.93                0.05                32.1                 0.9                 133                   3                  19                   a
                1.96                0.06                32.5                 1.0                 142                   3                  19                   r
                2.09                0.05                34.7                 0.9                 136                   4                  19                   a
                2.16                0.07                35.9                 1.2                 131                   3                  19                   r
                2.25                0.05                37.4                 0.9                 140                   3                  19                   a
                2.42                0.06                40.2                 1.0                 133                   3                  19                   a
                2.52                0.11                41.8                 1.9                 136                   4                  19                   r
                2.57                0.03                42.8                 0.5                 139                   2                  19                   a
                2.69                0.03                44.7                 0.6                 133                   2                  19                   a
                2.80                0.03                46.6                 0.6                 138                   3                  19                   a
                2.85                0.10                47.5                 1.7                 129                   3                  19                   r
                2.93                0.04                48.8                 0.7                 129                   2                  19                   a
                3.08                0.04                51.2                 0.7                 142                   4                  19                   a
                3.23                0.11                53.7                 1.8                 132                   3                  19                   r
                3.31                0.10                55.0                 1.6                 137                   2                  19                   a
                3.54                0.06                58.8                 1.0                 134                   3                  19                   a
                3.62                0.10                60.1                 1.7                 136                   4                  19                   r
                3.79                0.09                63.1                 1.4                 136                   3                  19                   a
                3.95                0.11                65.8                 1.8                 134                   3                  19                   r
                4.12                0.09                68.6                 1.6                 133                   4                  19                   a
                4.30                0.11                71.5                 1.8                 142                   3                  19                   r
                4.59                0.15                76.3                 2.4                 122                   3                  19                   a
                4.71                0.16                78.3                 2.6                 135                   3                  19                   r
                5.12                0.14                85.2                 2.3                 133                   3                  19                   a
                5.65                0.30                94.0                 5.0                 139                   3                  16                   r
                5.88                0.23                97.8                 3.9                 129                   3                  19                   a
                6.49                0.21               108.0                 3.5                 134                   4                  11                   a
