             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.23                0.00                 0.7                 0.0                 119                  71                   1                   a
                0.25                0.12                 0.7                 0.3                   8                  20                   2                   r
                0.70                0.06                 2.0                 0.2                  48                  11                   2                   r
                0.94                0.00                 2.7                 0.0                 110                  71                   1                   a
                1.05                0.16                 3.0                 0.5                  98                  21                   3                   r
                1.64                0.00                 4.7                 0.0                 155                  71                   1                   a
                1.83                0.00                 5.3                 0.0                  72                  71                   1                   r
                2.38                0.04                 6.8                 0.1                 110                  71                   2                   r
                2.65                0.00                 7.6                 0.0                 154                  71                   1                   r
                2.81                0.00                 8.1                 0.0                 106                  71                   1                   a
                3.14                0.12                 9.0                 0.3                 109                  24                   7                   a
                3.22                0.00                 9.3                 0.0                 171                  71                   1                   r
                3.60                0.13                10.4                 0.4                 114                  33                   4                   r
                3.68                0.02                10.6                 0.1                  63                  36                   2                   a
                5.16                0.85                14.8                 2.4                  66                  10                  25                   a
                5.77                1.22                16.6                 3.5                 108                  13                  25                   r
                8.27                0.88                23.8                 2.5                  96                  12                  25                   a
               10.36                0.42                29.8                 1.2                 107                   9                  25                   a
               11.71                0.37                33.7                 1.1                 117                   9                  25                   a
               11.75                3.75                33.8                10.8                  99                  14                  23                   r
               14.25                1.60                41.0                 4.6                 127                  12                  25                   a
               18.55                0.83                53.4                 2.4                 170                  17                  20                   a
