             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.14                0.00                 1.9                 0.0                  13                  24                   1                   a
                0.26                0.01                 3.4                 0.1                  43                   6                   2                   a
                0.28                0.00                 3.6                 0.0                 -14                  24                   1                   r
                0.33                0.00                 4.2                 0.0                  66                  24                   1                   r
                0.34                0.04                 4.3                 0.6                  56                  13                   2                   a
                0.39                0.01                 5.0                 0.1                  46                  23                   3                   a
                0.41                0.03                 5.3                 0.4                  20                   9                   2                   r
                0.52                0.02                 6.6                 0.2                  45                   6                   4                   a
                0.52                0.02                 6.7                 0.3                  25                  24                   4                   r
                0.60                0.03                 7.7                 0.3                  38                   6                   5                   a
                0.62                0.02                 8.0                 0.2                  60                   0                   2                   r
                0.70                0.03                 9.0                 0.4                  40                   6                   4                   a
                0.71                0.01                 9.1                 0.2                  49                  19                   2                   r
                0.78                0.03                10.1                 0.3                  54                  16                   3                   r
                0.80                0.03                10.3                 0.4                  57                   8                   9                   a
                0.88                0.03                11.4                 0.4                  36                   5                   6                   a
                0.90                0.02                11.5                 0.3                  41                  14                   5                   r
                0.95                0.02                12.2                 0.2                  35                   8                   3                   r
                0.97                0.02                12.5                 0.3                  51                   8                   7                   a
                1.07                0.04                13.7                 0.6                  49                   4                  19                   a
                1.19                0.03                15.4                 0.4                  51                   5                  19                   a
                1.24                0.10                15.9                 1.3                  39                   3                  19                   r
                1.31                0.04                16.8                 0.5                  58                   4                  19                   a
                1.42                0.03                18.3                 0.4                  59                   4                  19                   a
                1.48                0.05                19.1                 0.6                  59                   3                  19                   r
                1.51                0.02                19.4                 0.2                  58                   3                  19                   a
                1.58                0.02                20.3                 0.3                  58                   4                  19                   a
                1.62                0.05                20.9                 0.6                  65                   4                  19                   r
                1.66                0.03                21.4                 0.4                  54                   3                  19                   a
                1.73                0.01                22.3                 0.2                  60                   4                  19                   a
                1.80                0.05                23.1                 0.6                  69                   2                  19                   r
                1.80                0.03                23.2                 0.3                  65                   3                  19                   a
                1.88                0.02                24.2                 0.2                  64                   5                  19                   a
                1.95                0.02                25.2                 0.3                  70                   4                  19                   a
                1.97                0.06                25.3                 0.8                  63                   4                  19                   r
                2.03                0.02                26.1                 0.2                  68                   3                  19                   a
                2.09                0.02                27.0                 0.3                  70                   5                  19                   a
                2.16                0.02                27.8                 0.3                  69                   3                  19                   a
                2.20                0.08                28.4                 1.0                  61                   5                  19                   r
                2.25                0.03                29.0                 0.3                  71                   2                  19                   a
                2.31                0.02                29.7                 0.3                  81                   3                  19                   a
                2.41                0.03                31.1                 0.4                  79                   5                  19                   a
                2.46                0.09                31.7                 1.1                  79                   5                  19                   r
                2.53                0.04                32.6                 0.5                  76                   3                  19                   a
                2.66                0.03                34.2                 0.4                  72                   3                  19                   a
                2.72                0.09                35.1                 1.1                  77                   4                  19                   r
                2.81                0.05                36.3                 0.6                  81                   5                  19                   a
                2.98                0.09                38.4                 1.2                  74                   5                  19                   r
                3.02                0.06                39.0                 0.8                  91                   6                  19                   a
                3.27                0.08                42.2                 1.1                  85                   6                  19                   r
                3.41                0.14                43.9                 1.8                  93                   4                  19                   a
                3.58                0.08                46.1                 1.0                 102                   6                  19                   r
                3.72                0.04                47.9                 0.6                  97                   4                  19                   a
                3.79                0.04                48.9                 0.6                  99                   6                  19                   r
                3.89                0.07                50.2                 0.9                  98                   3                  19                   a
                3.92                0.03                50.5                 0.4                  99                   2                  19                   r
                4.04                0.03                52.1                 0.4                  94                   5                  19                   r
                4.15                0.03                53.5                 0.4                 104                   5                  19                   r
                4.22                0.11                54.4                 1.4                  96                   5                  19                   a
                4.28                0.05                55.2                 0.6                 102                   4                  19                   r
                4.47                0.07                57.6                 0.9                 102                   5                  19                   r
                4.66                0.15                60.1                 1.9                 104                   5                  19                   a
                4.69                0.06                60.5                 0.8                 117                   3                  19                   r
                4.94                0.07                63.7                 0.9                 117                   5                  19                   r
                5.03                0.10                64.8                 1.3                 103                   5                  19                   a
                5.27                0.13                68.0                 1.7                 126                   4                  19                   r
                5.48                0.15                70.6                 1.9                 115                   4                  19                   a
                5.75                0.14                74.1                 1.8                 136                   4                  19                   r
                5.87                0.10                75.7                 1.3                 121                   5                  19                   a
                6.21                0.09                80.1                 1.1                 109                   4                  19                   a
                6.45                0.04                83.2                 0.6                 121                   5                  19                   a
                6.65                0.08                85.8                 1.0                 119                   5                  19                   a
                6.72                0.49                86.7                 6.3                 128                   6                  19                   r
                7.05                0.17                90.9                 2.2                 131                   4                  19                   a
                7.49                0.10                96.5                 1.3                 103                   7                  19                   r
                7.73                0.19                99.6                 2.4                 147                   6                  19                   a
                7.87                0.12               101.4                 1.6                 128                   7                  19                   r
                8.20                0.10               105.7                 1.3                 133                   5                  19                   r
                8.46                0.26               109.1                 3.4                 153                   6                  19                   a
                8.77                0.25               113.1                 3.2                 135                   6                  19                   r
                9.74                0.28               125.6                 3.5                 130                   7                  13                   r
               11.75                1.00               151.5                12.9                 132                   6                  19                   a
               13.50                0.59               174.1                 7.6                 152                   6                  19                   a
