             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.05                0.00                 1.1                 0.0                 -24                  14                   1                   a
                0.09                0.01                 1.9                 0.2                  17                   4                   2                   a
                0.10                0.00                 2.1                 0.0                  72                  14                   1                   r
                0.13                0.01                 2.7                 0.2                  55                  12                   3                   a
                0.13                0.02                 2.7                 0.4                  49                   9                   2                   r
                0.18                0.02                 3.8                 0.4                  71                  11                   4                   r
                0.20                0.00                 4.2                 0.0                  41                  14                   1                   a
                0.23                0.00                 4.8                 0.0                  63                  14                   1                   a
                0.24                0.00                 5.1                 0.0                  71                  14                   1                   r
                0.29                0.00                 6.1                 0.0                 107                  14                   1                   a
                0.29                0.01                 6.1                 0.2                  99                  12                   4                   r
                0.35                0.02                 7.4                 0.4                 115                   5                   2                   a
                0.35                0.01                 7.4                 0.2                  90                   3                   4                   r
                0.39                0.02                 8.2                 0.4                 133                   7                   5                   a
                0.40                0.00                 8.4                 0.0                 131                  14                   1                   r
                0.46                0.02                 9.7                 0.4                 138                   5                   4                   a
                0.46                0.02                 9.7                 0.4                 120                   5                   3                   r
                0.50                0.02                10.5                 0.4                 145                   3                   5                   a
                0.51                0.01                10.7                 0.2                 149                  14                   2                   r
                0.55                0.01                11.6                 0.2                 160                   7                   5                   r
                0.57                0.01                12.0                 0.2                 147                   6                   4                   a
                0.61                0.01                12.8                 0.2                 150                   6                   9                   a
                0.61                0.02                12.8                 0.4                 130                   9                   5                   r
                0.67                0.01                14.1                 0.2                 159                   6                   5                   a
                0.68                0.01                14.3                 0.2                 136                   5                   2                   r
                0.71                0.01                14.9                 0.2                 166                   4                  11                   a
                0.71                0.00                14.9                 0.0                 135                   6                   2                   r
                0.77                0.01                16.2                 0.2                 163                   2                  14                   a
                0.77                0.02                16.2                 0.4                 129                   5                   5                   r
                0.82                0.01                17.3                 0.2                 171                   2                  15                   a
                0.82                0.02                17.3                 0.4                 139                   4                   6                   r
                0.87                0.02                18.3                 0.4                 166                   1                  16                   a
                0.87                0.02                18.3                 0.4                 157                   5                   4                   r
                0.93                0.01                19.6                 0.2                 173                   1                  24                   a
                0.99                0.02                20.8                 0.4                 177                   2                  24                   a
                0.99                0.04                20.8                 0.8                 151                   3                  24                   r
                1.05                0.02                22.1                 0.4                 182                   2                  24                   a
                1.11                0.02                23.4                 0.4                 181                   2                  24                   a
                1.12                0.04                23.6                 0.8                 156                   3                  24                   r
                1.19                0.03                25.0                 0.6                 175                   4                  24                   a
                1.29                0.03                27.2                 0.6                 170                   3                  24                   a
                1.31                0.06                27.6                 1.3                 162                   3                  24                   r
                1.36                0.02                28.6                 0.4                 178                   3                  24                   a
                1.46                0.02                30.7                 0.4                 175                   3                  24                   a
                1.50                0.05                31.6                 1.1                 169                   2                  24                   r
                1.53                0.03                32.2                 0.6                 179                   2                  24                   a
                1.61                0.02                33.9                 0.4                 183                   2                  24                   a
                1.65                0.04                34.7                 0.8                 177                   3                  24                   r
                1.67                0.02                35.1                 0.4                 183                   2                  24                   a
                1.73                0.02                36.4                 0.4                 184                   3                  24                   a
                1.75                0.03                36.8                 0.6                 175                   2                  24                   r
                1.79                0.02                37.7                 0.4                 181                   2                  24                   a
                1.84                0.01                38.7                 0.2                 183                   3                  24                   a
                1.84                0.02                38.7                 0.4                 185                   2                  24                   r
                1.90                0.02                40.0                 0.4                 188                   2                  24                   a
                1.92                0.02                40.4                 0.4                 180                   2                  24                   r
                1.95                0.01                41.0                 0.2                 179                   2                  24                   a
                2.00                0.01                42.1                 0.2                 190                   4                  24                   a
                2.00                0.03                42.1                 0.6                 180                   2                  24                   r
                2.04                0.01                42.9                 0.2                 189                   3                  24                   a
                2.08                0.01                43.8                 0.2                 186                   2                  24                   a
                2.09                0.02                44.0                 0.4                 180                   2                  24                   r
                2.12                0.01                44.6                 0.2                 189                   2                  24                   a
                2.15                0.03                45.3                 0.6                 186                   2                  24                   r
                2.17                0.01                45.7                 0.2                 192                   2                  24                   a
                2.21                0.01                46.5                 0.2                 190                   3                  24                   a
                2.25                0.01                47.4                 0.2                 190                   2                  24                   a
                2.25                0.03                47.4                 0.6                 184                   2                  24                   r
                2.29                0.01                48.2                 0.2                 193                   2                  24                   a
                2.33                0.01                49.0                 0.2                 195                   2                  24                   a
                2.33                0.03                49.0                 0.6                 185                   3                  24                   r
                2.36                0.01                49.7                 0.2                 195                   2                  24                   a
                2.39                0.01                50.3                 0.2                 196                   3                  24                   a
                2.41                0.02                50.7                 0.4                 188                   2                  24                   r
                2.44                0.01                51.4                 0.2                 194                   3                  24                   a
                2.46                0.01                51.8                 0.2                 194                   3                  24                   a
                2.49                0.03                52.4                 0.6                 189                   2                  24                   r
                2.51                0.01                52.8                 0.2                 193                   2                  24                   a
                2.55                0.01                53.7                 0.2                 193                   2                  24                   a
                2.56                0.02                53.9                 0.4                 202                   3                  24                   r
                2.60                0.02                54.7                 0.4                 194                   2                  24                   a
                2.64                0.03                55.6                 0.6                 199                   2                  24                   r
                2.65                0.01                55.8                 0.2                 197                   3                  24                   a
                2.69                0.01                56.6                 0.2                 197                   3                  24                   a
                2.73                0.02                57.5                 0.4                 201                   2                  24                   r
                2.74                0.01                57.7                 0.2                 200                   2                  24                   a
                2.78                0.01                58.5                 0.2                 195                   2                  24                   a
                2.82                0.03                59.4                 0.6                 201                   2                  24                   r
                2.83                0.02                59.6                 0.4                 199                   2                  24                   a
                2.87                0.01                60.4                 0.2                 196                   2                  24                   a
                2.92                0.02                61.5                 0.4                 197                   2                  24                   a
                2.92                0.02                61.5                 0.4                 208                   3                  24                   r
                2.99                0.02                62.9                 0.4                 196                   2                  24                   a
                3.01                0.04                63.4                 0.8                 209                   3                  24                   r
                3.06                0.02                64.4                 0.4                 204                   2                  24                   a
                3.12                0.04                65.7                 0.8                 205                   3                  24                   r
                3.13                0.02                65.9                 0.4                 200                   3                  24                   a
                3.19                0.02                67.1                 0.4                 201                   3                  24                   a
                3.26                0.02                68.6                 0.4                 203                   3                  24                   a
                3.27                0.04                68.8                 0.8                 208                   2                  24                   r
                3.32                0.02                69.9                 0.4                 200                   2                  24                   a
                3.39                0.02                71.4                 0.4                 203                   2                  24                   a
                3.42                0.05                72.0                 1.1                 215                   3                  24                   r
                3.45                0.02                72.6                 0.4                 202                   3                  24                   a
                3.52                0.02                74.1                 0.4                 200                   2                  24                   a
                3.56                0.04                74.9                 0.8                 216                   3                  24                   r
                3.57                0.01                75.1                 0.2                 199                   3                  24                   a
                3.63                0.02                76.4                 0.4                 201                   2                  24                   a
                3.69                0.02                77.7                 0.4                 208                   2                  24                   a
                3.69                0.04                77.7                 0.8                 213                   3                  24                   r
                3.75                0.02                78.9                 0.4                 208                   2                  24                   a
                3.81                0.04                80.2                 0.8                 211                   3                  24                   r
                3.82                0.02                80.4                 0.4                 201                   2                  24                   a
                3.90                0.02                82.1                 0.4                 200                   3                  24                   a
                3.91                0.03                82.3                 0.6                 217                   1                  24                   r
                3.97                0.03                83.6                 0.6                 198                   3                  24                   a
                4.01                0.03                84.4                 0.6                 207                   3                  24                   r
                4.05                0.02                85.2                 0.4                 196                   3                  24                   a
                4.11                0.03                86.5                 0.6                 209                   3                  24                   r
                4.13                0.03                86.9                 0.6                 194                   3                  24                   a
                4.22                0.03                88.8                 0.6                 207                   3                  24                   r
                4.23                0.03                89.0                 0.6                 195                   2                  24                   a
                4.32                0.01                90.9                 0.2                 192                   3                  24                   a
                4.36                0.02                91.8                 0.4                 196                   3                  24                   a
                4.36                0.04                91.8                 0.8                 208                   3                  24                   r
                4.44                0.02                93.5                 0.4                 192                   3                  24                   a
                4.51                0.02                94.9                 0.4                 197                   3                  24                   a
                4.51                0.04                94.9                 0.8                 199                   4                  24                   r
                4.57                0.01                96.2                 0.2                 198                   5                  24                   a
                4.62                0.01                97.2                 0.2                 192                   3                  24                   a
                4.67                0.02                98.3                 0.4                 199                   3                  24                   a
                4.67                0.04                98.3                 0.8                 188                   2                  24                   r
                4.72                0.01                99.3                 0.2                 202                   3                  24                   a
                4.77                0.01               100.4                 0.2                 200                   4                  24                   a
                4.80                0.04               101.0                 0.8                 199                   3                  24                   r
                4.81                0.01               101.2                 0.2                 191                   2                  24                   a
                4.85                0.01               102.1                 0.2                 194                   3                  24                   a
                4.90                0.02               103.1                 0.4                 198                   2                  24                   a
                4.91                0.03               103.3                 0.6                 203                   3                  24                   r
                4.94                0.01               104.0                 0.2                 201                   3                  24                   a
                4.99                0.01               105.0                 0.2                 192                   2                  24                   a
                5.02                0.02               105.7                 0.4                 203                   2                  24                   r
                5.04                0.01               106.1                 0.2                 200                   2                  24                   a
                5.08                0.01               106.9                 0.2                 197                   2                  24                   a
                5.10                0.03               107.3                 0.6                 201                   3                  24                   r
                5.12                0.01               107.8                 0.2                 205                   2                  24                   a
                5.17                0.02               108.8                 0.4                 206                   1                  24                   a
                5.19                0.03               109.2                 0.6                 207                   2                  24                   r
                5.22                0.01               109.9                 0.2                 201                   3                  24                   a
                5.26                0.01               110.7                 0.2                 202                   2                  24                   a
                5.27                0.02               110.9                 0.4                 207                   3                  24                   r
                5.32                0.02               112.0                 0.4                 202                   2                  24                   a
                5.34                0.02               112.4                 0.4                 208                   2                  24                   r
                5.36                0.01               112.8                 0.2                 203                   2                  24                   a
                5.40                0.01               113.7                 0.2                 209                   1                  24                   a
                5.41                0.02               113.9                 0.4                 213                   2                  24                   r
                5.45                0.02               114.7                 0.4                 203                   2                  24                   a
                5.48                0.03               115.3                 0.6                 214                   2                  24                   r
                5.49                0.01               115.6                 0.2                 203                   1                  24                   a
                5.54                0.01               116.6                 0.2                 203                   2                  24                   a
                5.57                0.01               117.2                 0.2                 207                   2                  24                   a
                5.59                0.03               117.7                 0.6                 209                   3                  24                   r
                5.61                0.01               118.1                 0.2                 204                   1                  24                   a
                5.68                0.02               119.5                 0.4                 202                   2                  24                   a
                5.72                0.04               120.4                 0.8                 214                   1                  24                   r
                5.73                0.01               120.6                 0.2                 206                   2                  24                   a
                5.79                0.02               121.9                 0.4                 212                   3                  24                   a
                5.81                0.03               122.3                 0.6                 209                   2                  24                   r
                5.85                0.01               123.1                 0.2                 206                   2                  24                   a
                5.91                0.03               124.4                 0.6                 215                   2                  24                   r
                5.92                0.02               124.6                 0.4                 214                   2                  24                   a
                5.97                0.01               125.7                 0.2                 206                   3                  24                   a
                6.00                0.02               126.3                 0.4                 210                   2                  24                   r
                6.03                0.02               126.9                 0.4                 207                   3                  24                   a
                6.08                0.02               128.0                 0.4                 213                   3                  24                   r
                6.09                0.01               128.2                 0.2                 202                   2                  24                   a
                6.15                0.02               129.4                 0.4                 203                   3                  24                   a
                6.18                0.03               130.1                 0.6                 211                   2                  24                   r
                6.23                0.02               131.1                 0.4                 205                   2                  24                   a
                6.28                0.03               132.2                 0.6                 210                   2                  24                   r
                6.31                0.02               132.8                 0.4                 205                   3                  24                   a
                6.36                0.03               133.9                 0.6                 218                   2                  24                   r
                6.37                0.02               134.1                 0.4                 210                   2                  24                   a
                6.44                0.02               135.5                 0.4                 204                   3                  24                   a
                6.46                0.03               136.0                 0.6                 213                   2                  24                   r
                6.50                0.02               136.8                 0.4                 209                   3                  24                   a
                6.55                0.02               137.9                 0.4                 213                   1                  24                   r
                6.58                0.02               138.5                 0.4                 201                   3                  24                   a
                6.63                0.03               139.5                 0.6                 217                   2                  24                   r
                6.66                0.03               140.2                 0.6                 202                   4                  24                   a
                6.73                0.02               141.6                 0.4                 207                   3                  24                   a
                6.73                0.02               141.6                 0.4                 218                   2                  24                   r
                6.81                0.03               143.3                 0.6                 208                   3                  24                   a
                6.83                0.03               143.8                 0.6                 212                   2                  24                   r
                6.89                0.01               145.0                 0.2                 206                   3                  24                   a
