             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.18                0.00                 4.6                 0.0                  39                   6                   1                   a
                0.30                0.04                 7.6                 1.0                  29                   6                   7                   a
                0.42                0.02                10.7                 0.4                  15                   7                   4                   r
                0.43                0.02                11.0                 0.6                  30                   3                  11                   a
                0.51                0.03                13.1                 0.7                  36                   2                  18                   a
                0.60                0.03                15.3                 0.7                  34                   2                  18                   a
                0.64                0.16                16.3                 4.1                  24                   5                  18                   r
                0.71                0.03                18.0                 0.9                  41                   3                  18                   a
                0.89                0.08                22.6                 2.2                  42                   3                  18                   a
                1.16                0.04                29.4                 1.1                  43                   3                  18                   a
                1.26                0.03                32.2                 0.7                  47                   3                  18                   a
                1.28                0.11                32.7                 2.7                  35                   2                  18                   r
                1.34                0.02                34.2                 0.6                  46                   3                  18                   a
                1.45                0.04                36.9                 1.0                  41                   3                  18                   a
                1.58                0.05                40.3                 1.2                  45                   5                  18                   a
                1.61                0.08                41.0                 2.0                  43                   3                  18                   r
                1.74                0.06                44.4                 1.5                  59                   4                  18                   a
                2.04                0.10                51.9                 2.6                  51                   6                  18                   a
                2.13                0.18                54.2                 4.5                  54                   3                  18                   r
                2.38                0.03                60.6                 0.8                  62                   2                  18                   r
                2.47                0.02                62.9                 0.6                  57                   1                  18                   r
                2.55                0.03                64.9                 0.7                  62                   3                  18                   r
                2.66                0.24                67.8                 6.1                  65                   3                  18                   a
                2.68                0.05                68.3                 1.4                  55                   4                  18                   r
                2.81                0.03                71.5                 0.7                  64                   3                  18                   r
                2.91                0.03                74.1                 0.7                  67                   3                  18                   r
                2.99                0.02                76.1                 0.5                  70                   3                  18                   r
                3.06                0.02                77.8                 0.5                  70                   2                  18                   r
                3.11                0.10                79.3                 2.6                  62                   4                  18                   a
                3.13                0.02                79.8                 0.4                  71                   3                  18                   r
                3.18                0.01                80.9                 0.3                  69                   3                  18                   r
                3.22                0.01                82.1                 0.2                  68                   3                  18                   r
                3.27                0.02                83.3                 0.5                  68                   3                  18                   r
                3.31                0.02                84.2                 0.6                  57                   2                  18                   a
                3.33                0.01                84.7                 0.3                  69                   2                  18                   r
                3.37                0.01                85.8                 0.4                  67                   3                  18                   r
                3.38                0.02                86.0                 0.4                  55                   1                  18                   a
                3.42                0.01                87.1                 0.4                  66                   2                  18                   r
                3.43                0.02                87.4                 0.4                  57                   2                  18                   a
                3.46                0.01                88.1                 0.2                  69                   3                  18                   r
                3.48                0.01                88.6                 0.3                  64                   2                  18                   a
                3.50                0.01                89.1                 0.3                  60                   2                  18                   r
                3.52                0.01                89.7                 0.3                  62                   2                  18                   a
                3.54                0.01                90.1                 0.3                  67                   2                  18                   r
                3.58                0.02                91.0                 0.5                  65                   3                  18                   a
                3.59                0.01                91.3                 0.4                  66                   3                  18                   r
                3.63                0.01                92.5                 0.3                  70                   3                  18                   a
                3.65                0.03                93.0                 0.7                  70                   3                  18                   r
                3.70                0.02                94.1                 0.6                  72                   5                  18                   a
                3.73                0.03                95.1                 0.8                  76                   4                  18                   r
                3.75                0.02                95.5                 0.4                  66                   2                  18                   a
                3.81                0.02                96.9                 0.4                  65                   4                  18                   a
                3.84                0.03                97.9                 0.9                  72                   4                  18                   r
                3.88                0.02                98.9                 0.6                  69                   5                  18                   a
                3.98                0.04               101.4                 1.0                  67                   3                  18                   a
                4.01                0.03               102.2                 0.8                  69                   3                  18                   r
                4.13                0.04               105.2                 1.1                  80                   3                  18                   r
                4.22                0.13               107.3                 3.3                  76                   4                  18                   a
                4.35                0.08               110.7                 2.1                  76                   5                  18                   r
                4.52                0.05               115.2                 1.2                  72                   5                  18                   a
                4.60                0.06               117.1                 1.5                  94                   7                  18                   r
                4.73                0.06               120.5                 1.6                  79                   3                  18                   a
                4.75                0.03               121.0                 0.8                  92                   5                  18                   r
                4.83                0.03               123.1                 0.8                  79                   5                  18                   r
                4.91                0.04               125.1                 0.9                  87                   5                  18                   a
                4.93                0.03               125.5                 0.7                  88                   6                  18                   r
                5.02                0.03               127.7                 0.7                  87                   3                  18                   a
                5.05                0.04               128.5                 1.1                  86                   7                  18                   r
                5.12                0.03               130.4                 0.8                  90                   2                  18                   a
                5.22                0.08               133.0                 2.1                  89                   6                  14                   r
                5.26                0.05               134.0                 1.2                  84                   3                  18                   a
                5.45                0.11               138.8                 2.7                  88                   5                  15                   a
