             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.04                0.00                 0.5                 0.0                   8                  13                   1                   a
                0.11                0.00                 1.5                 0.0                  15                  13                   1                   r
                0.19                0.04                 2.6                 0.5                  -2                   6                   3                   a
                0.36                0.00                 4.9                 0.0                  44                  13                   1                   r
                0.43                0.00                 5.8                 0.0                  12                  13                   1                   r
                0.45                0.00                 6.1                 0.0                  22                  13                   1                   a
                0.62                0.03                 8.4                 0.4                  29                   3                   3                   r
                0.63                0.00                 8.5                 0.0                  25                  13                   1                   a
                0.75                0.00                10.2                 0.0                   8                  13                   1                   r
                0.82                0.03                11.1                 0.4                  35                  13                   2                   a
                0.85                0.00                11.5                 0.0                  48                  13                   1                   r
                0.94                0.01                12.8                 0.1                  48                   2                   2                   a
                1.11                0.00                15.1                 0.0                  94                  13                   1                   r
                1.15                0.00                15.6                 0.0                  60                  13                   1                   a
                1.60                0.27                21.7                 3.7                  62                   4                  22                   a
                1.96                0.45                26.6                 6.1                  78                   4                  22                   r
                2.39                0.19                32.4                 2.6                  76                   4                  22                   a
                2.85                0.13                38.7                 1.8                  89                   3                  22                   a
                3.30                0.16                44.8                 2.2                  96                   4                  22                   a
                3.57                0.34                48.4                 4.6                  91                   4                  22                   r
                3.73                0.11                50.6                 1.5                  91                   4                  22                   a
                3.99                0.05                54.1                 0.7                  98                   2                  22                   a
                4.13                0.04                56.0                 0.5                  99                   2                  22                   a
                4.33                0.08                58.8                 1.1                 103                   3                  22                   a
                4.35                0.15                59.0                 2.0                  99                   5                  22                   r
                4.64                0.10                63.0                 1.4                 111                   4                  22                   a
                5.04                0.19                68.4                 2.6                 112                   4                  18                   a
                5.12                0.31                69.5                 4.2                 113                   5                  22                   r
                5.88                0.17                79.8                 2.3                 100                   6                  14                   r
