             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.30                0.03                 4.9                 0.6                  37                   4                   2                   r
                0.32                0.00                 5.3                 0.0                  15                  17                   1                   a
                0.46                0.02                 7.4                 0.3                  35                  13                   2                   r
                0.53                0.02                 8.7                 0.3                  44                  21                   3                   r
                0.67                0.04                10.8                 0.6                  39                   1                   2                   a
                0.68                0.02                11.1                 0.4                  43                   7                   6                   r
                0.79                0.00                12.9                 0.0                  89                  17                   1                   a
                0.84                0.02                13.6                 0.3                  44                   5                   3                   r
                0.89                0.01                14.5                 0.2                  36                   5                   4                   a
                0.90                0.02                14.6                 0.4                  36                  12                   7                   r
                1.04                0.00                16.8                 0.1                  35                  17                   3                   a
                1.05                0.04                17.0                 0.6                  63                   7                   4                   r
                1.29                0.14                20.9                 2.3                  49                   5                  23                   r
                1.32                0.12                21.5                 2.0                  45                   4                  23                   a
                1.65                0.07                26.8                 1.2                  60                   3                  23                   a
                1.67                0.09                27.2                 1.5                  54                   3                  23                   r
                1.84                0.05                29.9                 0.8                  69                   3                  23                   a
                1.99                0.03                32.3                 0.6                  66                   3                  23                   a
                2.01                0.10                32.7                 1.7                  61                   3                  23                   r
                2.10                0.04                34.1                 0.6                  64                   3                  23                   a
                2.20                0.03                35.7                 0.4                  63                   2                  23                   a
                2.27                0.06                36.9                 0.9                  73                   3                  23                   r
                2.27                0.02                36.9                 0.3                  73                   2                  23                   a
                2.35                0.03                38.1                 0.4                  80                   3                  23                   a
                2.41                0.02                39.2                 0.3                  73                   3                  23                   a
                2.44                0.04                39.6                 0.7                  77                   3                  23                   r
                2.49                0.03                40.5                 0.4                  76                   3                  23                   a
                2.56                0.02                41.6                 0.3                  82                   3                  23                   a
                2.62                0.02                42.5                 0.3                  78                   3                  23                   a
                2.63                0.07                42.8                 1.1                  75                   3                  23                   r
                2.68                0.02                43.5                 0.3                  83                   2                  23                   a
                2.73                0.01                44.3                 0.2                  82                   3                  23                   a
                2.77                0.01                44.9                 0.2                  82                   3                  23                   a
                2.81                0.01                45.6                 0.2                  86                   2                  23                   a
                2.82                0.05                45.7                 0.8                  83                   3                  23                   r
                2.85                0.01                46.2                 0.2                  81                   2                  23                   a
                2.89                0.01                47.0                 0.1                  81                   3                  23                   a
                2.93                0.01                47.6                 0.2                  84                   2                  23                   a
                2.95                0.03                47.9                 0.6                  79                   2                  23                   r
                2.97                0.01                48.2                 0.2                  82                   3                  23                   a
                3.00                0.01                48.8                 0.2                  79                   2                  23                   a
                3.04                0.01                49.3                 0.2                  82                   3                  23                   a
                3.06                0.04                49.6                 0.6                  86                   2                  23                   r
                3.08                0.01                50.0                 0.2                  81                   2                  23                   a
                3.12                0.02                50.7                 0.2                  86                   2                  23                   a
                3.17                0.01                51.5                 0.2                  79                   4                  23                   a
                3.21                0.01                52.2                 0.2                  84                   2                  23                   a
                3.22                0.07                52.2                 1.1                  92                   3                  23                   r
                3.25                0.01                52.8                 0.2                  85                   3                  23                   a
                3.31                0.02                53.7                 0.2                  86                   2                  23                   a
                3.36                0.02                54.6                 0.3                  84                   3                  23                   a
                3.42                0.02                55.5                 0.3                  86                   3                  23                   a
                3.48                0.02                56.6                 0.3                  89                   3                  23                   a
                3.56                0.02                57.9                 0.4                  92                   4                  23                   a
                3.63                0.20                59.0                 3.2                  85                   5                  23                   r
                3.65                0.03                59.2                 0.5                  91                   3                  23                   a
                3.77                0.03                61.2                 0.5                  97                   4                  23                   a
                3.90                0.04                63.3                 0.6                  99                   3                  23                   a
                4.01                0.04                65.2                 0.6                 101                   4                  23                   a
                4.14                0.04                67.3                 0.7                  97                   4                  23                   a
                4.31                0.05                70.1                 0.9                  94                   4                  23                   a
                4.40                0.16                71.5                 2.5                  86                   4                  23                   r
                4.52                0.06                73.4                 1.0                 105                   4                  23                   a
                4.69                0.07                76.2                 1.1                  95                   3                  23                   r
                5.04                0.29                81.8                 4.6                 109                   3                  23                   a
                5.32                0.37                86.5                 6.0                 103                   5                  23                   r
                6.33                0.30               102.8                 4.9                 106                   5                  23                   r
                6.82                0.39               110.8                 6.4                  95                   4                  23                   a
                7.27                0.16               118.1                 2.5                 111                   4                  23                   r
                7.82                0.17               126.9                 2.7                 106                   5                  23                   r
                7.87                0.30               127.8                 4.9                  96                   3                  23                   a
                8.35                0.05               135.6                 0.8                 102                   2                  23                   a
                8.43                0.29               136.9                 4.7                  98                   6                  22                   r
                8.50                0.03               138.1                 0.5                 106                   2                  23                   a
                8.68                0.07               141.0                 1.1                  98                   2                  23                   a
                9.02                0.18               146.5                 2.9                  87                   3                  23                   a
